yearID,teamID,R,W,L,G,lineup_hitting_sum,lineup_hitting_mean,lineup_hitting_std,lineup_hitting_best,lineup_hitting_worst,lineup_br_sum,lineup_br_mean,lineup_fielding_sum,lineup_positional_sum,lineup_bravs_sum,lineup_bravs_mean,roster_depth,power_concentration,lineup_sb_total,rotation_bravs_sum,rotation_bravs_mean,positions_covered
2000,ANA,864,82,80,162,363.8,40.422222222222224,24.205204903996254,73.4,11.8,-10.499999999999998,-1.1666666666666665,10.299999999999999,-15.000000000000004,37.39,4.154444444444445,12,0.41245136186770426,84,3.6399999999999997,0.728,7
2000,ARI,792,85,77,162,249.00000000000003,27.66666666666667,18.18832042823086,63.8,10.4,-3.8000000000000003,-0.4222222222222223,4.6000000000000005,0.6000000000000005,24.400000000000002,2.7111111111111112,9,0.5283018867924528,78,13.850000000000001,2.7700000000000005,7
2000,ATL,810,95,67,162,309.70000000000005,34.41111111111112,18.403290768531345,65.1,11.1,-5.600000000000001,-0.6222222222222223,10.2,-4.300000000000001,31.879999999999995,3.5422222222222217,11,0.4021164021164021,123,15.059999999999999,3.0119999999999996,8
2000,BAL,794,74,88,162,189.4,21.044444444444444,10.527714746219988,36.9,4.5,-10.9,-1.2111111111111112,0.5,9.200000000000001,16.22,1.8022222222222222,7,0.3359375,83,8.229999999999999,1.6459999999999997,7
2000,BOS,792,85,77,162,269.90000000000003,29.988888888888894,17.126765926791638,62.5,13.4,-10.100000000000001,-1.1222222222222225,3.5999999999999996,-1.3999999999999995,26.66,2.962222222222222,10,0.43820224719101125,31,14.41,2.882,7
2000,CHA,978,95,67,162,374.7,41.63333333333333,19.740187435786925,81.5,9.2,-11.4,-1.2666666666666666,5.1,-13.8,37.79,4.198888888888889,10,0.4107883817427386,105,7.52,1.504,9
2000,CHN,764,65,97,162,236.20000000000002,26.244444444444447,21.888473628322686,75.1,3.4,3.2000000000000006,0.3555555555555556,4.6000000000000005,4.099999999999999,24.370000000000005,2.7077777777777783,9,0.43506493506493504,84,5.59,1.1179999999999999,8
2000,CIN,825,85,77,163,273.1,30.34444444444445,11.750756476830663,50.1,12.8,-2.500000000000001,-0.2777777777777779,9.599999999999998,-11.9,26.36,2.928888888888889,12,0.4011299435028249,83,5.84,1.168,7
2000,CLE,950,90,72,162,396.6,44.06666666666667,19.483390362049413,75.2,11.8,-6.699999999999999,-0.7444444444444444,19.700000000000003,-12.7,41.870000000000005,4.652222222222223,10,0.3910891089108911,97,11.12,2.2239999999999998,9
2000,COL,968,82,80,162,309.7,34.41111111111111,26.532171247583776,96.9,15.7,-13.9,-1.5444444444444445,12.799999999999999,2.7,31.049999999999997,3.4499999999999997,11,0.48344370860927155,61,5.59,1.1179999999999999,7
2000,DET,823,79,83,162,235.5,26.166666666666668,13.696988720153053,55.9,4.3,-9.299999999999999,-1.0333333333333332,2.6000000000000005,13.0,24.680000000000003,2.742222222222223,9,0.38596491228070173,68,8.18,1.636,7
2000,FLO,731,79,82,161,261.8,29.08888888888889,11.35500379177,41.3,6.3,1.9999999999999998,0.2222222222222222,0.7999999999999999,-20.3,24.32,2.7022222222222223,9,0.3235294117647059,149,7.31,1.462,7
2000,HOU,938,72,90,162,367.7,40.855555555555554,24.12696163585,82.3,20.2,-11.200000000000001,-1.2444444444444445,-0.6000000000000002,-0.7000000000000004,34.910000000000004,3.8788888888888895,13,0.49794238683127573,76,4.3,0.86,7
2000,KCA,879,77,85,162,278.99999999999994,30.999999999999993,24.48484224984919,64.6,4.5,-3.0999999999999996,-0.3444444444444444,11.8,-2.3000000000000003,29.139999999999997,3.2377777777777776,10,0.5165562913907285,109,-0.21000000000000002,-0.042,8
2000,LAN,798,86,76,162,282.29999999999995,31.36666666666666,19.816848891789025,77.1,11.0,-1.5,-0.16666666666666666,0.40000000000000013,-1.199999999999998,27.999999999999996,3.1111111111111107,11,0.43283582089552236,112,10.739999999999998,2.1479999999999997,8
2000,MIL,740,73,89,163,199.99999999999997,22.222222222222218,15.95734766320658,49.2,2.6,-9.4,-1.0444444444444445,2.5,-3.400000000000002,18.43,2.0477777777777777,12,0.5080213903743316,51,3.4100000000000006,0.6820000000000002,8
2000,MIN,748,69,93,162,207.6,23.066666666666666,12.563439019631527,47.9,10.1,-11.0,-1.2222222222222223,1.0999999999999999,-16.900000000000002,18.130000000000003,2.014444444444445,9,0.25742574257425743,81,8.48,1.6960000000000002,8
2000,MON,738,67,95,162,208.89999999999998,23.21111111111111,24.302183258117182,71.7,3.2,-11.6,-1.2888888888888888,4.4,-4.100000000000001,18.609999999999996,2.0677777777777773,8,0.5302013422818792,41,8.49,1.698,7
2000,NYA,871,87,74,161,342.0,38.0,17.68530463407402,57.5,20.3,-8.5,-0.9444444444444444,7.3999999999999995,-18.299999999999997,33.08,3.6755555555555555,13,0.3029045643153527,74,9.08,1.816,8
2000,NYN,807,94,68,162,307.7,34.18888888888889,17.550459000012253,67.5,11.4,-19.499999999999996,-2.166666666666666,5.499999999999999,5.700000000000001,31.28,3.4755555555555557,11,0.3915094339622642,40,13.78,2.756,8
2000,OAK,947,91,70,161,317.59999999999997,35.288888888888884,24.25682607249166,93.7,11.3,-12.0,-1.3333333333333333,3.5999999999999996,-6.2,31.799999999999997,3.533333333333333,11,0.4008097165991903,34,8.21,1.6420000000000001,9
2000,PHI,708,65,97,162,199.79999999999998,22.2,21.09300832029419,66.6,3.5,4.4,0.48888888888888893,9.4,-16.0,17.63,1.9588888888888887,6,0.5238095238095238,79,6.56,1.3119999999999998,6
2000,PIT,793,69,93,162,250.0,27.77777777777778,24.44594944861918,75.0,6.6,-5.100000000000001,-0.5666666666666669,7.1,8.999999999999998,25.78,2.8644444444444446,9,0.5069444444444444,75,6.050000000000001,1.2100000000000002,7
2000,SDN,752,76,86,162,178.9,19.87777777777778,16.336904371527808,47.7,3.3,-2.5,-0.2777777777777778,-5.551115123125783e-17,8.7,17.89,1.9877777777777779,9,0.43448275862068964,112,6.76,1.3519999999999999,7
2000,SEA,907,91,71,162,314.8,34.97777777777778,24.350399266633072,76.0,10.0,-6.699999999999999,-0.7444444444444444,9.900000000000002,-13.600000000000003,31.73,3.5255555555555556,13,0.4429223744292237,85,7.44,1.488,9
2000,SFN,925,97,65,162,338.6,37.62222222222223,24.51554495507788,78.5,12.1,-8.399999999999999,-0.9333333333333331,10.3,2.600000000000001,35.65,3.961111111111111,12,0.4840182648401826,62,11.259999999999998,2.252,8
2000,SLN,887,95,67,162,325.7,36.18888888888889,17.341456429928574,68.3,5.3,-6.600000000000002,-0.7333333333333336,13.5,-3.9000000000000012,32.92,3.657777777777778,13,0.39915966386554624,71,7.83,1.566,8
2000,TBA,733,69,92,161,148.5,16.5,14.576522218965676,37.9,1.2,-3.5999999999999996,-0.39999999999999997,6.7,-6.100000000000001,12.73,1.4144444444444444,8,0.5547445255474452,68,4.75,0.95,8
2000,TEX,848,71,91,162,246.9,27.433333333333334,15.094701056993479,57.7,10.7,-20.900000000000002,-2.3222222222222224,6.1000000000000005,1.0,22.419999999999998,2.491111111111111,12,0.43636363636363634,40,5.18,1.036,7
2000,TOR,861,83,79,162,343.4,38.15555555555555,24.46814822943857,97.5,15.4,-8.1,-0.8999999999999999,5.8999999999999995,-16.9,33.76,3.751111111111111,11,0.4256198347107438,78,10.03,2.006,8
2001,ANA,691,75,87,162,198.9,22.1,14.96412376318774,54.9,3.9,0.09999999999999987,0.011111111111111096,3.8999999999999995,2.8999999999999995,22.490000000000002,2.498888888888889,9,0.48026315789473684,105,7.870000000000001,1.5740000000000003,8
2001,ARI,818,92,70,162,261.20000000000005,29.022222222222226,25.903801737282585,93.1,5.1,-4.199999999999999,-0.46666666666666656,2.4999999999999996,3.700000000000001,28.370000000000005,3.152222222222223,13,0.5023923444976076,62,19.460000000000004,3.892000000000001,8
2001,ATL,729,88,74,162,201.70000000000002,22.41111111111111,21.618651926313795,73.3,2.1,-10.2,-1.1333333333333333,10.299999999999999,12.2,22.16,2.462222222222222,9,0.5300546448087432,68,16.82,3.364,7
2001,BAL,687,63,98,162,138.3,15.366666666666667,11.234989986644402,37.3,1.1,-9.3,-1.0333333333333334,6.6000000000000005,-10.2,10.709999999999999,1.19,6,0.3262411347517731,78,6.23,1.246,7
