inning,is_bot,outs,score_diff_bat,bases_idx,mean,count,LI
1,0,2,0,3,0.07070326,1813,1.9292887
1,0,2,0,4,0.07087558,405,1.9339907
1,0,2,0,5,0.06218334,738,1.6968045
1,0,2,0,6,0.0790235,255,2.1563241
1,0,2,0,7,0.1095996,475,2.990658
1,0,2,1,0,0.0151267275,1197,0.4127649
1,0,2,1,1,0.035133373,929,0.95868874
1,0,2,1,2,0.044556517,490,1.2158192
1,0,2,1,3,0.062091038,671,1.6942859
1,0,2,1,4,0.029424127,196,0.80289984
1,0,2,1,5,0.043599095,359,1.1896939
1,0,2,1,6,0.090137705,182,2.4595988
1,0,2,1,7,0.10825346,251,2.9539256
1,0,2,2,0,0.0064916783,567,0.17713924
1,0,2,2,1,0.018008593,441,0.49140275
1,0,2,2,2,0.05412726,252,1.4769773
1,0,2,2,3,0.0376649,263,1.0277668
1,0,2,2,4,0.055053633,92,1.5022553
1,0,2,2,5,0.070309244,151,1.9185371
1,0,2,2,6,0.093600646,89,2.5540926
1,0,2,2,7,0.07259585,93,1.980932
1,0,2,3,0,0.040538944,268,1.1061913
1,0,2,3,1,0.030984804,209,0.8454862
1,0,2,3,2,0.04275691,118,1.1667132
1,0,2,3,3,0.05771361,112,1.5748385
1,0,2,3,4,0.07303073,36,1.9927987
1,0,2,3,5,0.04156365,66,1.1341525
1,0,2,3,6,0.070128635,37,1.9136088
1,0,2,3,7,0.030759333,47,0.8393338
1,0,2,4,0,0.009077534,127,0.24769981
1,0,2,4,1,0.025555542,86,0.69733727
1,0,2,4,2,0.033226874,62,0.90666586
1,0,2,4,3,0.049897257,52,1.3615527
1,0,2,4,4,0.034562565,14,0.943113
1,0,2,4,5,0.053729504,24,1.4661237
1,0,2,4,6,0.03122444,15,0.8520252
1,0,2,4,7,0.04301996,10,1.1738911
1,0,2,5,0,0.053113174,43,1.4493058
1,0,2,5,1,0.017774737,28,0.48502147
1,0,2,5,2,0.07134586,18,1.9468234
1,0,2,5,3,0.052875344,14,1.4428161
1,0,2,5,4,0.07359071,9,2.0080788
1,0,2,5,5,0.06428259,10,1.7540871
1,0,2,5,6,0.048755176,7,1.3303885
1,0,2,5,7,0.081495956,5,2.2237904
1,0,2,6,0,0.012061512,20,0.329124
1,0,2,6,1,0.017779635,8,0.48515514
1,0,2,6,2,0.02392436,9,0.652827
1,0,2,6,3,0.020449094,10,0.557997
1,0,2,6,4,0.04168158,2,1.1373705
1,0,2,6,5,0.019106558,3,0.521363
1,0,2,6,6,0.030353174,6,0.8282508
1,0,2,6,7,0.0047464967,1,0.12951826
1,0,2,7,0,0.040073175,6,1.0934818
1,0,2,7,1,0.029990494,4,0.81835437
1,0,2,7,2,0.0005328655,2,0.014540369
1,0,2,7,3,0.04956587,3,1.3525101
1,0,2,7,5,0.02957221,3,0.80694056
1,0,2,7,6,0.056389034,1,1.5386946
1,0,2,7,7,0.04956587,3,1.3525101
