inning,is_bot,outs,score_diff,bases_idx,wins,total,win_rate
1,0,0,0,0,28164,60927,0.46225811216701956
1,0,0,0,1,7376,14624,0.5043763676148797
1,0,0,0,2,1598,2973,0.5375042045072318
1,0,0,0,3,1871,3284,0.5697320341047503
1,0,0,0,4,246,434,0.5668202764976958
1,0,0,0,5,674,1172,0.5750853242320819
1,0,0,0,6,255,435,0.5862068965517241
1,0,0,0,7,440,707,0.6223479490806223
1,0,0,1,0,881,1526,0.5773263433813892
1,0,0,1,1,438,718,0.6100278551532033
1,0,0,1,2,268,437,0.6132723112128147
1,0,0,1,3,416,599,0.6944908180300501
1,0,0,1,4,60,87,0.6896551724137931
1,0,0,1,5,194,304,0.6381578947368421
1,0,0,1,6,121,167,0.7245508982035929
1,0,0,1,7,175,250,0.7
1,0,0,2,0,288,419,0.6873508353221957
1,0,0,2,1,171,238,0.7184873949579832
1,0,0,2,2,114,146,0.7808219178082192
1,0,0,2,3,148,199,0.7437185929648241
1,0,0,2,4,22,27,0.8148148148148148
1,0,0,2,5,62,79,0.7848101265822784
1,0,0,2,6,48,60,0.8
1,0,0,2,7,65,88,0.7386363636363636
1,0,0,3,0,169,215,0.786046511627907
1,0,0,3,1,71,90,0.7888888888888889
1,0,0,3,2,52,63,0.8253968253968254
1,0,0,3,3,56,68,0.8235294117647058
1,0,0,3,4,7,9,0.7777777777777778
1,0,0,3,5,33,37,0.8918918918918919
1,0,0,3,6,26,30,0.8666666666666667
1,0,0,3,7,29,34,0.8529411764705882
1,0,0,4,0,77,87,0.8850574712643678
1,0,0,4,1,35,43,0.813953488372093
1,0,0,4,2,12,14,0.8571428571428571
1,0,0,4,3,19,26,0.7307692307692307
1,0,0,4,4,3,3,1.0
1,0,0,4,5,8,9,0.8888888888888888
1,0,0,4,6,6,7,0.8571428571428571
1,0,0,4,7,8,9,0.8888888888888888
1,0,0,5,0,15,18,0.8333333333333334
1,0,0,5,1,4,5,0.8
1,0,0,5,2,7,7,1.0
1,0,0,5,3,4,6,0.6666666666666666
1,0,0,5,4,3,4,0.75
1,0,0,5,5,1,1,1.0
1,0,0,5,6,4,4,1.0
1,0,0,5,7,5,5,1.0
1,0,0,6,0,6,6,1.0
1,0,0,6,1,4,5,0.8
1,0,0,6,2,2,2,1.0
1,0,0,6,3,1,1,1.0
1,0,0,6,4,1,2,0.5
1,0,0,6,5,2,3,0.6666666666666666
1,0,0,6,6,1,1,1.0
1,0,0,6,7,0,1,0.0
1,0,0,7,0,1,1,1.0
1,0,0,7,1,1,1,1.0
1,0,0,7,2,2,2,1.0
1,0,0,7,4,1,1,1.0
1,0,0,7,5,1,1,1.0
1,0,0,8,2,1,1,1.0
1,0,0,8,3,1,1,1.0
1,0,0,9,5,1,1,1.0
1,0,1,0,0,18099,41416,0.43700502221363724
1,0,1,0,1,8426,18156,0.46408900638907247
1,0,1,0,2,2007,4202,0.47762970014278916
1,0,1,0,3,2740,5546,0.49404976559682656
1,0,1,0,4,668,1250,0.5344
1,0,1,0,5,1338,2543,0.5261502162799843
1,0,1,0,6,431,815,0.5288343558282208
1,0,1,0,7,809,1440,0.5618055555555556
1,0,1,1,0,1233,2261,0.5453339230429014
1,0,1,1,1,1154,2168,0.5322878228782287
1,0,1,1,2,570,979,0.5822267620020429
1,0,1,1,3,965,1606,0.6008717310087173
1,0,1,1,4,199,325,0.6123076923076923
1,0,1,1,5,564,900,0.6266666666666667
1,0,1,1,6,273,424,0.6438679245283019
1,0,1,1,7,481,712,0.675561797752809
1,0,1,2,0,695,1080,0.6435185185185185
1,0,1,2,1,563,902,0.6241685144124168
1,0,1,2,2,299,440,0.6795454545454546
1,0,1,2,3,387,586,0.6604095563139932
1,0,1,2,4,81,108,0.75
1,0,1,2,5,252,347,0.7262247838616714
1,0,1,2,6,156,214,0.7289719626168224
1,0,1,2,7,181,262,0.6908396946564885
1,0,1,3,0,388,532,0.7293233082706767
1,0,1,3,1,253,345,0.7333333333333333
1,0,1,3,2,157,197,0.7969543147208121
1,0,1,3,3,183,219,0.8356164383561644
1,0,1,3,4,40,58,0.6896551724137931
1,0,1,3,5,101,128,0.7890625
1,0,1,3,6,68,84,0.8095238095238095
1,0,1,3,7,79,100,0.79
1,0,1,4,0,163,198,0.8232323232323232
1,0,1,4,1,113,127,0.889763779527559
1,0,1,4,2,68,77,0.8831168831168831
1,0,1,4,3,52,65,0.8
1,0,1,4,4,22,26,0.8461538461538461
1,0,1,4,5,42,55,0.7636363636363637
1,0,1,4,6,24,29,0.8275862068965517
1,0,1,4,7,28,32,0.875
1,0,1,5,0,66,79,0.8354430379746836
1,0,1,5,1,43,49,0.8775510204081632
1,0,1,5,2,37,41,0.9024390243902439
1,0,1,5,3,26,35,0.7428571428571429
1,0,1,5,4,12,12,1.0
1,0,1,5,5,14,16,0.875
1,0,1,5,6,8,12,0.6666666666666666
1,0,1,5,7,9,9,1.0
1,0,1,6,0,24,27,0.8888888888888888
1,0,1,6,1,13,16,0.8125
1,0,1,6,2,10,10,1.0
1,0,1,6,3,12,14,0.8571428571428571
1,0,1,6,4,2,2,1.0
1,0,1,6,5,3,5,0.6
1,0,1,6,6,3,3,1.0
1,0,1,6,7,4,5,0.8
1,0,1,7,0,2,2,1.0
1,0,1,7,1,4,4,1.0
1,0,1,7,2,2,2,1.0
1,0,1,7,3,2,2,1.0
1,0,1,7,4,3,3,1.0
1,0,1,7,5,1,1,1.0
1,0,1,7,6,1,1,1.0
1,0,1,7,7,4,4,1.0
1,0,1,8,1,2,2,1.0
1,0,1,8,2,2,2,1.0
1,0,1,8,3,1,1,1.0
1,0,1,8,4,1,2,0.5
1,0,1,8,5,1,1,1.0
1,0,1,9,0,1,2,0.5
1,0,1,9,1,0,1,0.0
1,0,1,9,3,0,1,0.0
1,0,1,9,5,2,2,1.0
1,0,1,10,0,1,1,1.0
1,0,2,0,0,11856,28351,0.41818630736129236
1,0,2,0,1,5888,13442,0.43803005505133163
1,0,2,0,2,1707,3864,0.4417701863354037
1,0,2,0,3,2315,5037,0.45959896763946795
1,0,2,0,4,586,1183,0.49535080304311074
1,0,2,0,5,993,2137,0.46467009826860084
1,0,2,0,6,309,677,0.4564254062038405
1,0,2,0,7,649,1298,0.5
1,0,2,1,0,1543,2867,0.5381932333449599
1,0,2,1,1,1450,2655,0.5461393596986818
1,0,2,1,2,790,1386,0.56998556998557
