inning,is_bot,outs,score_diff,bases_idx,wins,total,win_rate
1,0,2,3,6,6,8,0.75
1,0,2,3,7,28,37,0.7567567567567568
1,0,2,4,0,95,107,0.8878504672897196
1,0,2,4,1,92,105,0.8761904761904762
1,0,2,4,2,16,17,0.9411764705882353
1,0,2,4,3,32,41,0.7804878048780488
1,0,2,4,4,6,6,1.0
1,0,2,4,5,19,22,0.8636363636363636
1,0,2,4,6,7,9,0.7777777777777778
1,0,2,4,7,9,10,0.9
1,0,2,5,0,25,26,0.9615384615384616
1,0,2,5,1,31,33,0.9393939393939394
1,0,2,5,2,5,5,1.0
1,0,2,5,3,13,13,1.0
1,0,2,5,4,1,1,1.0
1,0,2,5,5,6,8,0.75
1,0,2,5,6,0,1,0.0
1,0,2,5,7,3,3,1.0
1,0,2,6,0,14,15,0.9333333333333333
1,0,2,6,1,8,8,1.0
1,0,2,6,3,5,5,1.0
1,0,2,6,4,1,1,1.0
1,0,2,6,5,6,6,1.0
1,0,2,6,6,2,2,1.0
1,0,2,6,7,1,1,1.0
1,0,2,7,0,3,3,1.0
1,0,2,7,1,3,3,1.0
1,0,2,7,3,1,1,1.0
1,0,2,7,5,1,1,1.0
1,0,2,7,7,1,1,1.0
1,0,2,8,0,3,3,1.0
1,0,2,8,7,1,1,1.0
1,0,2,9,0,3,3,1.0
1,0,2,9,1,1,1,1.0
1,0,2,9,3,1,1,1.0
1,0,2,10,0,1,1,1.0
1,0,2,10,1,1,1,1.0
1,1,0,-10,0,0,2,0.0
1,1,0,-10,1,0,2,0.0
1,1,0,-10,3,0,1,0.0
1,1,0,-9,0,0,2,0.0
1,1,0,-9,1,0,1,0.0
1,1,0,-8,0,0,3,0.0
1,1,0,-8,1,0,1,0.0
1,1,0,-8,3,0,1,0.0
1,1,0,-7,0,0,6,0.0
1,1,0,-7,1,0,2,0.0
1,1,0,-6,0,2,31,0.06451612903225806
1,1,0,-6,1,2,12,0.16666666666666666
1,1,0,-6,2,0,2,0.0
1,1,0,-6,3,1,4,0.25
1,1,0,-6,5,0,1,0.0
1,1,0,-5,0,6,64,0.09375
1,1,0,-5,1,1,15,0.06666666666666667
1,1,0,-5,2,0,6,0.0
1,1,0,-5,3,0,4,0.0
1,1,0,-5,5,0,4,0.0
1,1,0,-5,7,0,1,0.0
1,1,0,-4,0,33,251,0.13147410358565736
1,1,0,-4,1,13,62,0.20967741935483872
1,1,0,-4,2,3,23,0.13043478260869565
1,1,0,-4,3,5,17,0.29411764705882354
1,1,0,-4,5,2,7,0.2857142857142857
1,1,0,-4,7,2,3,0.6666666666666666
1,1,0,-3,0,124,623,0.19903691813804172
1,1,0,-3,1,41,165,0.24848484848484848
1,1,0,-3,2,6,28,0.21428571428571427
1,1,0,-3,3,9,43,0.20930232558139536
1,1,0,-3,4,0,5,0.0
1,1,0,-3,5,3,19,0.15789473684210525
1,1,0,-3,6,0,1,0.0
1,1,0,-3,7,4,8,0.5
1,1,0,-2,0,445,1520,0.29276315789473684
1,1,0,-2,1,127,391,0.3248081841432225
1,1,0,-2,2,34,92,0.3695652173913043
1,1,0,-2,3,46,110,0.41818181818181815
1,1,0,-2,4,5,11,0.45454545454545453
1,1,0,-2,5,15,44,0.3409090909090909
1,1,0,-2,6,0,2,0.0
1,1,0,-2,7,10,24,0.4166666666666667
1,1,0,-1,0,1413,3516,0.40187713310580203
1,1,0,-1,1,405,954,0.42452830188679247
1,1,0,-1,2,101,190,0.531578947368421
1,1,0,-1,3,111,218,0.5091743119266054
1,1,0,-1,4,9,26,0.34615384615384615
1,1,0,-1,5,59,112,0.5267857142857143
1,1,0,-1,6,2,5,0.4
1,1,0,-1,7,32,53,0.6037735849056604
1,1,0,0,0,8940,17022,0.5252026788861474
1,1,0,0,1,2440,4335,0.5628604382929643
1,1,0,0,2,547,930,0.5881720430107527
1,1,0,0,3,694,1119,0.6201966041108132
1,1,0,0,4,92,128,0.71875
1,1,0,0,5,319,475,0.671578947368421
1,1,0,0,6,21,25,0.84
1,1,0,0,7,178,248,0.717741935483871
1,1,0,1,0,428,647,0.6615146831530139
1,1,0,1,1,313,502,0.6235059760956175
1,1,0,1,2,37,53,0.6981132075471698
1,1,0,1,3,136,195,0.6974358974358974
1,1,0,1,4,9,13,0.6923076923076923
1,1,0,1,5,108,148,0.7297297297297297
1,1,0,1,6,7,12,0.5833333333333334
1,1,0,1,7,62,74,0.8378378378378378
1,1,0,2,0,159,206,0.7718446601941747
1,1,0,2,1,118,155,0.7612903225806451
1,1,0,2,2,14,16,0.875
1,1,0,2,3,55,63,0.873015873015873
1,1,0,2,4,4,5,0.8
1,1,0,2,5,28,38,0.7368421052631579
1,1,0,2,6,3,3,1.0
1,1,0,2,7,26,30,0.8666666666666667
1,1,0,3,0,77,88,0.875
1,1,0,3,1,53,59,0.8983050847457628
1,1,0,3,2,3,5,0.6
1,1,0,3,3,16,18,0.8888888888888888
1,1,0,3,5,7,9,0.7777777777777778
1,1,0,3,6,1,1,1.0
1,1,0,3,7,9,10,0.9
1,1,0,4,0,25,32,0.78125
1,1,0,4,1,9,11,0.8181818181818182
1,1,0,4,2,2,3,0.6666666666666666
1,1,0,4,3,9,9,1.0
1,1,0,4,5,1,1,1.0
1,1,0,4,7,2,2,1.0
1,1,0,5,0,8,10,0.8
1,1,0,5,1,3,4,0.75
1,1,0,5,3,1,1,1.0
1,1,0,5,5,2,2,1.0
1,1,0,5,7,1,1,1.0
1,1,0,6,0,1,2,0.5
1,1,0,6,1,1,1,1.0
1,1,0,7,0,2,2,1.0
1,1,1,-10,1,0,1,0.0
1,1,1,-10,3,0,2,0.0
1,1,1,-9,0,0,1,0.0
1,1,1,-9,1,0,2,0.0
1,1,1,-9,3,0,1,0.0
1,1,1,-8,0,0,2,0.0
1,1,1,-8,1,0,2,0.0
1,1,1,-8,3,0,1,0.0
1,1,1,-7,0,0,3,0.0
1,1,1,-7,1,0,2,0.0
1,1,1,-7,3,0,1,0.0
1,1,1,-6,0,0,17,0.0
1,1,1,-6,1,1,11,0.09090909090909091
1,1,1,-6,3,1,4,0.25
1,1,1,-6,4,0,2,0.0
1,1,1,-6,6,0,1,0.0
1,1,1,-6,7,1,3,0.3333333333333333
1,1,1,-5,0,5,41,0.12195121951219512
1,1,1,-5,1,3,22,0.13636363636363635
1,1,1,-5,2,0,5,0.0
1,1,1,-5,3,1,5,0.2
1,1,1,-5,4,0,1,0.0
1,1,1,-5,5,1,7,0.14285714285714285
1,1,1,-5,7,2,6,0.3333333333333333
1,1,1,-4,0,17,158,0.10759493670886076
1,1,1,-4,1,9,66,0.13636363636363635
1,1,1,-4,2,2,23,0.08695652173913043
1,1,1,-4,3,3,25,0.12
1,1,1,-4,4,0,3,0.0
1,1,1,-4,5,4,13,0.3076923076923077
1,1,1,-4,6,0,1,0.0
1,1,1,-4,7,1,6,0.16666666666666666
1,1,1,-3,0,79,421,0.1876484560570071
1,1,1,-3,1,40,195,0.20512820512820512
1,1,1,-3,2,11,46,0.2391304347826087
1,1,1,-3,3,13,64,0.203125
1,1,1,-3,4,2,10,0.2
1,1,1,-3,5,8,37,0.21621621621621623
1,1,1,-3,6,2,3,0.6666666666666666
1,1,1,-3,7,10,19,0.5263157894736842
1,1,1,-2,0,268,1013,0.26456071076011844
1,1,1,-2,1,154,542,0.28413284132841327
1,1,1,-2,2,29,97,0.29896907216494845
1,1,1,-2,3,66,207,0.3188405797101449
1,1,1,-2,4,10,25,0.4
1,1,1,-2,5,29,82,0.35365853658536583
1,1,1,-2,6,1,5,0.2
1,1,1,-2,7,17,47,0.3617021276595745
1,1,1,-1,0,869,2312,0.3758650519031142
1,1,1,-1,1,479,1205,0.3975103734439834
1,1,1,-1,2,95,229,0.4148471615720524
1,1,1,-1,3,177,395,0.4481012658227848
1,1,1,-1,4,31,66,0.4696969696969697
1,1,1,-1,5,88,208,0.4230769230769231
1,1,1,-1,6,7,21,0.3333333333333333
1,1,1,-1,7,55,114,0.4824561403508772
1,1,1,0,0,5580,11258,0.49564753952744717
1,1,1,0,1,2882,5499,0.5240952900527368
1,1,1,0,2,628,1130,0.5557522123893806
1,1,1,0,3,1025,1853,0.5531570426335672
1,1,1,0,4,188,337,0.5578635014836796
1,1,1,0,5,503,850,0.591764705882353
1,1,1,0,6,63,100,0.63
1,1,1,0,7,283,472,0.5995762711864406
1,1,1,1,0,571,908,0.6288546255506607
1,1,1,1,1,748,1185,0.6312236286919831
1,1,1,1,2,95,154,0.6168831168831169
1,1,1,1,3,363,547,0.6636197440585009
1,1,1,1,4,27,40,0.675
1,1,1,1,5,247,357,0.6918767507002801
1,1,1,1,6,27,35,0.7714285714285715
1,1,1,1,7,153,204,0.75
1,1,1,2,0,304,404,0.7524752475247525
1,1,1,2,1,308,410,0.751219512195122
1,1,1,2,2,43,56,0.7678571428571429
1,1,1,2,3,135,179,0.7541899441340782
1,1,1,2,4,12,15,0.8
1,1,1,2,5,119,164,0.725609756097561
1,1,1,2,6,8,10,0.8
1,1,1,2,7,59,70,0.8428571428571429
1,1,1,3,0,162,190,0.8526315789473684
1,1,1,3,1,138,166,0.8313253012048193
1,1,1,3,2,16,20,0.8
1,1,1,3,3,61,68,0.8970588235294118
1,1,1,3,4,5,7,0.7142857142857143
1,1,1,3,5,35,48,0.7291666666666666
1,1,1,3,6,5,6,0.8333333333333334
1,1,1,3,7,27,31,0.8709677419354839
1,1,1,4,0,57,68,0.8382352941176471
1,1,1,4,1,49,62,0.7903225806451613
1,1,1,4,2,9,11,0.8181818181818182
1,1,1,4,3,23,32,0.71875
1,1,1,4,5,16,16,1.0
1,1,1,4,6,2,3,0.6666666666666666
1,1,1,4,7,6,7,0.8571428571428571
1,1,1,5,0,24,27,0.8888888888888888
1,1,1,5,1,21,22,0.9545454545454546
1,1,1,5,2,2,2,1.0
1,1,1,5,3,6,6,1.0
1,1,1,5,4,1,1,1.0
1,1,1,5,5,6,6,1.0
1,1,1,6,0,7,8,0.875
1,1,1,6,1,10,10,1.0
1,1,1,6,2,1,2,0.5
1,1,1,6,3,4,5,0.8
1,1,1,6,5,1,1,1.0
1,1,1,7,0,4,4,1.0
1,1,1,7,1,3,3,1.0
1,1,1,7,2,1,1,1.0
1,1,1,7,3,2,2,1.0
1,1,1,8,0,1,1,1.0
1,1,1,8,5,1,1,1.0
1,1,2,-10,3,0,1,0.0
1,1,2,-10,6,0,1,0.0
1,1,2,-9,1,0,1,0.0
1,1,2,-8,1,0,2,0.0
1,1,2,-7,0,0,3,0.0
1,1,2,-7,1,0,2,0.0
1,1,2,-6,0,0,14,0.0
1,1,2,-6,1,0,4,0.0
1,1,2,-6,2,0,2,0.0
1,1,2,-6,3,0,1,0.0
1,1,2,-6,4,0,2,0.0
1,1,2,-6,5,0,1,0.0
1,1,2,-6,7,1,2,0.5
