inning,is_bot,outs,score_diff,bases_idx,wins,total,win_rate
1,0,2,3,5,52,68,0.7647058823529411
1,0,2,3,6,5,8,0.625
1,0,2,3,7,27,37,0.7297297297297297
1,0,2,4,0,88,105,0.8380952380952381
1,0,2,4,1,83,100,0.83
1,0,2,4,2,16,17,0.9411764705882353
1,0,2,4,3,30,38,0.7894736842105263
1,0,2,4,4,6,6,1.0
1,0,2,4,5,18,21,0.8571428571428571
1,0,2,4,6,7,9,0.7777777777777778
1,0,2,4,7,8,9,0.8888888888888888
1,0,2,5,0,21,25,0.84
1,0,2,5,1,28,33,0.8484848484848485
1,0,2,5,2,5,5,1.0
1,0,2,5,3,12,13,0.9230769230769231
1,0,2,5,4,1,1,1.0
1,0,2,5,5,5,8,0.625
1,0,2,5,6,0,1,0.0
1,0,2,5,7,2,3,0.6666666666666666
1,0,2,6,0,12,13,0.9230769230769231
1,0,2,6,1,8,8,1.0
1,0,2,6,3,5,5,1.0
1,0,2,6,4,1,1,1.0
1,0,2,6,5,5,6,0.8333333333333334
1,0,2,6,6,2,2,1.0
1,0,2,6,7,1,1,1.0
1,0,2,7,0,3,3,1.0
1,0,2,7,1,2,2,1.0
1,0,2,7,3,1,1,1.0
1,0,2,7,5,1,1,1.0
1,0,2,7,7,1,1,1.0
1,0,2,8,0,3,3,1.0
1,0,2,8,7,1,1,1.0
1,0,2,9,0,2,3,0.6666666666666666
1,0,2,9,1,1,1,1.0
1,0,2,9,3,1,1,1.0
1,0,2,10,0,0,1,0.0
1,0,2,10,1,1,1,1.0
1,1,0,-10,0,1,2,0.5
1,1,0,-10,1,1,2,0.5
1,1,0,-10,3,1,1,1.0
1,1,0,-9,0,0,2,0.0
1,1,0,-9,1,0,1,0.0
1,1,0,-8,0,0,3,0.0
1,1,0,-8,1,0,1,0.0
1,1,0,-8,3,0,1,0.0
1,1,0,-7,0,0,5,0.0
1,1,0,-7,1,0,1,0.0
1,1,0,-6,0,3,29,0.10344827586206896
1,1,0,-6,1,2,11,0.18181818181818182
1,1,0,-6,2,0,2,0.0
1,1,0,-6,3,1,4,0.25
1,1,0,-6,5,0,1,0.0
1,1,0,-5,0,11,64,0.171875
1,1,0,-5,1,3,15,0.2
1,1,0,-5,2,0,6,0.0
1,1,0,-5,3,2,4,0.5
1,1,0,-5,5,0,4,0.0
1,1,0,-5,7,0,1,0.0
1,1,0,-4,0,40,244,0.16393442622950818
1,1,0,-4,1,16,61,0.26229508196721313
1,1,0,-4,2,4,23,0.17391304347826086
1,1,0,-4,3,5,17,0.29411764705882354
1,1,0,-4,5,2,7,0.2857142857142857
1,1,0,-4,7,2,3,0.6666666666666666
1,1,0,-3,0,157,614,0.255700325732899
1,1,0,-3,1,51,163,0.3128834355828221
1,1,0,-3,2,7,28,0.25
1,1,0,-3,3,15,43,0.3488372093023256
1,1,0,-3,4,1,4,0.25
1,1,0,-3,5,6,19,0.3157894736842105
1,1,0,-3,6,0,1,0.0
1,1,0,-3,7,5,8,0.625
1,1,0,-2,0,558,1500,0.372
1,1,0,-2,1,164,385,0.42597402597402595
1,1,0,-2,2,41,92,0.44565217391304346
1,1,0,-2,3,54,109,0.4954128440366973
1,1,0,-2,4,6,10,0.6
1,1,0,-2,5,18,42,0.42857142857142855
1,1,0,-2,6,0,2,0.0
