season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,571584.0,Caleb Cotham,Caleb,Cotham,Caleb,C Cotham,P,0.0,0.0,,18.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,6.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,31.0,12.0,2.0,6.0,17.0,14.0,0.0,3.0,18.0,0.0,9.0,0.0,0.333,0.0,0.333,0.429,0.333,0.0,,4.429,0.0,0.0,0.143,31.0
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,543101.0,Anthony DeSclafani,Anthony,DeSclafani,Anthony,A DeSclafani,P,0.0,0.0,,6.75,6.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,17.0,16.0,3.0,4.0,0.0,0.0,3.0,3.0,2.0,10.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,60.0,25.0,6.0,11.0,43.0,17.0,0.0,1.25,9.0,4.5,2.25,11.25,0.222,5.0,0.25,0.294,0.75,0.294,0.2,3.529,0.118,0.294,0.059,15.0
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,543483.0,Matt Magill,Matthew,Magill,Matt,M Magill,P,0.0,0.0,,6.517,6.517,9.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,9.2,9.667,46.0,39.0,7.0,12.0,2.0,0.0,7.0,7.0,0.0,14.0,6.0,0.0,16.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,6.0,2.0,0.0,194.0,82.0,26.0,24.0,119.0,75.0,3.0,1.862,11.172,0.0,5.586,14.896,0.522,2.667,0.308,0.4,0.41,0.348,0.375,4.217,0.0,0.348,0.13,20.068
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,607517.0,Jake Ehret,Jacob,Ehret,Jake,J Ehret,P,3.0,2.0,0.6,5.4,6.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,30.0,141.0,117.0,20.0,29.0,4.0,0.0,20.0,18.0,2.0,39.0,21.0,1.0,31.0,2.0,0.0,1.0,17.0,0.0,7.0,0.0,9.0,6.0,11.0,0.0,3.0,2.0,0.0,5.0,0.0,11.0,18.0,30.0,28.0,5.0,5.0,544.0,228.0,68.0,87.0,311.0,233.0,2.0,1.667,8.7,0.6,6.3,9.3,0.321,1.476,0.248,0.371,0.385,0.22,0.677,3.858,0.014,0.22,0.149,18.133
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,607335.0,Jimmy Moran,James,Moran,Jimmy,J Moran,P,0.0,1.0,0.0,5.4,7.714,11.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.2,11.667,59.0,50.0,10.0,14.0,4.0,0.0,10.0,7.0,1.0,21.0,7.0,0.0,17.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,5.0,14.0,7.0,1.0,1.0,250.0,113.0,28.0,35.0,158.0,92.0,1.0,1.8,10.8,0.771,5.4,13.114,0.419,2.429,0.28,0.362,0.52,0.288,0.412,4.237,0.017,0.288,0.119,21.428
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,605376.0,Kyle McMyne,Kyle,McMyne,Kyle,K McMyne,P,5.0,4.0,0.556,5.241,5.4,46.0,0.0,27.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,56.2,56.667,256.0,226.0,34.0,70.0,10.0,4.0,34.0,33.0,3.0,97.0,19.0,1.0,37.0,2.0,0.0,5.0,40.0,0.0,10.0,3.0,6.0,3.0,25.0,7.0,3.0,1.0,0.0,13.0,0.0,28.0,24.0,88.0,40.0,6.0,10.0,929.0,444.0,99.0,198.0,571.0,358.0,5.0,1.571,11.118,0.476,3.018,5.876,0.374,1.947,0.31,0.358,0.504,0.145,0.514,3.629,0.012,0.145,0.074,16.394
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,641816.0,Tyler Mahle,Tyler,Mahle,Tyler,T Mahle,P,6.0,3.0,0.667,4.921,5.678,14.0,14.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,71.1,71.333,309.0,278.0,45.0,78.0,17.0,3.0,45.0,39.0,12.0,137.0,20.0,0.0,65.0,6.0,0.0,3.0,51.0,0.0,0.0,0.0,4.0,2.0,48.0,2.0,3.0,5.0,0.0,27.0,0.0,30.0,40.0,70.0,70.0,14.0,16.0,1164.0,511.0,106.0,218.0,755.0,409.0,2.0,1.374,9.841,1.514,2.523,8.201,0.332,3.25,0.281,0.34,0.608,0.21,0.308,3.767,0.039,0.21,0.065,16.318
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,595337.0,El'Hajj Muhammad,El'Hajj,Muhammad,El'Hajj,E Muhammad,P,2.0,1.0,0.667,3.938,5.062,33.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,48.0,48.0,209.0,185.0,27.0,47.0,6.0,1.0,27.0,21.0,4.0,67.0,19.0,0.0,35.0,2.0,0.0,5.0,32.0,0.0,14.0,6.0,20.0,7.0,23.0,2.0,3.0,2.0,0.0,11.0,1.0,21.0,34.0,53.0,53.0,11.0,8.0,834.0,358.0,76.0,153.0,505.0,329.0,0.0,1.375,8.812,0.75,3.562,6.562,0.299,1.842,0.254,0.327,0.422,0.167,0.543,3.99,0.019,0.167,0.091,17.375
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,621072.0,Nick Travieso,Nicholas,Travieso,Nick,N Travieso,P,5.0,7.0,0.417,3.835,4.219,23.0,23.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,117.1,117.333,510.0,440.0,55.0,109.0,15.0,4.0,55.0,50.0,11.0,165.0,53.0,1.0,91.0,7.0,0.0,11.0,79.0,0.0,0.0,0.0,12.0,3.0,49.0,4.0,16.0,5.0,1.0,24.0,3.0,40.0,79.0,116.0,134.0,32.0,23.0,1936.0,888.0,185.0,359.0,1182.0,754.0,13.0,1.381,8.361,0.844,4.065,6.98,0.293,1.717,0.248,0.335,0.443,0.178,0.582,3.796,0.022,0.178,0.104,16.5
2016.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,592347.0,Carlos Gonzalez,Carlos,Gonzalez,Carlos,C Gonzalez,P,7.0,3.0,0.7,3.774,4.065,49.0,0.0,29.0,0.0,0.0,0.0,12.0,8.0,7.0,4.0,62.0,62.0,254.0,221.0,28.0,50.0,4.0,1.0,28.0,26.0,4.0,68.0,22.0,2.0,57.0,6.0,0.0,7.0,46.0,0.0,23.0,7.0,5.0,2.0,24.0,1.0,4.0,2.0,0.0,8.0,0.0,23.0,28.0,63.0,56.0,16.0,12.0,979.0,447.0,127.0,169.0,609.0,370.0,7.0,1.161,7.258,0.581,3.194,8.274,0.289,2.591,0.226,0.312,0.348,0.224,0.386,3.854,0.016,0.224,0.087,15.79
