season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,425515.0,Jeremy Griffiths,Jeremy,Griffiths,Jeremy,J Griffiths,P,0.0,1.0,0.0,11.789,12.929,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,23.667,125.0,95.0,34.0,30.0,6.0,1.0,34.0,31.0,2.0,44.0,26.0,0.0,8.0,0.0,0.0,2.0,25.0,0.0,3.0,0.0,4.0,4.0,13.0,4.0,2.0,0.0,0.0,8.0,0.0,7.0,25.0,17.0,44.0,17.0,2.0,224.0,106.0,15.0,91.0,117.0,107.0,2.0,2.366,11.408,0.761,9.887,3.042,0.346,0.308,0.316,0.448,0.558,0.064,3.25,1.792,0.016,0.064,0.208,9.465
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,150041.0,Phil Norton,Phillip,Norton,Phil,P Norton,P,0.0,1.0,0.0,10.5,15.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,35.0,23.0,10.0,7.0,1.0,1.0,10.0,7.0,0.0,10.0,10.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,72.0,31.0,9.0,22.0,31.0,41.0,0.0,2.833,10.5,0.0,15.0,4.5,0.35,0.3,0.304,0.515,0.522,0.086,3.333,2.057,0.0,0.086,0.286,12.0
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,408197.0,Tim McClaskey,Timothy,McClaskey,Tim,T McClaskey,P,0.0,2.0,0.0,9.281,9.281,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.667,52.0,46.0,11.0,14.0,4.0,2.0,11.0,11.0,2.0,28.0,6.0,1.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,9.0,14.0,10.0,0.0,1.0,88.0,53.0,15.0,38.0,62.0,26.0,0.0,1.875,11.812,1.687,5.062,6.75,0.333,1.333,0.304,0.385,0.783,0.154,0.75,1.692,0.038,0.154,0.115,8.25
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,136728.0,Chris Fussell,Christopher,Fussell,Chris,C Fussell,P,1.0,6.0,0.143,6.876,7.043,20.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.2,53.667,256.0,198.0,42.0,57.0,8.0,0.0,42.0,41.0,9.0,92.0,50.0,1.0,30.0,3.0,0.0,11.0,49.0,0.0,4.0,4.0,3.0,2.0,21.0,3.0,5.0,4.0,1.0,19.0,0.0,12.0,46.0,54.0,62.0,12.0,4.0,476.0,235.0,62.0,173.0,265.0,211.0,7.0,1.994,9.559,1.509,8.385,5.031,0.308,0.6,0.288,0.433,0.551,0.117,1.667,1.859,0.035,0.117,0.195,8.87
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,439511.0,Denton McDaniel,Denton,McDaniel,Denton,D McDaniel,P,1.0,0.0,1.0,6.0,6.333,18.0,0.0,4.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,27.0,27.0,118.0,105.0,19.0,34.0,3.0,0.0,19.0,18.0,7.0,58.0,8.0,0.0,10.0,2.0,0.0,4.0,19.0,0.0,11.0,4.0,1.0,0.0,12.0,3.0,0.0,0.0,0.0,13.0,0.0,6.0,23.0,32.0,32.0,8.0,1.0,162.0,119.0,20.0,98.0,128.0,34.0,0.0,1.556,11.333,2.333,2.667,3.333,0.318,1.25,0.324,0.373,0.648,0.085,0.8,1.373,0.059,0.085,0.068,6.0
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,117044.0,Brooks Kieschnick,Michael,Kieschnick,Brooks,B Kieschnick,P,2.0,4.0,0.333,5.718,7.147,45.0,0.0,11.0,0.0,0.0,0.0,4.0,1.0,7.0,3.0,56.2,56.667,267.0,234.0,45.0,77.0,13.0,0.0,45.0,36.0,13.0,129.0,26.0,5.0,34.0,4.0,0.0,6.0,53.0,0.0,7.0,3.0,15.0,8.0,32.0,1.0,7.0,1.0,0.0,28.0,0.0,17.0,38.0,64.0,62.0,18.0,6.0,430.0,273.0,69.0,203.0,313.0,117.0,3.0,1.818,12.229,2.065,4.129,5.4,0.344,1.308,0.329,0.404,0.662,0.127,0.765,1.61,0.049,0.127,0.097,7.588
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,400056.0,Carlos Hernandez,Carlos,Hernandez,Carlos,C Hernández,P,5.0,8.0,0.385,5.562,5.764,21.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,404.0,343.0,57.0,99.0,21.0,3.0,57.0,55.0,17.0,177.0,54.0,2.0,66.0,5.0,1.0,10.0,72.0,0.0,0.0,0.0,9.0,0.0,54.0,1.0,4.0,7.0,2.0,38.0,1.0,35.0,69.0,65.0,115.0,31.0,15.0,708.0,420.0,141.0,279.0,479.0,229.0,1.0,1.719,10.011,1.719,5.461,6.674,0.317,1.222,0.289,0.392,0.636,0.163,0.818,1.752,0.042,0.163,0.134,7.955
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,430588.0,Fernando Nieve,Fernando,Nieve,Fernando,F Nieve,P,4.0,4.0,0.5,4.829,4.939,13.0,13.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,82.0,82.0,372.0,327.0,45.0,92.0,16.0,3.0,45.0,44.0,10.0,144.0,33.0,2.0,75.0,5.0,0.0,5.0,55.0,0.0,0.0,0.0,2.0,2.0,43.0,5.0,4.0,2.0,0.0,29.0,0.0,22.0,64.0,69.0,98.0,17.0,17.0,628.0,418.0,159.0,259.0,485.0,143.0,3.0,1.524,10.098,1.098,3.622,8.232,0.346,2.273,0.281,0.351,0.529,0.202,0.44,1.688,0.027,0.202,0.089,7.659
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,430587.0,Taylor Buchholz,Taylor,Buchholz,Taylor,T Buchholz,P,6.0,0.0,1.0,4.813,4.813,20.0,14.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,76.2,76.667,323.0,287.0,41.0,79.0,9.0,3.0,41.0,41.0,14.0,136.0,27.0,0.0,45.0,4.0,0.0,11.0,48.0,0.0,0.0,0.0,3.0,2.0,54.0,2.0,8.0,3.0,0.0,37.0,0.0,20.0,56.0,96.0,72.0,9.0,7.0,507.0,345.0,98.0,247.0,388.0,119.0,2.0,1.383,9.274,1.643,3.17,5.283,0.288,1.667,0.275,0.344,0.564,0.139,0.6,1.57,0.043,0.139,0.084,6.613
2005.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,328092.0,Brian Tollberg,Brian,Tollberg,Brian,B Tollberg,P,4.0,3.0,0.571,4.665,4.806,10.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,63.2,63.667,264.0,241.0,34.0,71.0,16.0,1.0,34.0,33.0,11.0,122.0,12.0,2.0,41.0,4.0,0.0,6.0,36.0,1.0,0.0,0.0,1.0,0.0,47.0,3.0,5.0,5.0,1.0,32.0,0.0,13.0,48.0,57.0,78.0,23.0,7.0,394.0,308.0,102.0,206.0,335.0,59.0,1.0,1.304,10.037,1.555,1.696,5.796,0.323,3.417,0.295,0.335,0.622,0.155,0.293,1.492,0.042,0.155,0.045,6.188
