mlbam_id,lahman_id
123869,wallere01
114878,goarjo01
117450,landera01
430898,alfarja01
120406,perezda01
124010,weavero01
113784,eischjo01
116410,irwinwa01
123361,tisinja01
119499,mullijo02
677951,wittbo02
819692,dunbave01
476704,lowrije01
115069,graymi01
113092,davieje01
117470,langdo01
112736,counscr01
623520,boteda01
113536,dozied.01
502011,claibpr01
119577,murrato02
679563,rodrijo09
124292,willich01
115861,hershor01
116244,hriniwa01
118849,mcnaugo01
118965,mercema01
605513,turnbsp01
122628,squirmi01
122716,stegmda01
112029,carrle01
120349,pedrial01
122124,shepara01
572810,denniry01
118108,maddefr01
110648,bartobo01
121191,riddldo01
276376,johnsni01
113372,dillopa01
458668,danksjo02
116965,kelsobi01
122615,sprigge01
118385,martyjo01
608385,winkeje01
124742,zannido01
448590,melilke01
116871,keaglgr01
571431,adamsma01
408212,grossga01
817743,picca01
456034,priceda01
124747,zauchno01
816716,washija01
117918,lopezhe01
113145,daviswi01
115263,gutieri01
113097,davisbi01
218595,woodwch01
115726,helfrty01
119551,murphdw01
667725,tylerky01
115542,harribo02
817083,stins02
621550,wisdopa01
543340,hudsoky01
113225,delanar01
502205,greengr01
112682,cordoma01
820101,charlre01
118281,marenle01
121364,rodriro02
116050,hoggbi01
668952,kreidry01
670087,sittibr01
122444,smithpe01
112690,cormirh01
120387,pennywi01
111595,brownto01
111167,bolaned01
666622,marqubr01
121754,schacal01
502139,stinsjo01
113642,dunnemi01
112296,ciprifr01
111774,burrojo01
112830,criscda01
434623,morilju01
117511,larosjo01
676979,crochga01
113641,dunnto01
501687,martelu01
607333,taylobe11
425513,brazecr01
595441,tracyma01
115379,hamilda01
452215,montzlu01
457566,burkegr01
114466,frymawo01
592329,garcija03
120632,plympje01
592169,briceau01
627500,tsengje01
111605,brownge01
425428,depaujo01
118371,martide01
571602,davidma02
817435,rossho01
111922,campbbr01
119131,millebi03
119929,o'deake01
818005,napolla01
687931,whiseca01
119639,nagleju01
543507,maytr01
669093,estraje01
120060,o'roumi01
114396,fredrsc01
451713,pegueca01
120809,purneos01
514639,ortegjo01
501981,daviskh01
123980,watkipa01
115009,gracemi01
123391,tompkch01
118271,mapescl01
122119,sheltsk01
123504,turbege01
818243,mccurji01
817665,pritcwi01
818572,lamarji01
118254,manseto01
115119,gregofr01
121256,rizzojo01
461791,marmoca01
118162,mahleri01
424725,sadleca01
595918,coleaj01
571918,marrede01
663362,waldrma01
111614,brucelo01
133222,priesed01
118668,mcfadgu01
594824,garcigr01
117936,lough01
123884,walshjo04
110685,batiske01
820382,brittjo01
817266,siasge01
119431,moschro01
113550,draubja01
118365,martied01
820233,cabrelu01
121117,reynoar02
121457,rosebze01
692225,campbkr01
593958,rodried05
123221,theobro01
276537,richach01
123105,tatest01
457821,bankswe01
124559,woodscl01
122993,suskope01
114952,goodmbi01
621051,wilsost02
115988,hoakdo01
818128,missoji01
111738,burnehe01
112615,conweed01
114144,firovda01
111607,brownpi01
817799,pereijo01
121489,rothbr01
110442,bailefr01
425817,foppeje01
657117,williau01
114944,goodwi01
430631,abercre01
118110,maddemi01
430838,taverwi01
592351,grayjo02
121806,schesdu01
819891,dallapo01
622210,parmlia01
116747,jordabr01
623507,lestejo02
120573,piezsa01
123352,tinglro01
115796,henslch01
119061,millech03
592135,bedroca01
451532,billich01
492653,huffge99
122585,spencbe01
119062,millech02
118599,mccormi01
122783,stewasa01
816429,youngma04
114301,fordge02
124687,youngch01
122714,steevmo01
502161,cousisc01
817601,reddul01
817377,sanchra02
150067,trubych01
111142,boehlge01
118054,lyonste02
117420,lakerti01
817326,scottjo05
668939,rutscad01
111942,campeca01
519023,mesorde01
572204,thomptr01
111199,bonilbo01
118227,mandaca01
113267,denmabr01
119973,o'leach01
120311,paulsgi01
594940,munoda01
818818,jenkiho02
820366,brooksi01
121955,seaneru01
115533,harrine01
816770,walkeed02
820154,cartebi01
112207,chappha01
115478,harknsp01
400067,silvaca01
123275,thompbo01
818532,lee04
605280,holmecl01
113746,edmonpa01
123386,tomerge01
820591,barnefr03
118468,mayca01
124258,wilhesp01
121482,rossejo01
118201,malloju01
407885,ellisma01
124754,zeidero01
527049,puellce01
819144,harriwi11
123373,toddja01
820563,battlru01
123547,uhaltfr01
113710,eastepa01
118889,meadojo01
700932,manzaky01
819305,gravebo01
115145,griffpa01
118193,malinto01
111565,brownke02
116791,jumonge01
120392,peplohe01
682010,ramsela02
110375,auderi01
819009,hillpe99
123136,taylofr01
592450,judgeaa01
117011,kerlior01
114911,gomezle02
114788,gilesbr01
123532,twombge01
819016,hillle01
122994,sutclbu01
117412,lahtije01
123145,tayloja01
493547,storemi01
816669,wesleed01
137204,snydeja01
400090,cintral01
117852,lockero01
115461,hardyal01
607755,vasquan02
122784,stewash01
116333,huntehe01
124166,whiteed01
119825,nolesdi01
134002,martira03
121700,santone01
110343,arundha01
122127,sheppjo01
119968,oldfida01
117875,lolicmi01
119276,moodyer01
117776,lindavi01
456501,cuetojo01
111078,blankho01
150150,boydja02
424825,crispco01
121853,schofdi01
124685,youngan01
111232,bordepa01
476011,malonma02
114074,fernasi01
820584,barneve01
111122,bluejji01
276529,josepke01
489265,romose01
111483,britoti01
501317,peguefr01
111986,carewro01
114084,ferrabi01
816851,valdefa01
425663,thompde01
116891,keelewi01
