mgr_id,year,team,mgr_name,games,wins,runs_for,runs_against,one_run_games,one_run_wins,extra_inn_games,extra_inn_wins,blowout_games,blowout_wins,total_pitchers_used,avg_opp_pitchers,sb,cs,winpct,pyth_winpct,pyth_expected_W,pyth_residual,one_run_winpct,extra_inn_winpct,blowout_winpct,close_games,close_wins,close_winpct,close_residual,bullpen_aggr,sb_attempts,sb_success,sb_per_game,bat_war,pit_war,top5_war,total_war,years_experience,career_games,predicted_pyth_resid,mgr_value,mgr_value_combined
actam801,2010,CLE,Manny Acta,162,69,646,752,44,23,12,6,39,16,632,3.697530864197531,1184,91,0.42592592592592593,0.43093328719938356,69.81119252630013,-0.8111925263001325,0.5227272727272727,0.5,0.41025641025641024,56,29,0.5178571428571429,1.0,3.9012345679012346,1275,0.9286274509803921,7.87037037037037,-1.4799999999999995,9.94,14.42,8.46,0,0,-3.7306337,2.919441209356606,2.103608846549624
actam801,2011,CLE,Manny Acta,162,80,704,760,56,30,14,6,31,11,644,3.7901234567901234,1269,89,0.49382716049382713,0.46504005304409307,75.33648859314307,4.6635114068569266,0.5357142857142857,0.42857142857142855,0.3548387096774194,70,36,0.5142857142857142,1.0,3.9753086419753085,1358,0.9344624447717231,8.382716049382717,7.02,21.8,21.93,28.82,1,162,6.4626493,-1.7991379385410227,-1.1993965569787157
actam801,2012,CLE,Manny Acta,156,65,634,807,34,23,11,4,31,7,619,3.8205128205128207,1027,105,0.4166666666666667,0.39137581191718035,61.054626659080135,3.945373340919865,0.6764705882352942,0.36363636363636365,0.22580645161290322,45,27,0.6,4.5,3.967948717948718,1132,0.907243816254417,7.256410256410256,5.68,11.07,20.2,16.75,2,324,4.218566,-0.2731925999370688,0.07876518004405181
ausmb001,2014,DET,Brad Ausmus,162,90,757,705,43,23,12,6,37,20,635,3.888888888888889,1144,106,0.5555555555555556,0.5325122544329628,86.26698521813998,3.733014781860021,0.5348837209302325,0.5,0.5405405405405406,55,29,0.5272727272727272,1.5,3.919753086419753,1250,0.9152,7.716049382716049,23.17,38.36,32.43000000000001,61.53,0,0,4.2547398,-0.5217249794925181,-0.2752074856447626
ausmb001,2015,DET,Brad Ausmus,161,74,689,803,48,26,17,9,39,15,666,3.869565217391304,1259,83,0.45962732919254656,0.43040533231493855,69.29525850270511,4.70474149729489,0.5416666666666666,0.5294117647058824,0.38461538461538464,65,35,0.5384615384615384,2.5,4.136645962732919,1342,0.9381520119225037,8.335403726708075,13.92,7.71,19.57,21.63,1,162,-1.2335923,5.9383337690997,4.30683363836979
ausmb001,2016,DET,Brad Ausmus,160,85,743,719,43,26,9,5,28,15,633,3.88125,1301,57,0.53125,0.5150173512211631,82.4027761953861,2.597223804613904,0.6046511627906976,0.5555555555555556,0.5357142857142857,52,31,0.5961538461538461,5.0,3.95625,1358,0.9580265095729014,8.4875,18.74,18.069999999999997,25.11,36.809999999999995,2,323,2.8969438,-0.2997200029880247,0.0901959979083827
ausmb001,2017,DET,Brad Ausmus,162,64,735,894,40,17,5,1,46,15,672,4.030864197530864,1313,65,0.3950617283950617,0.4113521286408332,66.63904483981499,-2.6390448398149857,0.425,0.2,0.32608695652173914,45,18,0.4,-4.5,4.148148148148148,1378,0.9528301886792453,8.506172839506172,4.4300000000000015,4.73,14.18,9.160000000000002,3,483,-2.5208528,-0.11819203563102576,-0.35273442494171797
baked002,2010,CIN,Dusty Baker,160,89,778,679,53,26,19,11,31,19,656,4.08125,1209,92,0.55625,0.5619482908858078,89.91172654172925,-0.9117265417292515,0.49056603773584906,0.5789473684210527,0.6129032258064516,72,37,0.5138888888888888,1.0,4.1,1301,0.9292851652574943,8.13125,37.660000000000004,16.08,26.5,53.74,0,0,-1.2545966,0.3428700492665371,0.3000090344865759
baked002,2011,CIN,Dusty Baker,162,79,735,720,62,29,17,12,26,13,663,4.234567901234568,1250,97,0.4876543209876543,0.5094322047894554,82.52801717589178,-3.528017175891776,0.46774193548387094,0.7058823529411765,0.5,79,41,0.5189873417721519,1.5,4.092592592592593,1347,0.9279881217520416,8.314814814814815,20.12,11.940000000000001,23.72,32.06,1,160,-2.4608986,-1.0671185381201695,-0.6569829766841186
baked002,2012,CIN,Dusty Baker,151,90,635,556,47,27,12,6,18,11,548,3.9072847682119205,1167,85,0.5960264900662252,0.5604842943289475,84.63312844367108,5.366871556328917,0.574468085106383,0.5,0.6111111111111112,59,33,0.559322033898305,3.5,3.629139072847682,1252,0.9321086261980831,8.291390728476822,34.56,29.770000000000003,22.729999999999997,64.33000000000001,2,322,3.4148486,1.952022990273619,1.5764160931915332
baked002,2013,CIN,Dusty Baker,162,90,698,589,49,27,22,13,29,18,623,4.030864197530864,1245,67,0.5555555555555556,0.5770612495345572,93.48392242459826,-3.483922424598262,0.5510204081632653,0.5909090909090909,0.6206896551724138,71,40,0.5633802816901409,4.5,3.845679012345679,1312,0.9489329268292683,8.098765432098766,33.46,25.42,30.65,58.88,3,473,-3.3872526,-0.09666985539965367,0.2023311012202424
baked002,2016,WAS,Dusty Baker,161,94,762,612,44,25,13,5,25,20,667,4.391304347826087,1245,121,0.5838509316770186,0.5989668398587529,96.43366121725921,-2.433661217259214,0.5681818181818182,0.38461538461538464,0.8,57,30,0.5263157894736842,1.5,4.142857142857143,1366,0.9114202049780381,8.48447204968944,38.81,29.69,27.770000000000003,68.5,4,635,-0.5414927,-1.8921685166824318,-1.234517961677702
baked002,2017,WAS,Dusty Baker,160,95,811,671,51,30,11,7,29,17,644,4.2125,1310,106,0.59375,0.5858372524901758,93.73396039842814,1.2660396015718618,0.5882352941176471,0.6363636363636364,0.5862068965517241,62,37,0.5967741935483871,6.0,4.025,1416,0.9251412429378532,8.85,37.67,22.959999999999997,29.0,60.629999999999995,5,796,-1.1674043,2.433443895585839,2.063410726910087
baked002,2021,HOU,Dusty Baker,161,94,854,652,40,21,17,9,41,30,669,4.39751552795031,1209,53,0.5838509316770186,0.6210229847603405,99.98470054641481,-5.984700546414814,0.525,0.5294117647058824,0.7317073170731707,57,30,0.5263157894736842,1.5,4.15527950310559,1262,0.9580031695721077,7.838509316770186,27.93,25.16,26.640000000000004,53.09,6,956,-4.246978,-1.7377227403235054,-1.1264059182264536
baked002,2022,HOU,Dusty Baker,156,103,712,496,43,28,10,5,29,21,619,4.128205128205129,1140,81,0.6602564102564102,0.6596081812958504,102.89887628215267,0.10112371784732943,0.6511627906976745,0.5,0.7241379310344828,53,33,0.6226415094339622,6.5,3.967948717948718,1221,0.9336609336609336,7.826923076923077,23.8,35.27,30.979999999999997,59.07000000000001,7,1117,-0.5460003,0.6471240196852506,0.8429868137796754
baked002,2023,HOU,Dusty Baker,162,90,827,698,41,20,9,1,35,24,675,4.290123456790123,1241,107,0.5555555555555556,0.5769686478855739,93.46892095746297,-3.46892095746297,0.4878048780487805,0.1111111111111111,0.6857142857142857,50,21,0.42,-4.0,4.166666666666667,1348,0.9206231454005934,8.320987654320987,24.27,19.540000000000003,23.580000000000002,43.81,8,1273,-3.7466002,0.2776791935990417,-0.045624564480670815
baldr001,2019,MIN,Rocco Baldelli,162,101,939,754,35,23,12,5,34,25,686,4.506172839506172,1334,28,0.6234567901234568,0.599058636608029,97.04749913050071,3.952500869499289,0.6571428571428571,0.4166666666666667,0.7352941176470589,47,28,0.5957446808510638,4.5,4.234567901234568,1362,0.9794419970631424,8.407407407407407,31.890000000000004,23.24,22.270000000000003,55.13,0,0,4.0472555,-0.09475464655295696,0.2036717474129301
baldr001,2021,MIN,Rocco Baldelli,157,69,711,825,44,25,21,10,30,11,672,4.24203821656051,1366,52,0.4394904458598726,0.43238154596539563,67.8839027165671,1.116097283432893,0.5681818181818182,0.47619047619047616,0.36666666666666664,65,35,0.5384615384615384,2.5,4.280254777070064,1418,0.9633286318758815,9.031847133757962,7.99,7.300000000000001,15.68,15.290000000000001,1,162,-1.1610851,2.2771824122170727,1.7440276885519508
baldr001,2022,MIN,Rocco Baldelli,156,75,683,659,45,17,15,5,37,20,683,4.461538461538462,1311,37,0.4807692307692308,0.5163595396290105,80.55208818212563,-5.55208818212563,0.37777777777777777,0.3333333333333333,0.5405405405405406,60,22,0.36666666666666664,-8.0,4.378205128205129,1348,0.9725519287833828,8.64102564102564,6.300000000000001,24.770000000000003,16.98,31.070000000000004,2,319,1.9955134,-7.547601621304096,-5.763321134912868
baldr001,2023,MIN,Rocco Baldelli,162,87,778,659,46,19,20,12,33,23,650,4.41358024691358,1654,86,0.5370370370370371,0.5753676448815704,93.20955847081441,-6.2095584708144145,0.41304347826086957,0.6,0.696969696969697,66,31,0.4696969696969697,-2.0,4.012345679012346,1740,0.9505747126436782,10.74074074074074,13.62,25.37,19.21,38.99,3,475,-0.08908429,-6.120474180846401,-4.40433192659248
baldr001,2024,MIN,Rocco Baldelli,162,82,742,735,42,22,14,5,34,19,697,4.308641975308642,1306,65,0.5061728395061729,0.5043364166287149,81.7024994938518,0.29750050614819656,0.5238095238095238,0.35714285714285715,0.5588235294117647,56,27,0.48214285714285715,-1.0,4.302469135802469,1371,0.9525893508388038,8.462962962962964,13.63,23.44,17.24,37.07,4,637,0.83494925,-0.5374487488414275,-0.4362141241889992
baldr001,2025,MIN,Rocco Baldelli,162,70,678,773,42,15,15,4,37,15,705,4.271604938271605,1372,114,0.43209876543209874,0.44029346727814744,71.32754169905989,-1.3275416990598927,0.35714285714285715,0.26666666666666666,0.40540540540540543,57,19,0.3333333333333333,-9.5,4.351851851851852,1486,0.9232839838492598,9.17283950617284,0.04000000000000181,11.219999999999999,15.72,11.260000000000002,5,799,0.2706201,-1.5981618067106496,-1.6887132646974548
banij001,2015,TEX,Jeff Banister,162,88,751,733,49,27,9,5,43,21,660,4.234567901234568,1233,101,0.5432098765432098,0.5110971044489145,82.79773092072415,5.202269079275851,0.5510204081632653,0.5555555555555556,0.4883720930232558,58,32,0.5517241379310345,3.0,4.074074074074074,1334,0.9242878560719641,8.234567901234568,10.450000000000003,21.740000000000002,20.729999999999997,32.190000000000005,0,0,6.3115945,-1.1093254069607212,-0.5965277848725048
banij001,2016,TEX,Jeff Banister,162,95,765,757,47,36,12,6,30,12,641,3.993827160493827,1220,99,0.5864197530864198,0.5048093571997316,81.77911586635652,13.22088413364348,0.7659574468085106,0.5,0.4,59,42,0.711864406779661,12.5,3.95679012345679,1319,0.9249431387414708,8.141975308641975,27.1,14.999999999999998,25.82,42.1,1,162,-0.9417459,14.16263001090941,10.663841007636586
banij001,2017,TEX,Jeff Banister,160,78,798,807,36,13,10,5,42,22,619,4.3,1475,113,0.4875,0.4948692851940165,79.17908563104264,-1.1790856310426392,0.3611111111111111,0.5,0.5238095238095238,46,18,0.391304347826087,-5.0,3.86875,1588,0.9288413098236776,9.925,15.830000000000002,3.4000000000000004,19.59,19.230000000000004,2,324,-1.6159822,0.43689654383071286,0.005827580681498967
