playerID,mgr_name,yearID,teamID,actual_W,actual_L,R,RA,pyth_expected_W,pyth_residual,total_war,sb_per_game,sb_success_rate,cg_rate,mgr_value
actama99,Manny Acta,2007,WAS,73,89,673.0,783.0,69.85114104238805,3.1488589576119494,17.21,0.5679012345679012,0.75,0.0,-0.22116429296788453
actama99,Manny Acta,2008,WAS,59,102,641.0,825.0,62.23568940621522,-3.235689406215222,3.29,0.7701863354037267,0.6532258064516129,0.012422360248447204,1.5680296375164673
actama99,Manny Acta,2010,CLE,69,93,646.0,752.0,69.81119252630013,-0.8111925263001325,8.46,0.7654320987654321,0.7338709677419355,0.06172839506172839,0.2541712384627459
actama99,Manny Acta,2011,CLE,80,82,704.0,760.0,75.33648859314307,4.6635114068569266,28.82,0.808641975308642,0.6793893129770993,0.012345679012345678,0.675475251156243
actama99,Manny Acta,2012,CLE,68,94,667.0,845.0,63.737080096877634,4.262919903122366,16.75,0.9506172839506173,0.7142857142857143,0.012345679012345678,-0.35104513136249693
aloufe01,Felipe Alou,1992,MON,87,75,648.0,581.0,89.06212422928576,-2.0621242292857573,47.769999999999996,1.5987654320987654,0.7567567567567568,0.06790123456790123,-0.4259509809947417
aloufe01,Felipe Alou,1993,MON,94,68,732.0,682.0,86.76871009003516,7.231289909964843,37.19,1.7423312883435582,0.8028169014084507,0.049079754601226995,-0.4631537927329106
aloufe01,Felipe Alou,1994,MON,74,40,585.0,454.0,69.98990040867577,4.010099591324234,48.5,1.5175438596491229,0.791907514450867,0.03508771929824561,0.1150314226840976
aloufe01,Felipe Alou,1995,MON,66,78,621.0,638.0,70.22112765324671,-4.221127653246711,32.74,1.1736111111111112,0.7100591715976331,0.04861111111111111,-1.116353654986213
aloufe01,Felipe Alou,1996,MON,88,74,741.0,668.0,88.66365734287407,-0.6636573428740746,53.400000000000006,0.8765432098765432,0.7605633802816901,0.06790123456790123,0.9146897440323585
aloufe01,Felipe Alou,1997,MON,78,84,691.0,740.0,75.92899518658902,2.0710048134109798,42.69,0.7469135802469136,0.6198347107438017,0.16666666666666666,0.16832143614504957
aloufe01,Felipe Alou,1998,MON,65,97,644.0,783.0,66.6678545851535,-1.6678545851535063,17.310000000000002,0.845679012345679,0.6642335766423357,0.024691358024691357,-0.8214475292987089
aloufe01,Felipe Alou,1999,MON,68,94,718.0,853.0,68.33546803208479,-0.3354680320847905,27.21,0.7469135802469136,0.5785123966942148,0.037037037037037035,-0.44459794523605467
aloufe01,Felipe Alou,2000,MON,67,95,738.0,902.0,66.29220720364096,0.707792796359044,20.14,0.654320987654321,0.5471698113207547,0.024691358024691357,-0.005468390717524585
aloufe01,Felipe Alou,2003,SFN,100,61,755.0,638.0,92.80520257508442,7.194797424915578,51.41,0.5590062111801242,0.5888888888888889,0.043478260869565216,2.746532826069142
aloufe01,Felipe Alou,2004,SFN,91,71,850.0,770.0,88.30604847249633,2.693951527503671,49.66,0.4074074074074074,0.6515151515151515,0.04938271604938271,-0.20865066823607492
aloufe01,Felipe Alou,2005,SFN,75,87,649.0,745.0,70.8296814172916,4.170318582708404,36.76,0.654320987654321,0.6698113207547169,0.024691358024691357,1.0557517797298885
aloufe01,Felipe Alou,2006,SFN,76,85,746.0,790.0,76.28274869970585,-0.2827486997058486,34.84,0.515527950310559,0.6987951807228916,0.043478260869565216,0.5124713177273179
alstowa01,Walter Alston,1970,LAN,87,74,749.0,684.0,87.17136984120425,-0.17136984120425325,32.21,1.2111801242236024,0.7076923076923077,0.22981366459627328,-0.3362744058233176
alstowa01,Walter Alston,1971,LAN,89,73,663.0,587.0,89.98637015973941,-0.9863701597394083,47.709999999999994,0.7160493827160493,0.6551724137931034,0.2962962962962963,0.3458893760500814
alstowa01,Walter Alston,1972,LAN,85,70,584.0,527.0,84.76138316580214,0.23861683419785606,46.019999999999996,0.7806451612903226,0.6776859504132231,0.3225806451612903,1.4783701997145187
alstowa01,Walter Alston,1973,LAN,95,66,675.0,565.0,94.06888422231579,0.9311157776842123,48.980000000000004,0.9814814814814815,0.6855345911949685,0.2777777777777778,0.6570636345872884
alstowa01,Walter Alston,1974,LAN,102,60,798.0,561.0,106.2482477742192,-4.248247774219195,61.12,1.382716049382716,0.6651785714285714,0.2037037037037037,-0.36932674226729034
alstowa01,Walter Alston,1975,LAN,88,74,648.0,534.0,95.19288398972364,-7.19288398972364,52.599999999999994,1.1728395061728396,0.7263157894736842,0.3148148148148148,1.0900711799540943
alstowa01,Walter Alston,1976,LAN,92,70,608.0,543.0,89.35008522524872,2.649914774751281,32.81,1.228395061728395,0.7236180904522613,0.29012345679012347,2.3303381238933554
altobjo01,Joe Altobelli,1977,SFN,75,87,673.0,711.0,76.93250208794872,-1.9325020879487198,37.9,0.9197530864197531,0.6040268456375839,0.16666666666666666,0.07974666655262297
altobjo01,Joe Altobelli,1978,SFN,89,73,613.0,594.0,83.33291108641558,5.667088913584422,53.07000000000001,0.8703703703703703,0.6170212765957447,0.25925925925925924,3.5119618650919904
altobjo01,Joe Altobelli,1979,SFN,71,91,672.0,751.0,72.79060038648875,-1.790600386488748,20.439999999999998,1.3148148148148149,0.6572769953051644,0.15432098765432098,-0.45319470487864066
altobjo01,Joe Altobelli,1983,BAL,98,64,799.0,652.0,95.89732928828417,2.102670711715831,35.12,0.5802469135802469,0.648936170212766,0.2222222222222222,0.5126246635514633
altobjo01,Joe Altobelli,1984,BAL,85,77,681.0,667.0,82.53935070743152,2.460649292568476,19.02,0.5370370370370371,0.5862068965517241,0.2962962962962963,-0.29429932345935583
amalfjo01,Joey Amalfitano,1981,CHN,38,65,370.0,483.0,40.32566797690179,-2.3256679769017907,8.649999999999999,1.0660377358490567,0.6371681415929203,0.05660377358490566,0.6598907713434485
andersp01,Sparky Anderson,1970,CIN,102,60,775.0,681.0,90.5386594337447,11.461340566255302,50.27000000000001,1.0308641975308641,0.688622754491018,0.19753086419753085,5.552194257356376
andersp01,Sparky Anderson,1971,CIN,79,83,586.0,581.0,81.63508084639186,-2.6350808463918582,31.66,0.5679012345679012,0.6413043478260869,0.16666666666666666,0.44815704003697476
andersp01,Sparky Anderson,1972,CIN,95,59,707.0,557.0,93.53943322882255,1.4605667711774544,42.51,1.3181818181818181,0.6896551724137931,0.16233766233766234,-0.5945525048692986
andersp01,Sparky Anderson,1973,CIN,99,63,741.0,621.0,93.9809884811329,5.019011518867103,43.480000000000004,1.2530864197530864,0.729064039408867,0.24074074074074073,3.321872732551185
andersp01,Sparky Anderson,1974,CIN,98,64,776.0,631.0,96.74349255019922,1.2565074498007789,57.46,1.196319018404908,0.7487179487179487,0.2085889570552147,1.968212359602262
