playerID,mgr_name,yearID,teamID,G,W,L,total_war,expected_w,win_delta,mgr_value
andersp01,Sparky Anderson,1973,CIN,162,99,63,43.480000000000004,90.48,8.519999999999996,9.337979335784908
andersp01,Sparky Anderson,1974,CIN,163,98,64,57.46,104.46000000000001,-6.460000000000008,3.1206655883788983
andersp01,Sparky Anderson,1975,CIN,162,108,54,56.510000000000005,103.51,4.489999999999995,9.919435729980464
andersp01,Sparky Anderson,1976,CIN,162,102,60,72.39,119.39,-17.39,-1.2932306671142584
andersp01,Sparky Anderson,1977,CIN,162,88,74,54.55,101.55,-13.549999999999997,-7.3262656211853
andersp01,Sparky Anderson,1978,CIN,161,92,69,46.89,93.89,-1.8900000000000006,3.350350246429443
andersp01,Sparky Anderson,1979,DET,106,56,50,23.04,70.03999999999999,-14.039999999999992,-21.338286437988273
andersp01,Sparky Anderson,1980,DET,163,84,78,25.100000000000005,72.10000000000001,11.899999999999991,2.9137262344360266
andersp01,Sparky Anderson,1981,DET,109,60,49,12.89,59.89,0.10999999999999943,-4.9113551521301275
andersp01,Sparky Anderson,1982,DET,162,83,79,16.44,63.44,19.560000000000002,11.04925304412842
andersp01,Sparky Anderson,1983,DET,162,92,70,33.010000000000005,80.01,11.989999999999995,8.851229181289668
andersp01,Sparky Anderson,1984,DET,162,104,58,42.04,89.03999999999999,14.960000000000008,13.652214012146004
andersp01,Sparky Anderson,1985,DET,161,84,77,32.199999999999996,79.19999999999999,4.800000000000011,-0.5682265281677132
andersp01,Sparky Anderson,1986,DET,162,87,75,29.75,76.75,10.25,8.593952894210815
andersp01,Sparky Anderson,1987,DET,162,98,64,44.89,91.89,6.109999999999999,2.3881722545623774
andersp01,Sparky Anderson,1988,DET,162,88,74,26.47,73.47,14.530000000000001,12.723291902542115
andersp01,Sparky Anderson,1989,DET,162,59,103,-0.4299999999999997,46.57,12.43,0.1714083480834958
andersp01,Sparky Anderson,1990,DET,162,79,83,19.87,66.87,12.129999999999995,5.224443321228023
andersp01,Sparky Anderson,1991,DET,162,84,78,33.79,80.78999999999999,3.210000000000008,-2.8717956924438397
andersp01,Sparky Anderson,1992,DET,162,75,87,22.799999999999997,69.8,5.200000000000003,2.0806779384613066
andersp01,Sparky Anderson,1993,DET,162,85,77,33.14,80.14,4.859999999999999,-0.29135145187377987
andersp01,Sparky Anderson,1994,DET,115,53,62,20.280000000000005,67.28,-14.280000000000001,-17.919299631118776
andersp01,Sparky Anderson,1995,DET,144,60,84,5.299999999999998,52.3,7.700000000000003,3.245917987823489
asproke01,Ken Aspromonte,1972,CLE,156,72,84,15.28,62.28,9.719999999999999,3.388222904205321
asproke01,Ken Aspromonte,1973,CLE,162,71,91,13.420000000000002,60.42,10.579999999999998,7.732565717697142
asproke01,Ken Aspromonte,1974,CLE,162,77,85,13.16,60.16,16.840000000000003,8.480302658081058
ausmubr01,Brad Ausmus,2014,DET,162,90,72,61.53,108.53,-18.53,-1.7649853515625011
ausmubr01,Brad Ausmus,2015,DET,161,74,87,21.63,68.63,5.3700000000000045,-4.124946479797359
ausmubr01,Brad Ausmus,2016,DET,160,85,75,36.809999999999995,83.81,1.1899999999999977,-5.777159748077395
ausmubr01,Brad Ausmus,2017,DET,162,64,98,9.160000000000002,56.160000000000004,7.839999999999996,1.0497187042236291
ausmubr01,Brad Ausmus,2019,LAA,162,72,90,12.129999999999999,59.129999999999995,12.870000000000005,2.9337159347534225
