team,year,total_war,bat_war,pit_war,actual_w
KCA,2022,13.0,0.4,12.6,65
NYA,2020,12.8,8.5,4.4,33
MIL,2020,12.5,3.2,9.3,29
TBA,2024,12.4,-1.9,14.3,80
MIA,2022,12.4,-7.3,19.7,69
ARI,2022,12.2,-0.5,12.7,74
TOR,2024,11.7,1.9,9.8,74
ARI,2021,11.6,5.1,6.5,52
MIN,2025,11.3,0.0,11.2,70
LAA,2020,11.3,5.8,5.4,26
KCA,2020,11.0,6.0,5.0,26
COL,2020,10.6,7.7,2.9,26
MIA,2020,10.0,6.2,3.7,31
TOR,2020,10.0,10.2,-0.2,32
DET,2021,9.8,2.5,7.3,77
SEA,2020,9.0,5.4,3.5,27
SLN,2020,8.2,6.1,2.1,30
WAS,2020,8.2,6.0,2.3,26
BAL,2020,8.2,7.8,0.4,25
LAA,2025,8.0,0.8,7.1,72
BOS,2020,7.3,6.0,1.2,24
CHA,2025,6.6,-1.7,8.3,60
WAS,2025,5.5,1.5,4.0,66
ARI,2020,5.4,4.2,1.2,25
BAL,2021,4.8,5.3,-0.5,52
CHN,2021,4.2,4.7,-0.5,71
DET,2020,4.1,2.6,1.5,23
WAS,2023,3.7,4.0,-0.3,71
COL,2024,2.8,1.9,0.9,61
COL,2023,2.0,4.8,-2.8,59
KCA,2023,1.9,-1.0,2.9,56
TEX,2020,1.6,-0.2,1.7,22
PIT,2020,1.5,0.0,1.5,19
WAS,2021,1.0,2.4,-1.4,65
DET,2022,0.4,-12.9,13.3,66
LAA,2024,-0.1,-6.2,6.1,63
TEX,2021,-0.8,-2.6,1.9,60
BAL,2025,-1.0,-10.2,9.2,75
CHA,2023,-1.7,-4.4,2.8,61
PIT,2022,-2.5,-14.8,12.4,62
WAS,2022,-2.8,-5.4,2.7,55
PIT,2021,-4.1,-4.1,-0.1,61
OAK,2023,-4.4,-6.0,1.6,50
MIA,2024,-4.9,-9.2,4.3,62
CIN,2022,-11.5,-14.7,3.3,62
COL,2025,-11.9,-7.4,-4.4,43
OAK,2022,-15.6,-24.0,8.5,60
CHA,2024,-15.7,-18.8,3.1,41
