year,n_teams,rpg,era_era,n_players,avg_war,std_war
1920,29,8.417823700355182,3.3793103448275863,512,1.023203125,2.1803221304913576
1921,29,9.78186350888127,4.185862068965517,523,1.2864627151051624,2.0748823333774764
1922,30,9.8858934169279,4.353,551,1.0623411978221413,1.9895904009047645
1923,32,10.150045194335643,4.0453125,603,0.9238640132669982,1.9201986750272895
1924,33,9.799309948246119,4.306363636363637,646,0.841532507739938,1.7317512679309255
1925,32,10.26267152058247,4.781875,641,0.9655538221528862,1.7412704720589145
1926,32,9.5146804835924,4.41625,622,0.8308681672025723,1.6738478774642704
1927,31,9.59073143495254,4.237096774193549,618,0.9177669902912622,1.7376945542214344
1928,31,9.903265557609366,4.447741935483871,609,0.7842200328407225,1.6876283842564468
1929,29,10.682380671773718,4.722758620689654,591,0.9654145516074449,1.8757557904702857
1930,28,10.88854961832061,4.874642857142858,566,0.9743462897526503,1.9460155381089408
1931,27,9.328172332547963,4.082962962962963,525,0.7250285714285714,1.7037618484415646
1932,38,9.700031377470976,4.2813513513513515,594,0.6858585858585858,1.7220529789358225
1933,27,9.094353109363832,3.9940740740740743,493,0.7009330628803245,1.6865603199974764
1934,27,9.708096590909092,4.605185185185184,491,0.8445824847250509,1.8415656545502577
1935,26,9.662860980523842,4.51576923076923,509,0.8523182711198428,1.767900164882701
1936,25,10.173883161512027,4.6816,505,0.914,2.033134709268362
1937,30,9.290181363352096,4.636333333333334,580,0.6988448275862069,1.9032334662364891
1938,30,9.332480818414322,4.574,572,0.6242132867132868,1.873662953978682
1939,30,9.163838120104439,4.391666666666667,585,0.5717435897435897,1.7777126780354724
1940,29,9.386092715231788,4.382413793103449,564,0.6788829787234042,1.7688240548181628
1941,28,8.90818363273453,4.045714285714285,560,0.6157857142857144,1.8068433093926997
1942,28,8.499322493224932,3.7721428571428572,565,0.5633451327433628,1.621633871858914
1943,29,8.072727272727272,3.813103448275862,585,0.5401025641025642,1.6753977210528752
1944,28,7.747355320472931,3.73,558,0.6555734767025089,1.881220700034846
1945,28,7.991623711340206,3.8674999999999997,599,0.5431051752921536,1.7564819393608722
1946,28,7.600863664404688,3.8875,606,0.5335643564356436,1.7164222356089207
1947,28,7.986325802615934,4.2225,588,0.575561224489796,1.7248027884186727
1948,28,8.12885662431942,4.299285714285714,560,0.5780535714285715,1.7775117673288658
1949,16,9.214516129032258,4.12375,410,0.7275365853658537,1.9065082279792591
1950,16,9.703554119547658,4.36375,402,0.7891044776119402,1.9758813038016905
1951,16,9.094430992736077,4.044375,414,0.6819806763285025,1.7996380964171808
1952,16,8.35270379338176,3.7043749999999998,425,0.6296235294117648,1.6554459438562066
1953,16,9.214516129032258,4.13875,404,0.8763366336633662,1.8821377807829784
1954,16,8.752627324171382,3.90125,409,0.8236674816625916,1.9280634516203763
1955,16,8.97001620745543,3.99875,438,0.5997488584474886,1.7788516546060842
1956,16,8.90314769975787,3.9675,427,0.6565807962529274,1.8767302551555634
1957,16,8.612145748987855,3.83625,422,0.7350473933649289,1.7407968723310756
1958,16,8.565182186234818,3.86,437,0.720091533180778,1.7032953734502831
1959,16,8.766558966074314,3.908125,436,0.7475,1.8767943904189521
1960,16,8.627831715210355,3.818125,433,0.7643187066974596,1.7384328191533416
1961,18,9.05034965034965,4.028888888888889,481,0.9007484407484407,2.1445708246646396
1962,20,8.921036397285626,3.9580000000000006,546,0.9951098901098899,2.03636492259952
1963,20,7.893761581222977,3.46,533,0.9697748592870544,2.029226756035872
1964,20,8.071340713407134,3.584000000000001,535,1.0806355140186918,2.148238797816541
