season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2013,1191,DR,Dominican Republic,162,CS,17,WIN,425661,Ronny Paulino,Ronny,Paulino,Ronny,R Paulino,C/DH,5,19,14,6,2,0,0,2,0,0,4,1,3,8,4,1,0,1,0,2,4,2,2,0,0,0,5,3,0,0,3,80,36,12,12,0,0,0.429,0.263,0.571,0.834,0.143,0.5,2.0
2013,1191,DR,Dominican Republic,162,CS,17,WIN,466988,Emilio Bonifácio,Emilio,Bonifácio,Emilio,E Bonifácio,2B,5,22,16,7,1,0,0,2,1,1,6,0,0,8,3,0,0,0,0,1,4,5,3,1,1,0,4,4,1,0,2,80,27,4,16,0,0,0.438,0.273,0.5,0.773,0.062,0.438,0.8
2013,1191,DR,Dominican Republic,162,CS,17,WIN,467143,Héctor Gómez,Héctor,Gómez,Héctor,H Gómez,SS,5,20,17,6,1,0,1,5,2,0,2,0,4,10,6,0,0,0,1,2,3,4,1,3,0,0,6,3,2,0,1,78,41,12,13,0,0,0.353,0.15,0.588,0.738,0.235,0.417,0.75
2013,1191,DR,Dominican Republic,162,CS,17,WIN,464299,Eugenio Velez,Eugenio,Velez,Eugenio,E Velez,2B/LF,5,20,17,3,1,0,2,4,0,1,2,0,2,10,2,0,1,0,0,3,12,1,1,0,0,0,10,0,3,0,0,67,28,5,16,1,0,0.176,0.105,0.588,0.693,0.412,0.077,12.0
2013,1191,DR,Dominican Republic,162,CS,17,WIN,501317,Francisco Peguero,Francisco,Peguero,Francisco,F Peguero,LF/CF,5,18,15,4,1,0,0,2,0,0,1,0,1,5,2,1,0,1,1,1,5,6,3,2,1,0,6,2,0,0,2,68,37,6,15,0,0,0.267,0.167,0.333,0.5,0.067,0.267,0.833
2013,1191,DR,Dominican Republic,162,CS,17,WIN,150061,Julio Lugo,Julio,Lugo,Julio,J Lugo,SS/1B,4,17,17,4,0,0,1,4,0,0,0,0,4,7,3,0,0,0,0,1,3,6,4,1,1,0,18,1,1,0,2,76,42,11,13,0,0,0.235,0.0,0.412,0.412,0.176,0.25,0.5
2013,1191,DR,Dominican Republic,162,CS,17,WIN,543633,Juan Carlos Perez,Juan Carlos,Perez,Juan Carlos,J Perez,RF,5,23,23,5,1,0,1,4,2,1,0,0,3,9,7,0,0,0,0,2,8,7,3,2,2,0,10,0,1,0,4,77,39,5,20,1,0,0.217,0.0,0.391,0.391,0.174,0.211,1.143
2013,1191,DR,Dominican Republic,162,CS,17,WIN,544725,Leury García,Leury,Garcia,Leury,L García,OF/3B,5,23,20,4,0,0,0,0,1,0,2,0,3,4,3,0,0,0,1,0,12,1,0,1,0,0,5,0,0,0,4,84,39,7,17,1,0,0.2,0.13,0.2,0.33,0.0,0.235,12.0
2013,1191,DR,Dominican Republic,162,CS,17,WIN,451515,Ricardo Nanita,Ricardo,Nanita,Ricardo,R Nanita,LF/DH,2,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,0,1,14,6,0,4,0,0,0.25,0.0,0.25,0.25,0.0,0.25,2.0
2013,1191,DR,Dominican Republic,162,CS,17,WIN,521309,Mayo Acosta,Mayobanex,Acosta,Mayo,M Acosta,C,3,4,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,4,0,0,0,0.0,0.25,0.0,0.25,0.0,,
