season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2007,102,RR,Round Rock Express,112,PCL,11,AAA,407298,Jason Jennings,Jason,Jennings,Jason,J Jennings,P,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1.0,
2007,102,RR,Round Rock Express,112,PCL,11,AAA,430950,Brian Gordon,Brian,Gordon,Brian,B Gordon,P,11,9,9,2,3,0,2,0,5,0,0,0,0,6,7,2,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,2,40,25,11,3,0,0,0.333,0.0,0.778,0.778,0.444,1.0,
2007,102,RR,Round Rock Express,112,PCL,11,AAA,452254,Hunter Pence,Hunter,Pence,Hunter,H Pence,RF/CF,25,106,95,17,31,11,1,3,21,2,0,10,0,15,53,24,4,0,1,0,15,18,32,19,9,4,0,36,13,9,0,9,365,184,42,81,0,0,0.326,0.104,0.558,0.662,0.232,0.359,0.562
2007,102,RR,Round Rock Express,112,PCL,11,AAA,407835,Jason Lane,Jason,Lane,Jason,J Lane,P/RF,50,214,185,37,59,15,0,9,41,2,1,23,1,26,101,26,4,0,4,2,24,41,63,39,17,7,0,71,20,18,0,21,773,342,59,163,1,0,0.319,0.136,0.546,0.682,0.227,0.325,0.651
2007,102,RR,Round Rock Express,112,PCL,11,AAA,407840,Brandon Backe,Brandon,Backe,Brandon,B Backe,P,5,7,6,0,2,1,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,1,1,0,1,0,0,2,0,0,0,2,21,6,0,4,0,0,0.333,0.143,0.5,0.643,0.167,0.5,1.0
2007,102,RR,Round Rock Express,112,PCL,11,AAA,406428,Tim Raines,Timothy,Raines,Tim,T Raines,CF/LF,100,309,285,43,95,14,3,11,49,21,2,15,0,47,148,47,7,5,2,2,28,93,57,42,11,4,0,91,52,22,0,21,1136,517,114,245,3,1,0.333,0.062,0.519,0.581,0.186,0.367,1.632
2007,102,RR,Round Rock Express,112,PCL,11,AAA,276347,Eric Munson,Eric,Munson,Eric,E Munson,3B/C,50,201,173,28,49,18,0,7,26,1,1,24,1,34,88,20,1,0,3,1,25,43,50,34,13,3,0,72,14,17,1,17,802,352,62,142,2,1,0.283,0.139,0.509,0.648,0.225,0.311,0.86
2007,102,RR,Round Rock Express,112,PCL,11,AAA,279827,Humberto Quintero,Humberto,Quintero,Humberto,H Quintero,C,53,188,177,22,59,12,1,5,22,0,2,4,0,21,88,33,4,5,0,2,18,62,40,23,10,7,0,65,27,14,0,18,622,364,57,161,2,2,0.333,0.033,0.497,0.53,0.164,0.358,1.55
2007,102,RR,Round Rock Express,112,PCL,11,AAA,285068,Cody Ransom,Bryan,Ransom,Cody,C Ransom,SS/3B,135,563,503,75,131,35,0,28,90,21,5,52,2,131,250,69,9,1,3,4,63,100,145,93,44,8,0,232,42,48,0,41,2160,1087,342,376,9,0,0.26,0.105,0.497,0.602,0.237,0.297,0.69
2007,102,RR,Round Rock Express,112,PCL,11,AAA,455986,Mark Saccomanno,Mark,Saccomanno,Mark,M Saccomanno,3B/1B,131,511,470,64,130,23,5,22,85,1,2,33,1,114,229,67,7,0,6,2,50,93,139,97,33,9,0,208,37,43,0,50,1997,1062,269,362,5,0,0.277,0.08,0.487,0.567,0.211,0.318,0.669
