season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,501933,Brian Baisley,Brian,Baisley,Brian,B Baisley,C/1B,29,127,109,37,12,0,2,23,0,0,12,0,31,55,18,5,0,4,2,14,26,19,16,1,2,0,49,4,15,0,18,237,171,88,82,2,1,0.339,0.142,0.505,0.647,0.165,0.438,1.368
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,542968,Dan Brewer,Daniel,Brewer,Dan,D Brewer,RF/DH,58,241,201,65,18,3,2,25,9,5,33,0,49,95,35,8,1,1,5,23,46,43,33,5,5,0,104,14,21,0,30,451,269,105,154,3,0,0.323,0.162,0.473,0.635,0.149,0.417,1.07
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,571658,Jeff Farnham,Jeff,Farnham,Jeff,J Farnham,C,20,72,62,20,6,0,1,10,0,1,5,0,13,29,11,1,0,2,3,7,14,17,10,6,1,0,23,3,1,0,16,121,87,35,51,1,0,0.323,0.139,0.468,0.607,0.145,0.38,0.824
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,543377,Corban Joseph,Corban,Joseph,Corban,C Joseph,1B/2B,100,436,380,114,17,8,4,57,8,5,49,1,61,159,64,5,0,4,3,29,114,95,67,12,16,0,186,31,18,0,65,745,456,125,323,5,0,0.3,0.128,0.418,0.546,0.118,0.345,1.2
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,458691,David Adams,David,Adams,David,D Adams,3B/2B,67,304,259,75,23,2,0,34,8,4,35,0,49,102,46,7,0,3,7,25,73,65,44,9,12,0,118,25,15,0,35,524,325,101,213,1,0,0.29,0.148,0.394,0.542,0.104,0.352,1.123
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,517369,Jose Pirela,Jose,Pirela,Jose,J Pirela,LF/SS,97,447,404,119,23,6,0,46,9,8,37,0,65,154,56,7,4,1,1,29,152,73,37,24,12,0,146,50,16,0,53,711,501,152,344,4,2,0.295,0.088,0.381,0.469,0.087,0.35,2.082
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,444859,Melky Mesa,Melquisedec,Mesa,Melky,M Mesa,LF/RF,133,570,497,112,24,7,20,74,18,6,51,3,168,210,74,5,0,5,11,51,100,122,81,23,18,6,260,34,37,0,41,1116,744,388,334,17,0,0.225,0.119,0.423,0.542,0.197,0.293,0.82
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,501659,Abraham Almonte,Abraham,Almonte,Abraham,A Almonte,OF/CF,115,484,440,123,14,10,5,56,36,5,35,0,81,172,78,5,4,3,2,29,148,95,62,22,11,0,188,47,29,0,47,770,551,179,366,9,0,0.28,0.083,0.391,0.474,0.111,0.331,1.558
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,534804,Addison Maruszak,Addison,Maruszak,Addison,A Maruszak,SS,64,260,217,57,4,1,2,20,6,1,32,1,44,69,41,6,1,4,6,7,57,64,45,11,8,0,102,21,7,0,29,460,267,79,178,1,2,0.263,0.162,0.318,0.48,0.055,0.314,0.891
2009,233,CSC,Charleston RiverDogs,116,SAL,14,A,543431,Garrison Lassiter,Garrison,Lassiter,Garrison,G Lassiter,3B,74,297,265,69,12,1,2,29,3,0,22,0,74,89,45,5,3,1,6,15,74,52,39,8,5,0,121,21,14,1,33,530,359,155,195,1,1,0.26,0.099,0.336,0.435,0.075,0.353,1.423
