season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2005,102,RR,Round Rock Express,112,PCL,11,AAA,118421,T.J. Mathews,Timothy,Mathews,T.J.,T Mathews,P,22,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1.0,
2005,102,RR,Round Rock Express,112,PCL,11,AAA,432928,Luke Scott,Luke,Scott,Luke,L Scott,DH/LF,103,449,398,69,114,25,4,31,87,2,2,43,1,96,240,74,4,0,2,6,60,78,112,80,25,7,0,172,33,60,0,21,789,490,185,304,7,0,0.286,0.114,0.603,0.717,0.317,0.304,0.696
2005,102,RR,Round Rock Express,112,PCL,11,AAA,117044,Brooks Kieschnick,Michael,Kieschnick,Brooks,B Kieschnick,P,59,54,46,6,14,2,0,3,10,0,0,8,0,13,25,7,1,0,0,0,5,13,6,6,0,0,0,24,4,4,0,6,109,66,33,33,0,0,0.304,0.148,0.543,0.691,0.239,0.367,2.167
2005,102,RR,Round Rock Express,112,PCL,11,AAA,135782,Danny Klassen,Daniel,Klassen,Danny,D Klassen,3B/SS,88,378,342,61,109,23,3,15,53,7,1,27,1,80,183,55,11,2,2,5,41,86,71,52,12,7,0,165,50,32,0,27,627,417,150,266,2,0,0.319,0.09,0.535,0.625,0.216,0.378,1.211
2005,102,RR,Round Rock Express,112,PCL,11,AAA,429663,Chris Burke,Christopher,Burke,Chris,C Burke,2B,22,101,90,15,28,6,2,2,11,9,0,8,0,13,44,17,2,1,0,2,10,25,25,15,7,3,0,36,9,9,0,10,153,104,26,78,1,0,0.311,0.1,0.489,0.589,0.178,0.347,1.0
2005,102,RR,Round Rock Express,112,PCL,11,AAA,425346,Carlos Rivera,Carlos,Rivera,Carlos,C Rivera,1B,129,496,455,64,142,35,1,17,68,0,0,30,2,65,230,79,16,0,3,8,53,132,119,71,36,12,0,194,40,57,0,45,734,534,138,393,4,1,0.312,0.083,0.505,0.588,0.193,0.332,1.109
2005,102,RR,Round Rock Express,112,PCL,11,AAA,446919,Todd Self,Todd,Self,Todd,T Self,RF,100,391,326,42,97,25,2,8,47,4,1,58,5,91,150,60,5,0,3,4,35,51,89,68,15,6,0,141,27,45,0,25,751,417,176,238,3,0,0.298,0.166,0.46,0.626,0.163,0.387,0.573
2005,102,RR,Round Rock Express,112,PCL,11,AAA,150086,Mike Coolbaugh,Michael,Coolbaugh,Mike,M Coolbaugh,3B,123,550,488,88,137,30,1,27,101,10,0,47,4,111,250,85,14,1,9,5,58,115,135,87,40,8,0,242,44,60,0,33,934,635,247,387,9,0,0.281,0.111,0.512,0.623,0.232,0.306,0.852
2005,102,RR,Round Rock Express,112,PCL,11,AAA,462405,Brooks Conrad,Brooks,Conrad,Brooks,B Conrad,3B/2B,113,483,418,84,110,22,3,21,57,12,3,52,3,104,201,73,7,5,4,4,46,102,110,76,27,7,0,158,35,42,0,33,866,535,212,323,6,0,0.263,0.126,0.481,0.607,0.218,0.3,0.927
2005,102,RR,Round Rock Express,112,PCL,11,AAA,279827,Humberto Quintero,Humberto,Quintero,Humberto,H Quintero,C,52,205,191,23,55,13,0,8,31,2,1,10,1,30,92,27,3,0,2,2,21,54,54,31,12,11,0,102,23,20,0,12,303,227,64,163,3,1,0.288,0.068,0.482,0.55,0.194,0.303,1.0
