season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,592435,Chase Jensen,Peter,Jensen,Chase,C Jensen,SS,3,12,11,5,2,0,0,1,0,0,1,0,3,7,0,0,0,0,0,2,2,1,0,0,1,0,2,4,1,0,0,43,26,10,8,0,0,0.455,0.083,0.636,0.719,0.182,0.625,2.0
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,592669,Hunter Renfroe,Dustin,Renfroe,Hunter,H Renfroe,RF,69,316,278,82,21,3,16,52,9,3,28,3,81,157,46,5,0,3,7,40,49,69,44,20,5,0,112,19,41,0,22,918,461,183,200,4,0,0.295,0.12,0.565,0.685,0.27,0.359,0.71
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,605480,Mallex Smith,Mallex,Smith,Mallex,M Smith,OF/CF,55,261,223,73,16,1,5,16,40,10,31,0,48,106,26,0,5,0,2,22,67,40,27,10,3,0,72,39,18,0,16,752,344,93,180,5,0,0.327,0.129,0.475,0.604,0.148,0.4,1.675
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,542357,Diego Goris,Diego,Goris,Diego,D Goris,3B/SS,89,392,370,120,27,2,13,61,5,0,14,0,74,190,68,13,0,6,2,42,104,78,46,22,10,0,160,33,38,2,47,973,597,190,302,9,1,0.324,0.056,0.514,0.57,0.189,0.37,1.333
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,452104,Chase Headley,Chase,Headley,Chase,C Headley,3B,4,14,12,4,1,0,0,2,0,0,2,1,4,5,2,2,0,0,0,1,3,1,1,0,0,0,8,0,0,0,4,57,24,5,8,0,0,0.333,0.143,0.417,0.56,0.083,0.5,3.0
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,572034,Dane Phillips,Dane,Phillips,Dane,D Phillips,C,68,278,251,70,16,4,10,48,3,0,22,0,55,124,49,14,1,1,3,30,67,61,41,10,10,0,107,20,27,0,23,761,420,136,198,3,0,0.279,0.094,0.494,0.588,0.215,0.321,1.098
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,543232,Bengie Gonzalez,Benjamin,Gonzalez,Bengie,B González,SS/2B,102,439,376,115,28,3,3,41,13,7,45,0,62,158,58,5,11,4,3,34,117,97,71,18,8,0,149,40,28,0,47,1251,609,134,329,4,0,0.306,0.121,0.42,0.541,0.114,0.356,1.206
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,602922,Jose Rondon,Jose,Rondon,Jose,J Rondón,SS,37,154,136,41,9,0,1,12,3,1,13,0,23,53,13,2,3,0,2,10,36,39,25,9,5,0,55,14,13,0,14,481,240,55,116,2,0,0.301,0.099,0.39,0.489,0.088,0.357,0.923
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,572698,Jeremy Baltz,Jeremy,Baltz,Jeremy,J Baltz,LF,97,427,365,88,18,4,12,57,4,1,40,2,101,150,45,5,0,5,17,34,82,99,59,28,12,0,167,24,35,2,27,1193,602,216,269,6,0,0.241,0.145,0.411,0.556,0.17,0.296,0.828
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,570792,Luis Domoromo,Luis,Domoromo,Luis,L Domoromo,LF/1B,106,416,386,105,25,4,10,49,5,1,24,1,90,168,51,6,3,2,1,39,112,84,47,23,14,0,164,48,28,1,28,1127,689,208,301,3,0,0.272,0.065,0.435,0.5,0.163,0.33,1.333
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,575928,Corey Adamson,Corey,Adamson,Corey,C Adamson,RF/LF,89,348,303,78,11,7,6,39,13,9,31,1,66,121,53,4,4,2,8,24,97,68,41,17,10,0,143,35,13,0,30,926,465,115,243,4,0,0.257,0.119,0.399,0.518,0.142,0.309,1.426
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,593775,Gabriel Quintana,Gabriel,Quintana,Gabriel,G Quintana,3B,130,566,529,139,35,0,18,84,4,1,21,1,150,228,67,4,0,5,11,53,135,110,64,38,8,0,263,45,56,1,37,1542,962,386,384,7,0,0.263,0.065,0.431,0.496,0.168,0.331,1.227
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,594021,Alberth Martinez,Alberth,Martinez,Alberth,A Martinez,LF/CF,132,586,526,141,28,2,12,68,7,6,41,2,97,209,80,8,2,11,6,42,133,168,96,57,15,0,186,49,39,1,52,1681,887,227,442,15,1,0.268,0.099,0.397,0.496,0.129,0.301,0.792
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,518751,B.J. Guinn,Brian,Guinn,B.J.,B Guinn,SS/2B,11,36,31,8,3,0,0,2,0,0,4,0,10,11,8,2,1,0,0,3,11,3,2,1,0,0,21,2,3,0,3,92,49,17,22,1,0,0.258,0.114,0.355,0.469,0.097,0.381,3.667
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,592897,Duanel Jones,Duanel,Jones,Duanel,D Jones,3B/1B,108,428,389,91,20,1,10,56,4,5,27,1,112,143,52,7,2,5,5,31,83,110,65,29,16,0,171,38,25,0,28,1311,675,236,284,5,1,0.234,0.087,0.368,0.455,0.134,0.298,0.755
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,621042,Stephen Carmon,Stephen,Carmon,Stephen,S Carmon,SS,19,75,63,13,2,2,1,5,1,2,8,0,5,22,8,0,3,1,0,5,30,19,6,10,3,0,23,4,4,0,5,183,90,9,62,5,0,0.206,0.125,0.349,0.474,0.143,0.207,1.579
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,605369,Casey McElroy,Casey,McElroy,Casey,C McElroy,2B,15,64,57,12,2,0,2,6,0,0,6,1,17,20,8,2,1,0,0,4,13,16,8,4,4,0,26,2,4,0,6,161,90,41,41,2,0,0.211,0.095,0.351,0.446,0.14,0.263,0.812
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,595343,John Nester,John,Nester,John,J Nester,C,36,132,114,24,8,0,1,9,0,1,15,0,33,35,20,3,3,0,0,9,32,28,14,12,2,0,60,9,7,0,8,436,226,74,84,2,1,0.211,0.116,0.307,0.423,0.096,0.288,1.143
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,608671,Travis Jankowski,Travis,Jankowski,Travis,T Jankowski,LF/CF,5,25,18,3,1,0,0,1,1,0,6,1,3,4,4,1,1,0,0,1,11,2,0,1,1,0,12,2,0,0,1,62,25,7,16,1,0,0.167,0.25,0.222,0.472,0.056,0.2,5.5
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,500274,Jeudy Valdez,Jeudy,Valdez,Jeudy,J Valdez,SS/2B,23,83,71,14,4,0,0,7,3,0,10,0,15,18,12,0,0,2,0,4,18,26,17,7,2,0,39,5,4,0,5,258,131,43,58,3,0,0.197,0.145,0.254,0.399,0.056,0.241,0.692
2014,103,LE,Lake Elsinore Storm,110,CAL,13,A+,607357,Jeremy Rodriguez,Jeremy,Rodriguez,Jeremy,J Rodriguez,C,59,210,175,31,5,0,0,16,0,1,23,0,24,36,36,7,8,2,2,5,84,46,28,9,9,0,85,13,9,0,9,620,278,39,161,1,0,0.177,0.134,0.206,0.34,0.029,0.203,1.826
