season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,488954,Julian Henson,Julian,Henson,Julian,J Henson,C,4,15,10,3,0,0,0,0,0,0,4,0,3,3,2,0,0,0,1,0,1,3,0,3,0,0,3,0,1,0,2,33,15,8,7,0,0,0.3,0.333,0.3,0.633,0.0,0.429,0.333
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,446192,Adam Moore,Adam,Moore,Adam,A Moore,C,16,66,63,20,9,0,0,9,0,0,2,0,10,29,16,3,0,0,1,9,17,16,13,2,1,0,31,7,6,0,7,94,67,14,53,0,0,0.317,0.045,0.46,0.505,0.143,0.377,1.062
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,489416,Joe White,Joseph,White,Joe,J White,1B,60,257,196,49,5,0,7,21,0,3,56,1,56,75,19,3,0,1,4,12,53,39,17,17,5,0,83,15,16,0,18,549,249,108,141,2,1,0.25,0.237,0.383,0.62,0.133,0.313,1.359
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,471897,Greg Halman,Gregory,Halman,Greg,G Halman,CF,28,123,116,30,6,4,5,15,10,4,3,1,32,59,9,2,1,0,3,15,40,15,10,4,1,0,49,10,13,0,7,207,167,82,85,5,0,0.259,0.049,0.509,0.558,0.25,0.316,2.667
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,493101,Kuo Hui Lo,Kuo Hui,Lo,Kuo Hui,K Lo,CF/LF,16,65,58,16,3,1,2,10,8,2,5,0,12,27,10,0,0,1,1,6,16,15,11,2,2,0,32,9,3,0,4,105,61,14,47,2,0,0.276,0.108,0.466,0.574,0.19,0.311,1.067
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,450867,Manelik Pimentel,Manelik,Pimentel,Manelik,M Pimentel,SS/1B,59,243,223,56,11,1,10,42,0,2,18,0,51,99,38,10,0,2,0,22,66,52,34,13,5,0,108,18,22,0,16,414,307,130,174,4,0,0.251,0.082,0.444,0.526,0.193,0.28,1.269
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,501807,Christopher Minaker,Christopher,Minaker,Christopher,C Minaker,SS/2B,19,86,83,24,6,1,1,9,2,1,2,0,7,35,9,1,0,0,1,8,30,22,14,6,2,0,28,8,8,0,8,117,96,20,76,2,1,0.289,0.035,0.422,0.457,0.133,0.307,1.364
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,450803,Curtis Ledbetter,Curtis,Ledbetter,Curtis,C Ledbetter,1B/DH,13,48,45,10,3,0,2,9,1,0,3,0,13,19,10,3,0,0,0,5,14,8,6,1,1,0,28,5,4,0,1,87,67,34,32,1,0,0.222,0.062,0.422,0.484,0.2,0.267,1.75
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,489279,Bryan Sabatella,Bryan,Sabatella,Bryan,B Sabatella,1B/LF,63,237,207,54,10,2,2,25,22,4,20,0,39,74,30,2,1,4,5,14,76,43,31,6,6,0,78,30,14,0,10,381,253,78,173,11,0,0.261,0.123,0.357,0.48,0.097,0.306,1.767
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,468381,Leury Bonilla,Leury,Bonilla,Leury,L Bonilla,3B,59,217,196,45,12,0,7,27,5,2,13,0,53,78,26,4,3,4,1,19,60,45,27,13,5,0,90,14,19,0,12,375,268,115,150,4,0,0.23,0.084,0.398,0.482,0.168,0.271,1.333
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,501799,Gavin Dickey,Gavin,Dickey,Gavin,G Dickey,LF,55,202,176,38,6,3,5,21,16,2,13,0,40,65,29,3,2,1,10,14,62,38,22,10,6,0,72,18,11,0,9,328,239,100,139,5,0,0.216,0.12,0.369,0.489,0.153,0.25,1.632
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,447748,Danny Santin,Daniel,Santin,Danny,D Santin,C/DH,19,83,78,20,4,0,2,10,0,0,2,0,15,30,7,1,0,1,2,6,26,18,11,6,1,0,25,7,7,0,6,122,106,42,64,0,0,0.256,0.06,0.385,0.445,0.128,0.29,1.444
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,468475,Jair Fernandez,Jair,Fernandez,Jair,J Fernandez,C,43,161,135,31,9,0,1,19,0,1,16,0,26,43,22,5,2,2,6,10,58,24,15,7,2,0,57,12,6,0,13,272,171,58,113,2,0,0.23,0.151,0.319,0.47,0.089,0.273,2.417
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,473213,Chao Kuan Wu,Chao Kuan,Wu,Chao Kuan,C Wu,C,29,101,89,21,5,0,0,5,0,0,10,0,19,26,14,3,1,1,0,5,40,11,9,1,1,0,45,8,9,0,4,178,110,36,72,0,0,0.236,0.11,0.292,0.402,0.056,0.296,3.636
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,501803,Marcos Villezcas,Marcos,Villezcas,Marcos,M Villezcas,SS/2B,34,152,140,30,4,1,3,16,0,1,10,0,23,45,15,6,0,0,2,8,52,35,25,8,2,0,49,8,9,0,13,237,170,49,117,3,0,0.214,0.079,0.321,0.4,0.107,0.237,1.486
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,473291,Dean Zorn,Dean,Zorn,Dean,D Zorn,IF/2B,46,186,170,40,8,2,0,12,3,3,13,0,36,52,19,4,3,0,0,10,54,43,26,12,5,0,63,20,5,0,15,304,237,99,137,5,0,0.235,0.071,0.306,0.377,0.071,0.299,1.256
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,489241,Kevin Reynolds,Kevin,Reynolds,Kevin,K Reynolds,OF/CF,36,161,149,36,9,0,0,13,4,4,9,0,25,45,19,2,0,2,1,9,43,47,29,11,7,0,54,17,9,0,10,243,188,60,126,3,0,0.242,0.075,0.302,0.377,0.06,0.286,0.915
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,464311,Jose Graterol,Oswaldo,Graterol,Jose,J Graterol,OF/RF,28,103,88,18,5,0,0,4,5,2,12,0,27,23,9,0,1,0,2,5,23,21,15,6,0,0,47,8,3,0,7,201,124,60,62,1,0,0.205,0.137,0.261,0.398,0.057,0.295,1.095
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,455393,Ogui Diaz,Ogui,Diaz,Ogui,O Diaz,SS,64,238,225,54,8,1,0,10,7,5,8,0,54,64,29,0,2,0,3,9,54,64,35,22,7,0,95,32,10,0,12,378,321,144,173,1,0,0.24,0.047,0.284,0.331,0.044,0.316,0.844
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,451713,Carlos Peguero,Carlos,Peguero,Carlos,C Peguero,LF/RF,25,95,93,19,4,1,2,9,0,2,2,1,34,31,7,0,0,0,0,7,22,18,13,4,1,0,41,6,6,0,7,180,142,83,59,5,0,0.204,0.021,0.333,0.354,0.129,0.298,1.222
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,450704,Matthew Vogel,Matthew,Vogel,Matthew,M Vogel,2B,5,10,10,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,2,1,1,0,0,6,1,0,0,0,18,15,9,6,0,0,0.1,0.0,0.1,0.1,0.0,0.167,1.5
2006,403,EVE,Everett AquaSox,126,NOR,15,A-,489304,Travis Scott,Travis,Scott,Travis,T Scott,C/DH,1,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,8,8,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,
2006,419,YAK,Yakima Bears,126,NOR,15,A-,458088,Cyle Hankerd,Kevin,Hankerd,Cyle,C Hankerd,LF,54,236,216,83,17,0,4,38,0,0,13,1,54,112,50,3,0,3,4,21,47,35,26,2,7,0,84,22,17,0,44,384,297,132,165,2,1,0.384,0.085,0.519,0.604,0.134,0.491,1.343
2006,419,YAK,Yakima Bears,126,NOR,15,A-,489712,Mike DeCarlo,Michael,DeCarlo,Mike,M DeCarlo,C,43,175,146,37,8,0,5,21,4,0,21,0,35,60,26,6,0,3,5,13,39,38,19,13,6,0,69,11,13,0,13,317,198,80,114,4,0,0.253,0.166,0.411,0.577,0.158,0.294,1.026
2006,419,YAK,Yakima Bears,126,NOR,15,A-,444960,Brad Miller,Brad,Miller,Brad,B Miller,1B,61,260,227,57,14,1,11,53,0,1,18,2,45,106,50,9,0,12,3,26,61,76,40,18,18,0,127,12,26,0,19,421,293,97,194,6,0,0.251,0.127,0.467,0.594,0.216,0.251,0.803
2006,419,YAK,Yakima Bears,126,NOR,15,A-,453270,Justin Brashear,Justin,Brashear,Justin,J Brashear,C,40,164,141,30,7,2,6,18,1,1,18,0,46,59,25,4,1,1,3,15,30,37,14,17,6,0,81,5,13,0,12,313,200,103,97,3,0,0.213,0.135,0.418,0.553,0.206,0.267,0.811
2006,419,YAK,Yakima Bears,126,NOR,15,A-,493631,Joey Side,Robert,Side,Joey,J Side,LF/CF,56,253,217,58,14,2,2,20,2,2,21,0,48,82,50,7,8,2,5,18,84,37,28,2,7,0,102,22,14,0,22,424,292,113,179,7,0,0.267,0.114,0.378,0.492,0.111,0.331,2.27
2006,419,YAK,Yakima Bears,126,NOR,15,A-,460700,Edwin Roman,Edwin,Roman,Edwin,E Roman,CF/LF,59,246,213,53,9,1,4,20,22,5,24,0,69,76,36,4,3,0,6,14,57,37,20,12,5,0,98,26,14,0,13,461,302,154,147,5,0,0.249,0.123,0.357,0.48,0.108,0.35,1.541
2006,419,YAK,Yakima Bears,126,NOR,15,A-,458117,Blake Sharpe,Blake,Sharpe,Blake,B Sharpe,SS,71,307,268,73,12,0,2,27,2,6,27,0,45,91,52,11,2,4,6,14,90,66,39,11,16,0,127,23,16,0,34,497,334,105,229,10,2,0.272,0.121,0.34,0.461,0.067,0.316,1.364
2006,419,YAK,Yakima Bears,126,NOR,15,A-,489383,Travis Tully,Travis,Tully,Travis,T Tully,OF/CF,51,207,180,48,2,0,0,14,7,4,24,0,40,50,32,1,0,1,2,2,57,36,18,5,13,0,73,25,8,0,15,364,223,81,141,5,0,0.267,0.13,0.278,0.408,0.011,0.34,1.583
2006,419,YAK,Yakima Bears,126,NOR,15,A-,501915,Shane Byrne,Shane,Byrne,Shane,S Byrne,RF,56,229,213,52,7,2,2,17,2,1,15,0,44,69,38,8,1,0,0,11,67,51,31,11,9,0,109,23,9,0,20,360,266,96,170,4,0,0.244,0.066,0.324,0.39,0.08,0.299,1.314
