season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2009,102,RR,Round Rock Express,112,PCL,11,AAA,429981,Roy Corcoran,Roy,Corcoran,Roy,R Corcoran,P,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,,1.0,,,,,
2009,102,RR,Round Rock Express,112,PCL,11,AAA,467728,Erick Abreu,Erick,Abreu,Erick,E Abreu,P,6,6,4,2,1,1,0,0,1,0,0,1,0,0,2,3,0,1,0,0,1,4,0,0,0,0,0,5,1,0,0,0,20,6,0,5,1,0,0.25,0.2,0.5,0.7,0.25,0.25,
2009,102,RR,Round Rock Express,112,PCL,11,AAA,473248,Jose Vallejo,Jose,Vallejo,Jose,J Vallejo,2B,7,20,20,2,7,3,0,0,0,0,0,0,0,4,10,2,0,0,0,0,3,7,2,2,0,0,0,7,4,3,0,0,63,35,9,16,1,0,0.35,0.0,0.5,0.5,0.15,0.438,3.5
2009,102,RR,Round Rock Express,112,PCL,11,AAA,453525,J.R. Towles,Justin,Towles,J.R.,J Towles,C,56,178,145,23,40,12,1,4,22,3,0,22,0,27,66,24,2,2,3,6,17,35,48,21,21,6,0,60,15,11,0,14,711,261,50,123,4,0,0.276,0.176,0.455,0.631,0.179,0.308,0.729
2009,102,RR,Round Rock Express,112,PCL,11,AAA,449145,Brian Esposito,Brian,Esposito,Brian,B Esposito,C,31,95,88,7,28,4,0,2,16,0,0,4,2,14,38,12,3,0,1,2,6,26,21,11,7,3,0,38,11,5,0,12,337,192,45,75,2,0,0.318,0.074,0.432,0.506,0.114,0.356,1.238
2009,102,RR,Round Rock Express,112,PCL,11,AAA,453400,Chris Johnson,Christopher,Johnson,Chris,C Johnson,3B,104,412,384,48,108,20,5,13,42,2,1,21,1,90,177,62,16,0,3,4,38,92,97,61,13,23,0,154,29,36,1,42,1544,756,177,297,3,1,0.281,0.068,0.461,0.529,0.18,0.335,0.948
2009,102,RR,Round Rock Express,112,PCL,11,AAA,455986,Mark Saccomanno,Mark,Saccomanno,Mark,M Saccomanno,3B/1B,137,539,493,67,137,23,5,15,67,5,0,34,0,87,215,93,12,1,5,6,43,108,167,104,43,20,0,239,33,36,1,67,1963,966,203,412,5,2,0.278,0.084,0.436,0.52,0.158,0.308,0.647
2009,102,RR,Round Rock Express,112,PCL,11,AAA,446373,Tommy Manzella,Thomas,Manzella,Tommy,T Manzella,SS,133,580,530,68,153,31,5,9,56,12,3,40,2,99,221,90,18,7,2,1,45,168,119,76,27,16,0,195,55,29,1,68,2137,982,182,440,10,2,0.289,0.075,0.417,0.492,0.128,0.34,1.412
2009,102,RR,Round Rock Express,112,PCL,11,AAA,407843,Andy Van Hekken,Andrew,Van Hekken,Andy,A Van Hekken,P,6,4,4,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,1,0,0,2,0,1,0,0,17,4,0,3,0,0,0.25,0.0,0.5,0.5,0.25,0.333,1.0
2009,102,RR,Round Rock Express,112,PCL,11,AAA,430642,Jose Capellan,Jose,Capellan,Jose,J Capellan,P,30,18,14,3,4,1,0,0,2,0,0,2,0,6,5,2,0,2,0,0,1,5,1,1,0,0,0,5,2,1,0,1,68,28,10,10,1,0,0.286,0.125,0.357,0.482,0.071,0.5,5.0
2009,102,RR,Round Rock Express,112,PCL,11,AAA,430631,Reggie Abercrombie,Reginald,Abercrombie,Reggie,R Abercrombie,CF/RF,134,557,517,64,140,28,6,11,52,26,10,29,2,159,213,53,6,2,4,5,45,102,122,70,41,11,0,171,65,24,0,51,2040,1184,410,364,3,1,0.271,0.068,0.412,0.48,0.141,0.368,0.836
2009,102,RR,Round Rock Express,112,PCL,11,AAA,460131,Brian Bogusevic,Brian,Bogusevic,Brian,B Bogusevic,RF/LF,138,581,520,68,141,25,3,6,53,22,3,53,3,118,190,76,11,5,0,3,34,186,80,59,6,15,0,199,62,24,1,54,2350,1029,226,407,5,0,0.271,0.097,0.365,0.462,0.094,0.341,2.325
2009,102,RR,Round Rock Express,112,PCL,11,AAA,430571,John Gall,John,Gall,John,J Gall,LF/1B,125,445,398,34,98,19,0,9,45,4,4,41,2,67,144,82,18,0,3,3,28,109,127,77,31,19,0,187,28,16,0,54,1675,761,152,334,2,1,0.246,0.106,0.362,0.468,0.116,0.274,0.858
2009,102,RR,Round Rock Express,112,PCL,11,AAA,444524,Polin Trinidad,Polin,Trinidad,Polin,P Trinidad,P,14,21,19,1,4,1,0,1,2,0,0,1,0,7,8,3,1,1,0,0,2,8,1,0,0,1,0,5,1,1,0,2,75,35,14,13,1,0,0.211,0.05,0.421,0.471,0.211,0.273,8.0
2009,102,RR,Round Rock Express,112,PCL,11,AAA,425632,Matt Kata,Matthew,Kata,Matt,M Kata,2B,66,244,227,22,61,10,1,2,22,8,0,12,1,25,79,31,4,1,1,3,13,61,82,41,33,8,0,107,17,13,0,31,857,399,56,204,2,0,0.269,0.066,0.348,0.414,0.079,0.294,0.744
2009,102,RR,Round Rock Express,112,PCL,11,AAA,456481,Yordany Ramirez,Yordany,Ramirez,Yordany,Y Ramirez,OF/CF,133,478,457,41,117,22,1,11,47,14,8,11,3,64,174,84,6,4,3,2,34,129,154,74,57,23,1,201,44,23,3,47,1558,929,189,400,6,0,0.256,0.034,0.381,0.415,0.125,0.275,0.838
2009,102,RR,Round Rock Express,112,PCL,11,AAA,450300,Drew Sutton,Stephen,Sutton,Drew,D Sutton,2B,5,18,15,1,4,0,0,0,0,0,0,2,0,2,4,2,0,0,0,1,0,8,1,1,0,0,0,6,1,0,0,3,66,27,10,13,0,0,0.267,0.167,0.267,0.434,0.0,0.308,8.0
