season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,444949,Ben Jones,Benjamin,Jones,Ben,B Jones,1B,110,455,383,114,18,4,21,88,0,2,59,1,85,203,67,13,0,0,13,43,91,93,57,20,16,0,190,37,45,0,32,830,501,203,298,5,1,0.298,0.158,0.53,0.688,0.232,0.336,0.978
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,487666,Josue Calzado,Josue,Calzado,Josue,J Calzado,CF/LF,12,43,40,15,3,0,0,6,2,0,2,0,8,18,4,1,0,0,1,3,10,7,6,1,0,0,16,8,1,0,6,67,56,24,32,0,0,0.375,0.07,0.45,0.52,0.075,0.469,1.429
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,449075,Kevin Nelson,Kevin,Nelson,Kevin,K Nelson,C,40,130,106,30,7,2,1,17,1,1,18,0,24,44,16,4,2,0,4,10,31,23,16,5,2,0,45,15,7,0,8,242,133,49,84,1,1,0.283,0.172,0.415,0.587,0.132,0.358,1.348
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,467798,Jose Tabata,Jose,Tabata,Jose,J Tabata,LF/RF,86,363,319,95,22,1,5,51,15,5,30,1,66,134,66,10,0,2,12,28,108,52,36,7,9,0,134,35,24,0,36,604,429,173,255,7,1,0.298,0.121,0.42,0.541,0.122,0.36,2.077
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,452675,Marcos Vechionacci,Marcos,Vechionacci,Marcos,M Vechionacci,3B,98,429,368,94,15,6,7,44,7,4,55,2,52,142,74,13,0,2,4,28,125,98,60,21,17,0,178,39,20,0,35,729,430,109,318,8,2,0.255,0.142,0.386,0.528,0.13,0.28,1.276
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,458624,Joseph Muich,Joseph,Muich,Joseph,J Muich,C,61,218,196,54,12,0,4,24,1,0,18,0,38,78,33,5,1,2,1,16,50,57,35,16,6,0,85,13,14,0,27,356,254,92,161,5,1,0.276,0.097,0.398,0.495,0.122,0.321,0.877
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,468470,Reegie Corona,Reegie,Corona,Reegie,R Corona,2B,96,402,359,105,13,2,3,40,26,7,30,0,45,131,81,9,3,5,5,18,110,107,74,24,9,0,169,49,17,0,39,612,428,106,322,10,1,0.292,0.1,0.365,0.465,0.072,0.323,1.028
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,456656,Tim Battle,Timothy,Battle,Tim,T Battle,OF/RF,94,401,362,96,14,5,5,38,24,8,25,1,95,135,60,9,4,2,8,24,102,75,38,22,15,0,162,43,17,0,36,701,503,230,273,5,0,0.265,0.088,0.373,0.461,0.108,0.345,1.36
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,457706,Austin Jackson,Austin,Jackson,Austin,A Jackson,CF,134,611,535,139,24,5,4,47,37,12,61,0,151,185,69,7,5,4,6,33,127,127,85,22,20,0,203,52,27,0,60,1128,740,344,393,12,0,0.26,0.117,0.346,0.463,0.086,0.352,1.0
2006,233,CSC,Charleston RiverDogs,116,SAL,14,A,476015,C.J. Henry,Carl,Henry,C.J.,C Henry,SS,77,316,275,66,19,3,2,33,14,4,32,0,86,97,52,10,1,2,6,24,92,34,24,6,4,0,161,23,17,0,26,596,366,173,192,5,0,0.24,0.127,0.353,0.48,0.113,0.339,2.706
