season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2017,102,RR,Round Rock Express,112,PCL,11,AAA,593643,Hanser Alberto,Hanser,Alberto,Hanser,H Alberto,3B/2B,2,9,9,2,4,0,0,1,2,0,0,0,0,1,7,1,0,0,0,0,1,0,4,2,0,2,0,4,2,1,0,1,21,12,1,8,0,0,0.444,0.0,0.778,0.778,0.333,0.429,0.0
2017,102,RR,Round Rock Express,112,PCL,11,AAA,425543,Josh Wilson,Joshua,Wilson,Josh,J Wilson,SS/2B,22,82,73,11,24,4,0,4,16,0,1,4,0,15,40,12,2,1,2,2,8,14,23,13,8,2,0,29,7,6,1,10,333,147,29,61,1,0,0.329,0.099,0.548,0.647,0.219,0.357,0.609
2017,102,RR,Round Rock Express,112,PCL,11,AAA,641432,Willie Calhoun,Willie,Calhoun,Willie,W Calhoun,DH/LF,29,120,113,16,35,3,1,8,26,1,0,6,1,12,64,23,3,1,0,0,12,32,35,16,16,3,0,40,10,13,1,11,425,226,30,102,2,1,0.31,0.05,0.566,0.616,0.257,0.29,0.914
2017,102,RR,Round Rock Express,112,PCL,11,AAA,543860,Kevin Torres,Kevin,Torres,Kevin,K Torres,C,6,22,20,3,6,1,0,1,1,0,0,2,0,6,10,2,2,0,0,0,2,8,0,0,0,0,0,13,0,2,0,4,86,40,13,14,0,0,0.3,0.091,0.5,0.591,0.2,0.385,
2017,102,RR,Round Rock Express,112,PCL,11,AAA,592685,Drew Robinson,Drew,Robinson,Drew,D Robinson,CF/2B,66,309,265,48,71,19,4,11,40,7,4,42,1,74,131,28,0,0,1,1,34,61,60,37,14,9,0,84,14,23,0,34,1229,552,136,192,3,0,0.268,0.142,0.494,0.636,0.226,0.331,1.017
2017,102,RR,Round Rock Express,112,PCL,11,AAA,519025,Will Middlebrooks,William,Middlebrooks,Will,W Middlebrooks,3B,78,342,306,51,79,14,0,23,64,0,1,31,1,88,162,45,9,0,3,2,37,64,78,46,27,5,0,155,20,24,0,35,1361,545,146,221,3,1,0.258,0.105,0.529,0.634,0.271,0.283,0.821
2017,102,RR,Round Rock Express,112,PCL,11,AAA,453211,Drew Stubbs,Robert,Stubbs,Drew,D Stubbs,CF,75,322,273,46,81,16,2,7,35,9,6,46,0,88,122,36,2,0,0,3,25,50,54,38,11,5,0,92,27,17,0,37,1362,521,149,185,3,0,0.297,0.152,0.447,0.599,0.15,0.416,0.926
2017,102,RR,Round Rock Express,112,PCL,11,AAA,592592,Brett Nicholas,Brett,Nicholas,Brett,B Nicholas,C,69,293,273,35,85,18,2,7,38,2,1,13,1,59,128,44,8,1,1,5,27,63,68,46,14,8,0,123,24,19,3,39,1092,595,138,216,1,0,0.311,0.065,0.469,0.534,0.158,0.375,0.926
2017,102,RR,Round Rock Express,112,PCL,11,AAA,595777,Jurickson Profar,Jurickson,Profar,Jurickson,J Profar,LF/SS,87,383,327,50,94,25,0,7,45,5,0,43,0,33,140,61,9,4,1,8,32,104,101,69,16,16,0,120,41,15,0,38,1499,658,83,299,7,1,0.287,0.137,0.428,0.565,0.141,0.302,1.03
2017,102,RR,Round Rock Express,112,PCL,11,AAA,501983,Travis Snider,Travis,Snider,Travis,T Snider,LF,100,413,361,50,106,24,0,9,44,2,2,49,4,91,157,61,3,0,3,0,33,91,76,51,14,11,0,160,46,29,0,31,1619,715,176,273,4,1,0.294,0.126,0.435,0.561,0.141,0.367,1.197
