player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Phegley, Josh",572033,2018,,,,,,,,,49,,,,,,,33,,,,
"Garver, Mitch",641598,2018,,,,,,,,,80,,,,,,,38,,,,
"Hermosillo, Michael",641684,2018,,,,,,,,,65,,,,,,,96,,,,
"Bird, Greg",595885,2018,,,,,,,,,58,,,,,,,19,,,,
"Maybin, Cameron",457727,2018,38.0,58.0,26.0,18.0,60.0,12.0,20.0,12.0,80,28.0,59.0,65.0,69.0,85.0,,84,80.0,,,
"Marrero, Deven",571918,2018,,,,,,,,,54,,,,,,,56,,,,
"Osuna, José",591741,2018,,,,,,,,,68,,,,,,,59,,,,
"Frazier, Todd",453943,2018,29.0,7.0,29.0,46.0,31.0,35.0,48.0,63.0,94,47.0,31.0,69.0,51.0,69.0,,25,86.0,,,
"Avelino, Abiatal",623214,2018,,,,,,,,,72,,,,,,,69,,,,
"Núñez, Renato",600524,2018,,,,,,,,,84,,,,,,,58,5.0,,,
"Souza Jr., Steven",519306,2018,,,,,,,,,73,,,,,,,76,,,,
"Machado, Dixon",553988,2018,,,,,,,,,49,,,,,,,66,23.0,,,
"Álvarez, Pedro",476883,2018,,,,,,,,,98,,,,,,,35,,,,
"Maeda, Kenta",628317,2018,,,,,,,,,17,,,,,,,1,,,,
"Walker, Christian",572233,2018,,,,,,,,,95,,,,,,,79,,,,
"Santana, Danny",542454,2018,,,,,,,,,58,,,,,,,72,,,,
"Grichuk, Randal",545341,2018,64.0,34.0,85.0,92.0,21.0,88.0,96.0,81.0,94,81.0,15.0,16.0,9.0,21.0,,81,93.0,,,
"Desmond, Ian",435622,2018,27.0,17.0,30.0,42.0,23.0,61.0,50.0,73.0,84,79.0,33.0,50.0,20.0,56.0,,77,9.0,,,
"Palka, Daniel",594953,2018,37.0,16.0,65.0,83.0,6.0,81.0,96.0,94.0,100,94.0,2.0,26.0,2.0,37.0,,43,,,,
"DeJong, Paul",657557,2018,49.0,23.0,64.0,76.0,31.0,61.0,67.0,60.0,76,65.0,21.0,35.0,40.0,65.0,,79,5.0,,,
"Ponce de Leon, Daniel",594965,2018,,,,,,,,,20,,,,,,,57,,,,
"Abreu, José",547989,2018,82.0,87.0,87.0,80.0,71.0,76.0,67.0,89.0,97,88.0,57.0,26.0,46.0,13.0,,46,22.0,,,
"Barnes, Austin",605131,2018,,,,,,,,,60,,,,,,,59,,,,
"O'Neill, Tyler",641933,2018,,,,,,,,,90,,,,,,,97,,,,
