year,entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2018,"Realmuto, J.T.",592663,146,27,87.8,0.69,23,1.9,1.88,1.9,2,1.47,1.46,1.48
2018,"Alfaro, Jorge",595751,143,25,90.9,0.73,45,1.92,1.9,1.94,1,1.49,,1.49
2018,"Higashioka, Kyle",543309,147,28,80.5,0.69,6,1.95,1.9,1.96,1,1.55,1.55,
2018,"Viloria, Meibrys",650619,118,21,84.5,0.72,6,1.92,1.91,1.92,1,1.52,,1.52
2018,"Astudillo, Willians",553902,142,26,79.7,0.72,5,2.0,1.91,2.02,0,,,
2018,"Hedges, Austin",595978,135,25,83.1,0.69,24,1.94,1.92,1.95,5,1.52,1.51,1.53
2018,"Nido, Tomás",621512,121,24,82.2,0.7,11,1.94,1.92,1.94,1,1.53,,1.53
2018,"Pérez, Michael",605421,139,25,85.2,0.77,6,1.94,1.92,1.96,0,,,
2018,"Swihart, Blake",596119,111,26,85.7,0.76,11,1.97,1.93,2.01,0,,,
2018,"Piña, Manny",444489,158,31,83.9,0.67,26,1.95,1.93,1.98,0,,,
2018,"Sánchez, Gary",596142,147,25,86.9,0.75,18,1.94,1.93,1.96,4,1.48,1.49,1.48
2018,"Greiner, Grayson",606988,116,25,85.4,0.78,8,1.99,1.94,2.0,1,1.62,,1.62
2018,"Ramos, Wilson",467092,143,30,82.3,0.71,15,1.99,1.94,2.01,6,1.58,1.56,1.59
2018,"Pérez, Carlos",542208,140,27,79.6,0.64,9,1.99,1.94,2.05,1,1.52,1.52,
2018,"McGuire, Reese",624512,141,23,79.3,0.64,10,1.95,1.94,1.95,0,,,
2018,"Castillo, Welington",456078,145,31,80.1,0.62,13,1.96,1.95,1.97,1,1.54,1.54,
2018,"Herrmann, Chris",543302,136,30,81.4,0.73,7,2.04,1.95,2.08,1,1.51,,1.51
2018,"León, Sandy",506702,111,29,82.2,0.67,20,1.97,1.95,1.98,0,,,
2018,"Gomes, Yan",543228,114,30,81.3,0.66,35,1.93,1.96,1.92,4,1.75,1.57,1.8
2018,"Pérez, Roberto",547379,114,29,83.4,0.7,18,1.96,1.96,1.97,1,1.49,1.49,
2018,"Contreras, Willson",575929,112,26,86.3,0.75,29,1.96,1.96,1.96,3,1.55,1.54,1.55
2018,"Rivera, René",425784,144,34,81.6,0.72,10,2.0,1.97,2.02,0,,,
2018,"Avila, Alex",488671,109,31,81.5,0.73,15,1.98,1.97,1.99,1,1.63,1.63,
2018,"Knapp, Andrew",595284,143,26,82.7,0.75,24,2.03,1.98,2.04,1,1.57,,1.57
2018,"Lopez, Raffy",607257,135,30,81.5,0.74,8,2.02,1.98,2.05,0,,,
2018,"Perez, Salvador",521692,118,28,82.2,0.69,38,1.98,1.98,1.96,1,1.53,,1.53
2018,"Díaz, Elias",553869,134,27,84.7,0.72,18,1.98,1.98,1.98,2,1.45,1.44,1.46
2018,"Butera, Drew",460077,115,34,85.7,0.75,18,1.98,1.98,1.97,3,1.54,,1.54
2018,"Kieboom, Spencer",571851,120,27,80.2,0.69,15,1.99,1.98,1.99,1,1.6,,1.6
2018,"Maldonado, Martín",455117,117,31,87.6,0.77,20,1.97,1.98,1.97,4,1.61,1.58,1.62
2018,"Severino, Pedro",600474,120,24,84.3,0.71,21,1.98,1.99,1.98,0,,,
2018,"Holaday, Bryan",592407,146,30,81.9,0.73,22,2.0,1.99,2.02,1,1.49,,1.49
2018,"Wieters, Matt",446308,120,32,79.8,0.72,22,2.01,1.99,2.02,4,1.56,1.55,1.58
2018,"Lucroy, Jonathan",518960,133,32,80.8,0.69,42,2.0,1.99,2.01,3,1.59,1.59,
2018,"Zunino, Mike",572287,136,27,81.2,0.72,25,2.02,2.0,2.04,2,1.69,1.64,1.74
2018,"Hundley, Nick",460026,137,34,80.3,0.74,30,2.04,2.01,2.05,2,1.6,1.6,
2018,"Hicks, John",543308,116,28,84.4,0.69,10,1.97,2.01,1.96,0,,,
2018,"Wolters, Tony",547172,115,26,78.5,0.65,19,1.99,2.01,1.97,2,1.49,1.56,1.43
2018,"Posey, Buster",457763,137,31,82.6,0.73,30,2.01,2.01,2.01,4,1.56,,1.56
2018,"Lobatón, Jose",446653,121,33,81.0,0.77,5,2.06,2.01,2.07,1,1.67,1.67,
2018,"Phegley, Josh",572033,133,30,80.0,0.7,8,2.02,2.01,2.02,1,1.6,1.6,
2018,"Smith, Kevan",607345,145,30,83.1,0.72,21,2.01,2.02,2.0,0,,,
2018,"Kratz, Erik",456124,158,38,84.1,0.76,21,2.02,2.02,2.02,2,1.69,1.87,1.52
2018,"Briceño, José",593993,108,25,81.2,0.69,12,2.0,2.02,1.99,0,,,
2018,"Moore, Adam",446192,139,34,84.2,0.81,7,2.02,2.02,2.02,1,1.67,,1.67
2018,"Maile, Luke",571912,141,27,83.0,0.71,34,1.99,2.02,1.97,3,1.66,1.76,1.61
2018,"Wynns, Austin",642851,110,27,79.5,0.7,10,2.01,2.02,1.99,1,1.49,,1.49
2018,"Murphy, Tom",608596,115,27,85.4,0.77,7,2.02,2.02,2.02,0,,,
2018,"Cervelli, Francisco",465041,134,32,79.9,0.72,29,2.01,2.03,1.99,5,1.59,1.64,1.52
2018,"Kiner-Falefa, Isiah",643396,140,23,77.6,0.67,13,2.04,2.03,2.05,0,,,
2018,"Sucre, Jesús",491696,139,30,84.6,0.78,17,2.01,2.03,1.98,1,1.6,,1.6
2018,"Grandal, Yasmani",518735,119,29,80.7,0.74,33,2.04,2.04,2.04,4,1.62,,1.62
2018,"McCann, James",543510,116,28,83.2,0.74,39,2.02,2.04,1.99,3,1.65,1.64,1.66
