last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19,id,name,pitches,rv_tot,pct_tot,rv_11,pct_11,rv_12,pct_12,rv_13,pct_13,rv_14,pct_14,rv_16,pct_16,rv_17,pct_17,rv_18,pct_18,rv_19,pct_19
Wieters,Matt,446308.0,2015,1646.0,0.0,46.2,28.3,41.7,15.9,82.5,44.9,42.0,40.1,8.3,,,,,,,,,,,,,,,,,,,,,
Mesoraco,Devin,519023.0,2015,149.0,0.0,49.7,20.0,25.0,0.0,85.3,58.1,53.3,41.4,21.4,,,,,,,,,,,,,,,,,,,,,
Solano,Jhonatan,500207.0,2015,163.0,0.0,48.5,30.0,33.3,11.1,67.9,75.8,16.7,57.1,16.7,,,,,,,,,,,,,,,,,,,,,
Pacheco,Jordan,457574.0,2015,434.0,0.0,45.6,15.4,23.8,18.8,81.3,54.7,45.5,41.3,18.2,,,,,,,,,,,,,,,,,,,,,
Cabrera,Ramón,541608.0,2015,159.0,0.0,43.4,18.2,60.0,0.0,58.3,57.1,44.0,46.7,18.8,,,,,,,,,,,,,,,,,,,,,
Casali,Curt,592200.0,2015,848.0,0.0,46.6,16.9,33.7,0.0,87.6,48.1,40.2,48.7,5.6,,,,,,,,,,,,,,,,,,,,,
Baron,Steven,571467.0,2015,104.0,0.0,53.8,0.0,60.0,100.0,87.0,52.6,44.4,65.0,8.3,,,,,,,,,,,,,,,,,,,,,
Kratz,Erik,456124.0,2015,111.0,0.0,43.2,28.6,66.7,100.0,86.4,50.0,30.8,19.0,10.5,,,,,,,,,,,,,,,,,,,,,
Schwarber,Kyle,656941.0,2015,467.0,0.0,48.6,19.4,43.8,11.1,69.7,71.9,25.0,32.6,40.0,,,,,,,,,,,,,,,,,,,,,
Murphy,John Ryan,571974.0,2015,1435.0,0.0,48.2,19.8,37.6,6.0,82.7,55.0,39.3,46.0,15.4,,,,,,,,,,,,,,,,,,,,,
Barnes,Austin,605131.0,2015,229.0,0.0,41.5,0.0,25.0,10.0,68.9,66.7,38.9,41.0,10.7,,,,,,,,,,,,,,,,,,,,,
Nieves,Wil,408242.0,2015,129.0,0.0,41.1,66.7,31.3,0.0,95.0,37.0,20.0,28.1,16.7,,,,,,,,,,,,,,,,,,,,,
Thole,Josh,489365.0,2015,372.0,0.0,44.1,17.9,44.6,21.1,53.2,72.8,23.5,44.2,17.0,,,,,,,,,,,,,,,,,,,,,
Fryer,Eric,518700.0,2015,216.0,0.0,46.8,25.0,18.8,0.0,69.2,66.7,50.0,50.0,13.3,,,,,,,,,,,,,,,,,,,,,
Centeno,Juan,518542.0,2015,169.0,0.0,40.8,0.0,32.0,0.0,71.9,51.2,40.0,33.3,12.5,,,,,,,,,,,,,,,,,,,,,
Ashley,Nevin,502213.0,2015,151.0,0.0,39.7,25.0,42.9,11.1,88.9,50.0,25.0,40.0,13.8,,,,,,,,,,,,,,,,,,,,,
Gosewisch,Tuffy,488912.0,2015,993.0,0.0,46.6,8.7,30.6,10.7,73.1,61.0,40.5,43.7,24.2,,,,,,,,,,,,,,,,,,,,,
Stassi,Max,545358.0,2015,136.0,0.0,40.4,0.0,38.5,0.0,60.7,63.0,10.0,40.0,7.7,,,,,,,,,,,,,,,,,,,,,
Clevenger,Steve,502182.0,2015,199.0,0.0,45.2,22.2,36.8,0.0,70.5,61.1,33.3,38.5,29.2,,,,,,,,,,,,,,,,,,,,,
Maile,Luke,571912.0,2015,296.0,0.0,44.6,30.0,33.3,0.0,80.6,37.5,25.0,52.6,14.3,,,,,,,,,,,,,,,,,,,,,
Hicks,John,543308.0,2015,314.0,-1.0,42.7,30.0,40.0,17.6,75.8,51.4,25.0,31.5,13.2,,,,,,,,,,,,,,,,,,,,,
Brown,Trevor,623143.0,2015,356.0,-1.0,46.9,10.3,43.8,6.7,81.3,51.7,43.8,40.0,12.5,,,,,,,,,,,,,,,,,,,,,
Sánchez,Héctor,516949.0,2015,302.0,-1.0,42.7,35.0,36.7,0.0,73.9,58.0,53.6,27.4,13.9,,,,,,,,,,,,,,,,,,,,,
Monell,Johnny,476192.0,2015,252.0,-1.0,40.1,5.3,28.6,0.0,70.9,57.1,35.0,35.1,18.5,,,,,,,,,,,,,,,,,,,,,
Pérez,Carlos,542208.0,2015,2129.0,-1.0,45.7,25.3,38.2,7.1,73.8,52.6,31.9,49.4,18.3,,,,,,,,,,,,,,,,,,,,,
McKenry,Michael,502374.0,2015,850.0,-1.0,46.6,26.2,47.8,10.5,79.0,55.3,36.6,45.0,12.7,,,,,,,,,,,,,,,,,,,,,
Hernández,Óscar,591712.0,2015,235.0,-1.0,42.1,13.3,38.5,12.5,68.9,65.9,17.2,44.4,16.7,,,,,,,,,,,,,,,,,,,,,
Murphy,Tom,608596.0,2015,330.0,-1.0,40.3,0.0,36.0,6.7,70.4,36.8,34.3,46.6,15.8,,,,,,,,,,,,,,,,,,,,,
Telis,Tomás,542513.0,2015,165.0,-1.0,31.5,11.1,17.6,0.0,71.0,34.6,14.3,31.9,0.0,,,,,,,,,,,,,,,,,,,,,
