last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Bandy,Jett,542908.0,2017,1371,0,49.7,12.7,34.2,17.6,68.8,66.0,50.4,50.2,28.7
Freitas,David,571679.0,2017,135,0,43.7,12.5,41.7,0.0,60.6,84.2,8.3,38.1,30.0
Saltalamacchia,Jarrod,457454.0,2017,199,0,47.7,0.0,13.3,0.0,69.6,70.7,45.5,51.0,40.0
Narváez,Omar,553882.0,2017,2349,-1,45.6,26.2,46.2,19.3,67.8,63.2,24.6,37.8,21.1
Soto,Geovany,434567.0,2017,363,-1,39.9,10.5,6.9,9.5,44.7,60.3,20.8,59.0,23.3
Turner,Stuart,642156.0,2017,670,-1,43.4,18.4,36.2,15.2,59.4,63.9,40.0,38.0,22.8
Garver,Mitch,641598.0,2017,183,-1,41.5,28.6,41.4,36.4,71.9,53.2,14.3,21.9,9.1
Maxwell,Bruce,622194.0,2017,1893,-1,45.1,18.1,34.7,17.2,67.7,58.1,40.1,46.6,26.4
McCann,Brian,435263.0,2017,3264,-1,49.1,10.9,18.1,13.2,70.3,62.4,48.9,59.3,31.5
Wolters,Tony,547172.0,2017,2080,-1,43.2,9.9,32.3,15.1,58.2,60.9,32.2,50.0,28.1
León,Sandy,506702.0,2017,2388,-1,47.5,23.5,45.2,24.8,64.6,66.8,29.4,46.0,19.8
Maile,Luke,571912.0,2017,1059,-1,49.4,20.0,40.5,27.1,68.6,72.8,31.2,50.2,33.6
Sánchez,Gary,596142.0,2017,3243,-2,46.8,18.1,47.0,22.1,66.8,73.6,26.3,38.1,22.1
Chirinos,Robinson,455139.0,2017,2328,-2,44.4,13.1,36.1,11.9,61.8,67.2,26.6,45.8,28.5
Ellis,A.J.,454560.0,2017,1073,-2,43.3,16.2,44.5,15.8,67.9,62.4,26.5,39.6,12.8
Sánchez,Héctor,516949.0,2017,531,-2,41.2,20.0,33.3,16.1,60.4,60.2,17.2,33.0,28.9
Nicholas,Brett,592592.0,2017,489,-3,35.8,18.8,48.1,16.0,65.1,59.8,2.0,22.0,9.3
