player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Buxton, Byron",621439,2021,,,,,,,,,96,,,,,,96.0,99,94.0,,,
"Devers, Rafael",646240,2021,94.0,92.0,94.0,91.0,87.0,98.0,89.0,93.0,93,92.0,49.0,57.0,29.0,15.0,50.0,54,1.0,,,
"Pache, Cristian",665506,2021,,,,,,,,,35,,,,,,96.0,91,,,,
"Torrens, Luis",620443,2021,37.0,34.0,51.0,55.0,18.0,42.0,68.0,79.0,61,66.0,19.0,29.0,32.0,63.0,,46,,,,
"Cain, Lorenzo",456715,2021,,,,,,,,,74,,,,,,49.0,89,92.0,,,
"Long Jr., Shed",643418,2021,,,,,,,,,72,,,,,,87.0,40,,,,
"Velazquez, Andrew",623205,2021,,,,,,,,,61,,,,,,47.0,97,,,,
"Stokes Jr., Troy",657011,2021,,,,,,,,,29,,,,,,,54,,,,
"Bruce, Jay",457803,2021,,,,,,,,,39,,,,,,,6,,,,
"Williams, Mason",592863,2021,,,,,,,,,27,,,,,,,43,,,,
"Gonzalez, Marwin",503556,2021,,,,,,,,,73,,,,,,21.0,44,82.0,,,
"Marcano, Tucupita",672779,2021,,,,,,,,,34,,,,,,,89,,,,
"Piña, Manny",444489,2021,,,,,,,,,70,,,,,,,18,,,,
"Riddle, JT",595375,2021,,,,,,,,,26,,,,,,,29,,,,
"Yastrzemski, Mike",573262,2021,35.0,8.0,52.0,72.0,25.0,63.0,67.0,53.0,63,38.0,27.0,61.0,53.0,81.0,60.0,59,84.0,,,
"Williams, Trevor",592866,2021,,,,,,,,,20,,,,,,,1,,,,
"Wainwright, Adam",425794,2021,,,,,,,,,68,,,,,,,6,,,,
"McCarthy, Jake",664983,2021,,,,,,,,,60,,,,,,48.0,100,,,,
"Sosa, Edmundo",624641,2021,,,,,,,,,93,,,,,,31.0,98,88.0,,,
"Ramos, Henry",592656,2021,,,,,,,,,65,,,,,,,38,,,,
"Cueto, Johnny",456501,2021,,,,,,,,,18,,,,,,,9,,,,
"Romine, Austin",519222,2021,,,,,,,,,83,,,,,,,14,,,,
"Davies, Zach",605200,2021,,,,,,,,,16,,,,,,,8,,,,
"Peralta, Freddy",642547,2021,,,,,,,,,22,,,,,,,6,,,,
"Fortes, Nick",663743,2021,,,,,,,,,49,,,,,,,34,,,,
"Cameron, Daz",663662,2021,,,,,,,,,86,,,,,,79.0,79,,,,
"Dickerson, Alex",543105,2021,,,,,,,,,87,,,,,,22.0,43,,,,
"Heineman, Scott",595981,2021,,,,,,,,,30,,,,,,,85,,,,
"Martinez, J.D.",502110,2021,88.0,90.0,90.0,87.0,75.0,88.0,81.0,90.0,89,90.0,33.0,47.0,22.0,11.0,67.0,31,,,,
"Rondon, José",602922,2021,,,,,,,,,47,,,,,,,64,,,,
"Ford, Mike",645801,2021,,,,,,,,,62,,,,,,,5,,,,
"McMahon, Ryan",641857,2021,48.0,34.0,52.0,58.0,48.0,46.0,38.0,73.0,80,68.0,26.0,65.0,22.0,70.0,50.0,34,98.0,,,
"Jeffers, Ryan",680777,2021,,,,,,,,,79,,,,,,,26,,,,
"Burger, Jake",669394,2021,,,,,,,,,95,,,,,,,68,,,,
"Haggerty, Sam",664059,2021,,,,,,,,,45,,,,,,65.0,97,,,,
"Knapp, Andrew",595284,2021,,,,,,,,,82,,,,,,,58,,,,
"Brantley, Michael",488726,2021,81.0,99.0,74.0,37.0,85.0,39.0,26.0,53.0,63,64.0,99.0,18.0,99.0,72.0,72.0,25,28.0,,,
"Adell, Jo",666176,2021,,,,,,,,,89,,,,,,87.0,99,,,,
"Alberto, Hanser",593643,2021,,,,,,,,,50,,,,,,19.0,45,33.0,,,
"Gurriel Jr., Lourdes",666971,2021,62.0,77.0,74.0,63.0,39.0,72.0,61.0,59.0,76,65.0,66.0,13.0,53.0,10.0,81.0,42,5.0,,,
"Refsnyder, Rob",608701,2021,,,,,,,,,78,,,,,,83.0,58,,,,
"Velasquez, Vince",592826,2021,,,,,,,,,36,,,,,,,34,,,,
"Shaw, Travis",543768,2021,,,,,,,,,82,,,,,,29.0,17,10.0,,,
"Calhoun, Kole",594777,2021,,,,,,,,,58,,,,,,87.0,15,,,,
"Blandino, Alex",607468,2021,,,,,,,,,47,,,,,,,16,,,,
"Moncada, Yoán",660162,2021,75.0,63.0,49.0,43.0,93.0,49.0,48.0,67.0,91,51.0,23.0,94.0,26.0,77.0,52.0,71,79.0,,,
"Caratini, Victor",605170,2021,11.0,16.0,14.0,19.0,36.0,18.0,33.0,66.0,85,71.0,39.0,63.0,42.0,58.0,,15,,,,
"Verdugo, Alex",657077,2021,65.0,90.0,61.0,40.0,73.0,59.0,38.0,66.0,76,67.0,81.0,42.0,88.0,57.0,93.0,52,11.0,,,
"Luplow, Jordan",656669,2021,,,,,,,,,63,,,,,,84.0,62,,,,
"Jackson, Alex",656577,2021,,,,,,,,,93,,,,,,,47,,,,
"Madrigal, Nick",663611,2021,,,,,,,,,38,,,,,,18.0,74,,,,
"Hernández, César",514917,2021,28.0,34.0,26.0,28.0,42.0,49.0,33.0,19.0,72,16.0,51.0,57.0,70.0,60.0,3.0,89,37.0,,,
"Mazara, Nomar",608577,2021,,,,,,,,,80,,,,,,84.0,38,,,,
"Smyly, Drew",592767,2021,,,,,,,,,30,,,,,,,5,,,,
"Garver, Mitch",641598,2021,,,,,,,,,83,,,,,,,23,,,,
"Segura, Jean",516416,2021,41.0,72.0,32.0,24.0,54.0,42.0,26.0,16.0,88,30.0,91.0,23.0,90.0,31.0,80.0,57,96.0,,,
"Voit, Luke",572228,2021,,,,,,,,,77,,,,,,10.0,16,,,,
"Lindor, Francisco",596019,2021,66.0,51.0,66.0,66.0,68.0,49.0,48.0,75.0,87,71.0,70.0,78.0,63.0,58.0,28.0,70,100.0,,,
"Mateo, Jorge",622761,2021,,,,,,,,,65,,,,,,55.0,99,,,,
"Pillar, Kevin",607680,2021,5.0,12.0,22.0,35.0,1.0,23.0,38.0,6.0,74,13.0,36.0,1.0,51.0,6.0,70.0,65,37.0,,,
"Meyers, Jake",676694,2021,,,,,,,,,78,,,,,,59.0,95,,,,
"Gamel, Ben",592325,2021,33.0,14.0,22.0,33.0,58.0,26.0,45.0,43.0,56,28.0,19.0,90.0,33.0,77.0,55.0,70,1.0,,,
"Holt, Brock",571788,2021,,,,,,,,,39,,,,,,14.0,32,66.0,,,
"Guzmán, Ronald",608597,2021,,,,,,,,,83,,,,,,,11,,,,
"Hicks, John",543308,2021,,,,,,,,,53,,,,,,,34,,,,
"Camargo, Johan",622666,2021,,,,,,,,,19,,,,,,,5,,,,
"Campusano, Luis",669134,2021,,,,,,,,,58,,,,,,,27,,,,
"Plawecki, Kevin",608700,2021,,,,,,,,,72,,,,,,,23,,,,
"Ramírez, José",608070,2021,89.0,89.0,85.0,79.0,93.0,87.0,73.0,66.0,86,60.0,92.0,81.0,94.0,74.0,23.0,77,95.0,,,
"Dickerson, Corey",572816,2021,17.0,41.0,20.0,23.0,19.0,4.0,9.0,23.0,68,26.0,69.0,22.0,52.0,8.0,8.0,58,,,,
"Henry, Payton",668721,2021,,,,,,,,,58,,,,,,,8,,,,
"O'Neill, Tyler",641933,2021,93.0,81.0,95.0,96.0,68.0,92.0,97.0,94.0,88,93.0,4.0,26.0,4.0,51.0,90.0,98,90.0,,,
"Taylor, Chris",621035,2021,51.0,25.0,49.0,58.0,55.0,63.0,66.0,29.0,76,33.0,9.0,73.0,7.0,90.0,67.0,91,18.0,,,
"Woodford, Jake",663765,2021,,,,,,,,,31,,,,,,,4,,,,
"Calhoun, Willie",641432,2021,,,,,,,,,75,,,,,,40.0,33,,,,
"VanMeter, Josh",642165,2021,,,,,,,,,71,,,,,,41.0,46,15.0,,,
"Núñez, Renato",600524,2021,,,,,,,,,66,,,,,,,49,,,,
"Stevenson, Andrew",664057,2021,,,,,,,,,62,,,,,,28.0,96,,,,
"Carlson, Dylan",666185,2021,40.0,41.0,33.0,36.0,52.0,46.0,35.0,29.0,59,9.0,27.0,55.0,27.0,74.0,80.0,72,16.0,,,
"Rios, Edwin",621458,2021,,,,,,,,,90,,,,,,,36,,,,
"Iglesias, Jose",578428,2021,19.0,78.0,18.0,6.0,29.0,14.0,10.0,3.0,72,6.0,88.0,1.0,84.0,1.0,22.0,80,72.0,,,
"Higgins, P.J.",664731,2021,,,,,,,,,31,,,,,,,35,,,,
"Trevino, Jose",624431,2021,,,,,,,,,72,,,,,,,12,,,,
"Mountcastle, Ryan",663624,2021,46.0,39.0,67.0,73.0,19.0,80.0,79.0,45.0,93,41.0,14.0,25.0,12.0,3.0,58.0,74,2.0,,,
"Gurriel, Yuli",493329,2021,48.0,78.0,26.0,12.0,73.0,18.0,10.0,61.0,60,56.0,98.0,63.0,97.0,60.0,6.0,51,20.0,,,
"Fuentes, Joshua",658069,2021,,,,,,,,,45,,,,,,23.0,64,61.0,,,
"Siri, Jose",642350,2021,,,,,,,,,80,,,,,,,99,,,,
"Tellez, Rowdy",642133,2021,,,,,,,,,94,,,,,,7.0,18,,,,
"Sandoval, Pablo",467055,2021,,,,,,,,,80,,,,,,,3,,,,
"Reynolds, Bryan",668804,2021,91.0,95.0,87.0,80.0,96.0,81.0,68.0,51.0,87,48.0,70.0,83.0,56.0,68.0,76.0,88,98.0,,,
"Lowe, Nathaniel",663993,2021,43.0,21.0,33.0,44.0,58.0,70.0,61.0,77.0,91,74.0,25.0,90.0,61.0,82.0,26.0,57,18.0,,,
"Motter, Taylor",600301,2021,,,,,,,,,49,,,,,,,29,,,,
"Sanó, Miguel",593934,2021,43.0,5.0,59.0,78.0,24.0,86.0,97.0,97.0,98,99.0,2.0,78.0,2.0,55.0,81.0,40,7.0,,,
"Urías, Luis",649966,2021,53.0,25.0,46.0,53.0,60.0,63.0,59.0,25.0,80,46.0,57.0,78.0,67.0,65.0,29.0,40,1.0,,,
"Gutierrez, Vladimir",661269,2021,,,,,,,,,20,,,,,,,11,,,,
"Harper, Bryce",547180,2021,100.0,97.0,100.0,98.0,99.0,97.0,97.0,92.0,97,91.0,43.0,99.0,11.0,68.0,91.0,69,7.0,,,
"Cordero, Franchy",614173,2021,,,,,,,,,100,,,,,,37.0,87,,,,
"McCann, James",543510,2021,5.0,8.0,9.0,15.0,6.0,18.0,28.0,19.0,85,48.0,13.0,35.0,34.0,17.0,,42,,,,
"Hosmer, Eric",543333,2021,49.0,73.0,38.0,26.0,61.0,39.0,26.0,73.0,85,79.0,74.0,43.0,66.0,19.0,14.0,30,70.0,,,
"Reyes, Victor",622682,2021,,,,,,,,,68,,,,,,80.0,90,,,,
"González, Chi Chi",592346,2021,,,,,,,,,27,,,,,,,3,,,,
"Blackmon, Charlie",453568,2021,80.0,92.0,65.0,41.0,90.0,49.0,35.0,21.0,68,35.0,84.0,57.0,79.0,58.0,85.0,66,3.0,,,
"Castro, Harold",605612,2021,,,,,,,,,47,,,,,,7.0,33,1.0,,,
"Escobar, Alcides",444876,2021,26.0,78.0,17.0,6.0,51.0,4.0,9.0,1.0,39,1.0,80.0,4.0,71.0,6.0,38.0,62,24.0,,,
"Gray, Sonny",543243,2021,,,,,,,,,19,,,,,,,14,,,,
"Machín, Vimael",605353,2021,,,,,,,,,60,,,,,,,40,,,,
"Rendon, Anthony",543685,2021,,,,,,,,,40,,,,,,16.0,21,7.0,,,
"Robert Jr., Luis",673357,2021,,,,,,,,,99,,,,,,68.0,74,90.0,,,
"Correa, Carlos",621043,2021,87.0,93.0,77.0,61.0,94.0,76.0,60.0,71.0,97,63.0,72.0,84.0,75.0,72.0,79.0,51,96.0,,,
"Walsh, Jared",665120,2021,48.0,54.0,55.0,53.0,43.0,77.0,75.0,55.0,94,52.0,20.0,40.0,39.0,20.0,25.0,51,13.0,,,
"González, Erik",570481,2021,,,,,,,,,68,,,,,,50.0,61,83.0,,,
"DeJong, Paul",657557,2021,28.0,3.0,42.0,67.0,13.0,44.0,70.0,8.0,65,25.0,22.0,47.0,27.0,51.0,32.0,62,89.0,,,
"Kiermaier, Kevin",595281,2021,7.0,19.0,4.0,5.0,28.0,8.0,13.0,10.0,52,27.0,23.0,43.0,12.0,29.0,97.0,95,98.0,,,
"Stephenson, Tyler",663886,2021,46.0,62.0,31.0,25.0,71.0,17.0,24.0,34.0,43,34.0,68.0,67.0,83.0,89.0,,46,,,,
"Mazeika, Patrick",664850,2021,,,,,,,,,27,,,,,,,26,,,,
"Wood, Alex",622072,2021,,,,,,,,,19,,,,,,,2,,,,
"Pérez, Hernán",541650,2021,,,,,,,,,42,,,,,,,33,,,,
"Vogt, Stephen",519390,2021,,,,,,,,,42,,,,,,,35,,,,
"Betts, Mookie",605141,2021,79.0,66.0,61.0,54.0,90.0,49.0,43.0,72.0,52,48.0,84.0,89.0,91.0,96.0,60.0,56,33.0,,,
"Stubbs, Garrett",596117,2021,,,,,,,,,26,,,,,,,76,,,,
"Smith, Dominic",642086,2021,46.0,66.0,46.0,39.0,46.0,35.0,31.0,43.0,65,47.0,41.0,18.0,29.0,12.0,35.0,35,2.0,,,
"Trammell, Taylor",666211,2021,,,,,,,,,60,,,,,,17.0,73,,,,
"McKinstry, Zach",656716,2021,,,,,,,,,41,,,,,,96.0,75,,,,
"Marmolejos, José",592530,2021,,,,,,,,,92,,,,,,,25,,,,
"Eflin, Zach",621107,2021,,,,,,,,,46,,,,,,,3,,,,
"Chapman, Matt",656305,2021,37.0,3.0,45.0,73.0,34.0,81.0,86.0,59.0,89,54.0,3.0,91.0,8.0,82.0,75.0,77,99.0,,,
"White, Evan",657108,2021,,,,,,,,,76,,,,,,14.0,73,,,,
"Judge, Aaron",592450,2021,98.0,99.0,98.0,95.0,97.0,98.0,96.0,100.0,100,100.0,25.0,85.0,23.0,76.0,90.0,66,45.0,,,
"Odor, Rougned",596059,2021,11.0,1.0,19.0,46.0,6.0,30.0,56.0,45.0,84,32.0,13.0,30.0,23.0,40.0,58.0,44,95.0,,,
"Pham, Tommy",502054,2021,74.0,48.0,58.0,61.0,84.0,63.0,65.0,77.0,87,84.0,41.0,95.0,59.0,98.0,65.0,70,9.0,,,
"Welker, Colton",666213,2021,,,,,,,,,37,,,,,,,21,,,,
"Martin Jr., Richie",621006,2021,,,,,,,,,34,,,,,,73.0,96,,,,
"Galvis, Freddy",520471,2021,5.0,11.0,12.0,21.0,6.0,14.0,19.0,12.0,62,12.0,63.0,23.0,76.0,14.0,14.0,28,15.0,,,
"Andrus, Elvis",462101,2021,28.0,83.0,23.0,10.0,49.0,6.0,4.0,23.0,68,22.0,87.0,12.0,82.0,18.0,35.0,43,92.0,,,
"Swanson, Dansby",621020,2021,51.0,44.0,63.0,67.0,34.0,84.0,76.0,48.0,66,63.0,22.0,37.0,16.0,72.0,13.0,82,74.0,,,
"Hager, Jake",606993,2021,,,,,,,,,20,,,,,,,50,,,,
"Freeland, Kyle",607536,2021,,,,,,,,,37,,,,,,,15,,,,
"Wolters, Tony",547172,2021,,,,,,,,,21,,,,,,,19,,,,
"Profar, Jurickson",595777,2021,22.0,29.0,5.0,4.0,65.0,4.0,7.0,3.0,50,7.0,82.0,86.0,87.0,85.0,55.0,34,4.0,,,
"Greiner, Grayson",606988,2021,,,,,,,,,56,,,,,,,37,,,,
"Valera, Breyvic",591971,2021,,,,,,,,,35,,,,,,29.0,47,,,,
"Peraza, José",606299,2021,,,,,,,,,55,,,,,,21.0,64,,,,
"Corbin, Patrick",571578,2021,,,,,,,,,47,,,,,,,4,,,,
"Rizzo, Anthony",519203,2021,72.0,65.0,56.0,49.0,80.0,55.0,43.0,67.0,95,49.0,87.0,52.0,75.0,36.0,11.0,19,94.0,,,
"Bregman, Alex",608324,2021,58.0,60.0,46.0,41.0,73.0,26.0,29.0,43.0,49,33.0,95.0,77.0,98.0,97.0,26.0,25,47.0,,,
"Darvish, Yu",506433,2021,,,,,,,,,47,,,,,,,2,,,,
"Mancini, Trey",641820,2021,63.0,71.0,65.0,58.0,60.0,77.0,68.0,42.0,91,56.0,37.0,41.0,19.0,25.0,10.0,40,62.0,,,
"Marsh, Brandon",669016,2021,,,,,,,,,87,,,,,,69.0,94,79.0,,,
"Narváez, Omar",553882,2021,22.0,25.0,19.0,25.0,42.0,18.0,20.0,2.0,52,3.0,66.0,55.0,59.0,22.0,,20,,,,
"Harrison, Josh",543281,2021,58.0,84.0,48.0,32.0,63.0,26.0,16.0,16.0,54,15.0,94.0,11.0,85.0,6.0,65.0,43,92.0,,,
"Escobar, Eduardo",500871,2021,51.0,46.0,69.0,71.0,29.0,70.0,55.0,14.0,76,20.0,54.0,37.0,56.0,43.0,41.0,61,48.0,,,
