player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Archer, Chris",502042,2019,,,,,,,,,32,,,,,,,30,,,,
"Darvish, Yu",506433,2019,,,,,,,,,63,,,,,,,1,,,,
"Wacha, Michael",608379,2019,,,,,,,,,22,,,,,,,10,,,,
"Villar, Jonathan",542340,2019,31.0,29.0,31.0,30.0,32.0,61.0,39.0,41.0,93,39.0,31.0,48.0,28.0,51.0,,72,2.0,,,
"Votto, Joey",458015,2019,70.0,51.0,51.0,45.0,83.0,51.0,40.0,41.0,67,44.0,61.0,88.0,81.0,96.0,,18,74.0,,,
"Bregman, Alex",608324,2019,88.0,62.0,54.0,49.0,97.0,39.0,21.0,53.0,53,42.0,95.0,99.0,96.0,99.0,,62,66.0,,,
"Reddick, Josh",502210,2019,32.0,78.0,22.0,13.0,44.0,18.0,12.0,8.0,55,12.0,95.0,24.0,94.0,39.0,,47,70.0,,,
"Choo, Shin-Soo",425783,2019,80.0,62.0,67.0,67.0,89.0,67.0,60.0,92.0,82,95.0,28.0,84.0,17.0,92.0,,44,2.0,,,
"Semien, Marcus",543760,2019,82.0,75.0,78.0,73.0,83.0,86.0,56.0,41.0,58,43.0,89.0,82.0,85.0,95.0,,76,18.0,,,
"Keller, Mitch",656605,2019,,,,,,,,,12,,,,,,,1,,,,
"Strahm, Matt",621381,2019,,,,,,,,,28,,,,,,,3,,,,
"Gosselin, Phil",594838,2019,,,,,,,,,41,,,,,,,91,,,,
"Rios, Edwin",621458,2019,,,,,,,,,86,,,,,,,27,,,,
"Goins, Ryan",572365,2019,,,,,,,,,40,,,,,,,33,,,,
"Walker, Christian",572233,2019,83.0,59.0,85.0,87.0,76.0,89.0,90.0,83.0,86,94.0,23.0,77.0,19.0,80.0,,59,98.0,,,
"Gregorius, Didi",544369,2019,10.0,24.0,26.0,27.0,3.0,19.0,31.0,25.0,76,31.0,83.0,10.0,68.0,8.0,,70,1.0,,,
"Zobrist, Ben",450314,2019,,,,,,,,,38,,,,,,,45,,,,
"Sánchez, Gary",596142,2019,88.0,39.0,93.0,97.0,58.0,92.0,99.0,82.0,100,67.0,12.0,55.0,11.0,24.0,,23,,,,
"Prado, Martín",445988,2019,,,,,,,,,49,,,,,,,24,,,,
"Heredia, Guillermo",628338,2019,,,,,,,,,59,,,,,,,78,,,,
"Bichette, Bo",666182,2019,,,,,,,,,57,,,,,,,83,,,,
"Shaw, Chris",622046,2019,,,,,,,,,34,,,,,,,15,,,,
"Shaw, Travis",543768,2019,,,,,,,,,89,,,,,,,25,23.0,,,
"Mendick, Danny",664901,2019,,,,,,,,,27,,,,,,,53,,,,
"Stevenson, Andrew",664057,2019,,,,,,,,,30,,,,,,,84,,,,
"Maybin, Cameron",457727,2019,,,,,,,,,74,,,,,,,87,,,,
"Phegley, Josh",572033,2019,8.0,29.0,13.0,13.0,6.0,6.0,11.0,2.0,45,5.0,69.0,6.0,68.0,31.0,,28,,,,
"Merrifield, Whit",593160,2019,45.0,86.0,42.0,25.0,53.0,43.0,20.0,15.0,36,12.0,74.0,21.0,78.0,34.0,,86,22.0,,,
"Yelich, Christian",592885,2019,99.0,98.0,99.0,98.0,99.0,97.0,97.0,98.0,99,96.0,60.0,93.0,21.0,54.0,,87,20.0,,,
"Pederson, Joc",592626,2019,66.0,27.0,67.0,76.0,61.0,67.0,71.0,86.0,92,76.0,48.0,63.0,57.0,65.0,,35,11.0,,,
"d'Arnaud, Travis",518595,2019,53.0,57.0,55.0,53.0,47.0,33.0,48.0,66.0,89,52.0,47.0,44.0,38.0,29.0,,50,,,,
"DeSclafani, Anthony",543101,2019,,,,,,,,,42,,,,,,,1,,,,
"Alonso, Pete",624413,2019,91.0,49.0,92.0,95.0,82.0,99.0,97.0,76.0,100,73.0,18.0,70.0,25.0,29.0,,41,10.0,,,
"Lagares, Juan",501571,2019,,,,,,,,,62,,,,,,,73,86.0,,,
"McKinney, Billy",641856,2019,,,,,,,,,76,,,,,,,64,,,,
"Bemboom, Anthony",621532,2019,,,,,,,,,49,,,,,,,42,,,,
"Thaiss, Matt",642136,2019,,,,,,,,,46,,,,,,,23,,,,
"Moore, Dylan",664238,2019,,,,,,,,,46,,,,,,,82,78.0,,,
"Gonzalez, Marwin",503556,2019,43.0,59.0,45.0,37.0,39.0,33.0,35.0,76.0,65,78.0,52.0,25.0,58.0,22.0,,28,90.0,,,
"Holt, Brock",571788,2019,,,,,,,,,30,,,,,,,34,85.0,,,
"Murphy, Daniel",502517,2019,9.0,35.0,11.0,12.0,16.0,9.0,7.0,10.0,46,10.0,82.0,25.0,94.0,37.0,,25,8.0,,,
"Fried, Max",608331,2019,,,,,,,,,30,,,,,,,34,,,,
"Betts, Mookie",605141,2019,98.0,99.0,96.0,90.0,98.0,92.0,71.0,82.0,66,89.0,87.0,93.0,96.0,96.0,,73,86.0,,,
"Mejia, Erick",625510,2019,,,,,,,,,13,,,,,,,95,,,,
"Alcantara, Sandy",645261,2019,,,,,,,,,73,,,,,,,21,,,,
"Rivera, Yadiel",592680,2019,,,,,,,,,61,,,,,,,88,,,,
"Anderson, Brian",605119,2019,57.0,43.0,54.0,57.0,62.0,59.0,61.0,63.0,95,86.0,45.0,48.0,29.0,29.0,,53,64.0,,,
"Kinsler, Ian",435079,2019,,,,,,,,,32,,,,,,,36,86.0,,,
"Hendricks, Kyle",543294,2019,,,,,,,,,35,,,,,,,2,,,,
"Pinder, Chad",640461,2019,36.0,43.0,49.0,49.0,18.0,33.0,54.0,79.0,71,80.0,35.0,14.0,41.0,45.0,,53,9.0,,,
"O'Brien, Peter",598284,2019,,,,,,,,,62,,,,,,,79,,,,
"Díaz, Aledmys",649557,2019,,,,,,,,,70,,,,,,,77,,,,
"Lindor, Francisco",596019,2019,52.0,75.0,61.0,49.0,49.0,76.0,46.0,82.0,91,61.0,84.0,29.0,88.0,28.0,,65,100.0,,,
"Calhoun, Kole",594777,2019,57.0,23.0,65.0,76.0,60.0,84.0,77.0,57.0,71,72.0,23.0,77.0,11.0,70.0,,30,68.0,,,
"Fisher, Derek",605233,2019,,,,,,,,,92,,,,,,,92,,,,
"Taylor, Michael A.",572191,2019,,,,,,,,,77,,,,,,,94,,,,
"Duda, Lucas",446263,2019,,,,,,,,,79,,,,,,,9,,,,
"Solarte, Yangervis",500208,2019,,,,,,,,,70,,,,,,,21,,,,
"Rizzo, Anthony",519203,2019,94.0,95.0,74.0,49.0,99.0,54.0,39.0,45.0,91,38.0,88.0,82.0,80.0,28.0,,20,69.0,,,
"Zunino, Mike",572287,2019,,,,,,,,,98,,,,,,,38,,,,
"Hanson, Alen",593700,2019,,,,,,,,,22,,,,,,,48,,,,
"Gerber, Mike",595222,2019,,,,,,,,,58,,,,,,,73,,,,
"Dahl, David",621311,2019,61.0,65.0,72.0,70.0,43.0,51.0,71.0,36.0,50,51.0,17.0,27.0,15.0,15.0,,77,74.0,,,
"Maeda, Kenta",628317,2019,,,,,,,,,34,,,,,,,14,,,,
"Bauer, Trevor",545333,2019,,,,,,,,,15,,,,,,,2,,,,
"Brown, Seth",664913,2019,,,,,,,,,78,,,,,,,82,,,,
"Williams, Nick",608384,2019,,,,,,,,,70,,,,,,,67,,,,
"Kemp, Tony",643393,2019,,,,,,,,,25,,,,,,,40,92.0,,,
"Lopez, Nicky",670032,2019,1.0,10.0,1.0,1.0,1.0,2.0,2.0,3.0,39,2.0,94.0,7.0,93.0,62.0,,84,67.0,,,
"Santana, Danny",542454,2019,67.0,80.0,82.0,74.0,38.0,59.0,66.0,88.0,89,76.0,7.0,10.0,11.0,6.0,,70,29.0,,,
"Hernández, César",514917,2019,18.0,63.0,15.0,9.0,38.0,16.0,9.0,7.0,60,10.0,84.0,25.0,88.0,55.0,,88,44.0,,,
"Riddle, JT",595375,2019,,,,,,,,,49,,,,,,,62,,,,
"Haniger, Mitch",571745,2019,,,,,,,,,65,,,,,,,55,83.0,,,
"Bourjos, Peter",488721,2019,,,,,,,,,70,,,,,,,93,,,,
"Buehler, Walker",621111,2019,,,,,,,,,36,,,,,,,31,,,,
"Fowler, Dexter",451594,2019,60.0,37.0,35.0,36.0,82.0,47.0,44.0,6.0,77,11.0,30.0,90.0,31.0,82.0,,70,9.0,,,
"Cron, Kevin",605196,2019,,,,,,,,,92,,,,,,,35,,,,
"Chatwood, Tyler",543022,2019,,,,,,,,,20,,,,,,,9,,,,
"Lugo, Dawel",608475,2019,,,,,,,,,69,,,,,,,65,66.0,,,
"Nido, Tomás",621512,2019,,,,,,,,,47,,,,,,,25,,,,
"Skole, Matt",605474,2019,,,,,,,,,69,,,,,,,13,,,,
"Stewart, Christin",621514,2019,39.0,31.0,45.0,48.0,35.0,31.0,44.0,13.0,84,22.0,29.0,44.0,20.0,32.0,,51,16.0,,,
"Foltynewicz, Mike",592314,2019,,,,,,,,,15,,,,,,,9,,,,
"Wolters, Tony",547172,2019,8.0,33.0,4.0,1.0,48.0,1.0,1.0,5.0,31,2.0,77.0,53.0,79.0,63.0,,33,,,,
"Saladino, Tyler",573135,2019,,,,,,,,,66,,,,,,,74,,,,
"Davis, Jaylin",664041,2019,,,,,,,,,48,,,,,,,97,,,,
"Andujar, Miguel",609280,2019,,,,,,,,,40,,,,,,,77,,,,
"Buxton, Byron",621439,2019,,,,,,,,,91,,,,,,,100,97.0,,,
"Rickard, Joey",572073,2019,,,,,,,,,31,,,,,,,83,,,,
"Upton, Justin",457708,2019,,,,,,,,,81,,,,,,,49,,,,
"Newman, Kevin",621028,2019,19.0,75.0,14.0,6.0,41.0,9.0,4.0,5.0,50,6.0,97.0,13.0,97.0,21.0,,84,6.0,,,
"Urena, Richard",620446,2019,,,,,,,,,31,,,,,,,62,,,,
"Allen, Austin",664119,2019,,,,,,,,,42,,,,,,,6,,,,
"Turner, Trea",607208,2019,57.0,82.0,55.0,39.0,62.0,51.0,39.0,73.0,91,68.0,64.0,35.0,62.0,45.0,,100,87.0,,,
"Wheeler, Zack",554430,2019,,,,,,,,,25,,,,,,,26,,,,
"Gómez, Carlos",460576,2019,,,,,,,,,98,,,,,,,79,,,,
"Flores, Wilmer",527038,2019,,,,,,,,,45,,,,,,,21,57.0,,,
"Almonte, Abraham",501659,2019,,,,,,,,,83,,,,,,,83,,,,
"Hoerner, Nico",663538,2019,,,,,,,,,31,,,,,,,89,,,,
"Harper, Bryce",547180,2019,93.0,75.0,91.0,91.0,94.0,97.0,94.0,92.0,99,85.0,20.0,96.0,6.0,36.0,,80,40.0,,,
"Bell, Josh",605137,2019,92.0,86.0,93.0,92.0,91.0,93.0,88.0,95.0,98,89.0,66.0,86.0,45.0,58.0,,48,15.0,,,
"Galvis, Freddy",520471,2019,6.0,17.0,18.0,22.0,2.0,39.0,26.0,38.0,41,35.0,31.0,9.0,20.0,8.0,,29,94.0,,,
"Candelario, Jeimer",600869,2019,24.0,13.0,11.0,21.0,53.0,16.0,31.0,28.0,94,22.0,23.0,77.0,41.0,39.0,,60,84.0,,,
"Encarnación, Edwin",429665,2019,83.0,27.0,86.0,92.0,74.0,80.0,90.0,67.0,89,70.0,52.0,85.0,40.0,71.0,,16,,,,
"Inciarte, Ender",542255,2019,,,,,,,,,31,,,,,,,51,,,,
"Holaday, Bryan",592407,2019,,,,,,,,,36,,,,,,,16,,,,
"Mayfield, Jack",608686,2019,,,,,,,,,37,,,,,,,45,,,,
"García, Avisaíl",541645,2019,65.0,72.0,76.0,72.0,43.0,81.0,82.0,57.0,98,56.0,35.0,16.0,12.0,10.0,,90,78.0,,,
"Andrus, Elvis",462101,2019,27.0,72.0,24.0,15.0,32.0,24.0,13.0,32.0,72,27.0,85.0,12.0,81.0,26.0,,46,96.0,,,
"Bradley, Bobby",656252,2019,,,,,,,,,91,,,,,,,40,,,,
"Garcia, Aramis",605244,2019,,,,,,,,,35,,,,,,,39,,,,
"Alfaro, Jorge",595751,2019,44.0,39.0,58.0,65.0,17.0,61.0,81.0,78.0,96,82.0,2.0,8.0,1.0,1.0,,90,,,,
"Garver, Mitch",641598,2019,92.0,45.0,94.0,99.0,75.0,67.0,96.0,83.0,69,96.0,34.0,81.0,57.0,98.0,,38,,,,
"Martínez, José A.",500874,2019,71.0,75.0,64.0,55.0,71.0,24.0,42.0,41.0,76,50.0,43.0,60.0,64.0,65.0,,35,,,,
"Naylor, Josh",647304,2019,,,,,,,,,97,,,,,,,34,,,,
"Broxton, Keon",542979,2019,,,,,,,,,66,,,,,,,95,94.0,,,
"Stripling, Ross",548389,2019,,,,,,,,,14,,,,,,,5,,,,
"Fuentes, Joshua",658069,2019,,,,,,,,,30,,,,,,,60,,,,
"Turner, Justin",457759,2019,90.0,90.0,85.0,77.0,90.0,59.0,50.0,71.0,55,75.0,80.0,57.0,88.0,77.0,,34,88.0,,,
"Neuse, Sheldon",641914,2019,,,,,,,,,66,,,,,,,27,,,,
"Cordell, Ryan",641477,2019,,,,,,,,,65,,,,,,,96,92.0,,,
"Ray, Robbie",592662,2019,,,,,,,,,38,,,,,,,1,,,,
"Olson, Matt",621566,2019,94.0,80.0,96.0,96.0,85.0,90.0,94.0,96.0,83,98.0,27.0,57.0,24.0,75.0,,36,95.0,,,
"Lauer, Eric",641778,2019,,,,,,,,,33,,,,,,,17,,,,
"Santana, Carlos",467793,2019,85.0,65.0,70.0,68.0,94.0,85.0,67.0,91.0,87,83.0,82.0,97.0,76.0,97.0,,26,65.0,,,
"Rendon, Anthony",543685,2019,98.0,98.0,97.0,93.0,98.0,96.0,83.0,73.0,55,88.0,91.0,87.0,98.0,92.0,,47,75.0,,,
"Swihart, Blake",596119,2019,,,,,,,,,52,,,,,,,68,,,,
"Canha, Mark",592192,2019,80.0,27.0,63.0,71.0,92.0,54.0,66.0,46.0,77,62.0,49.0,92.0,66.0,88.0,,68,38.0,,,
"Adrianza, Ehire",501303,2019,,,,,,,,,48,,,,,,,41,24.0,,,
"Hiura, Keston",669374,2019,76.0,47.0,84.0,88.0,48.0,51.0,92.0,88.0,86,96.0,4.0,31.0,3.0,30.0,,52,5.0,,,
"Smith Jr., Dwight",596105,2019,9.0,19.0,11.0,18.0,10.0,12.0,17.0,46.0,94,50.0,57.0,24.0,21.0,59.0,,33,4.0,,,
"Duggar, Steven",621453,2019,,,,,,,,,48,,,,,,,80,81.0,,,
"Calhoun, Willie",641432,2019,,,,,,,,,83,,,,,,,41,,,,
"Bumgarner, Madison",518516,2019,,,,,,,,,70,,,,,,,1,,,,
"Beckham, Tim",542921,2019,,,,,,,,,62,,,,,,,48,2.0,,,
"Bruce, Jay",457803,2019,,,,,,,,,65,,,,,,,48,,,,
"Pedroia, Dustin",456030,2019,,,,,,,,,19,,,,,,,17,,,,
"Tatis Jr., Fernando",665487,2019,70.0,47.0,75.0,80.0,48.0,57.0,91.0,73.0,98,78.0,7.0,42.0,4.0,41.0,,95,1.0,,,
"Beaty, Matt",607461,2019,,,,,,,,,94,,,,,,,63,,,,
"Cooper, Garrett",643265,2019,67.0,70.0,63.0,56.0,61.0,47.0,66.0,46.0,91,56.0,20.0,36.0,62.0,16.0,,57,85.0,,,
"Ravelo, Rangel",592660,2019,,,,,,,,,81,,,,,,,43,,,,
"Devers, Rafael",646240,2019,85.0,96.0,88.0,75.0,76.0,87.0,62.0,95.0,96,93.0,75.0,27.0,57.0,9.0,,55,99.0,,,
"Reyes, Pablo",622569,2019,,,,,,,,,79,,,,,,,76,,,,
"Hoskins, Rhys",656555,2019,55.0,3.0,34.0,58.0,82.0,78.0,68.0,60.0,77,47.0,32.0,98.0,63.0,88.0,,29,71.0,,,
"Thomas, Lane",657041,2019,,,,,,,,,63,,,,,,,98,,,,
"Marte, Starling",516782,2019,80.0,95.0,82.0,66.0,72.0,72.0,51.0,35.0,81,47.0,80.0,4.0,46.0,22.0,,92,77.0,,,
"Arenado, Nolan",571448,2019,65.0,70.0,70.0,66.0,69.0,79.0,51.0,55.0,70,40.0,88.0,60.0,73.0,15.0,,30,100.0,,,
"Soto, Juan",665742,2019,97.0,90.0,95.0,94.0,98.0,91.0,87.0,94.0,87,90.0,62.0,98.0,57.0,93.0,,60,88.0,,,
"Reynolds, Bryan",668804,2019,79.0,94.0,67.0,43.0,84.0,43.0,37.0,57.0,84,65.0,42.0,46.0,38.0,52.0,,76,77.0,,,
"Freeman, Freddie",518692,2019,95.0,93.0,94.0,91.0,95.0,96.0,87.0,60.0,84,71.0,69.0,89.0,53.0,45.0,,41,23.0,,,
"Sucre, Jesús",491696,2019,,,,,,,,,28,,,,,,,7,,,,
"Martinez, J.D.",502110,2019,96.0,97.0,95.0,90.0,96.0,93.0,83.0,88.0,87,92.0,55.0,76.0,34.0,43.0,,46,,,,
"Gray, Sonny",543243,2019,,,,,,,,,26,,,,,,,14,,,,
"Hamilton, Billy",571740,2019,1.0,8.0,1.0,1.0,10.0,1.0,1.0,1.0,23,1.0,31.0,56.0,64.0,67.0,,97,86.0,,,
"Puello, César",527049,2019,,,,,,,,,73,,,,,,,89,,,,
"Profar, Jurickson",595777,2019,47.0,37.0,41.0,42.0,56.0,43.0,35.0,12.0,58,16.0,86.0,57.0,77.0,68.0,,48,10.0,,,
"Mejias-Brean, Seth",623180,2019,,,,,,,,,41,,,,,,,57,,,,
"Myers, Wil",571976,2019,36.0,12.0,40.0,57.0,28.0,57.0,77.0,69.0,81,64.0,1.0,70.0,11.0,56.0,,82,40.0,,,
"Palka, Daniel",594953,2019,,,,,,,,,97,,,,,,,39,,,,
"Martin, Leonys",547982,2019,,,,,,,,,71,,,,,,,57,75.0,,,
"Mahle, Tyler",641816,2019,,,,,,,,,37,,,,,,,20,,,,
"Mondesi, Adalberto",609275,2019,6.0,15.0,17.0,22.0,1.0,43.0,58.0,36.0,60,23.0,6.0,4.0,2.0,6.0,,99,96.0,,,
"Davis, Rajai",434658,2019,,,,,,,,,34,,,,,,,94,,,,
"Martin Jr., Richie",621006,2019,,,,,,,,,50,,,,,,,97,31.0,,,
"Senzatela, Antonio",622608,2019,,,,,,,,,23,,,,,,,5,,,,
"Straw, Myles",664702,2019,,,,,,,,,29,,,,,,,99,,,,
"Suárez, Eugenio",553993,2019,76.0,31.0,79.0,87.0,69.0,95.0,92.0,53.0,85,59.0,10.0,72.0,19.0,79.0,,30,63.0,,,
"Federowicz, Tim",543148,2019,,,,,,,,,38,,,,,,,11,,,,
"Gardner, Brett",458731,2019,15.0,17.0,10.0,18.0,28.0,19.0,17.0,22.0,69,18.0,65.0,62.0,79.0,84.0,,91,76.0,,,
"Brinson, Lewis",621446,2019,,,,,,,,,84,,,,,,,97,52.0,,,
"Guillorme, Luis",641645,2019,,,,,,,,,31,,,,,,,46,,,,
"Nola, Austin",543592,2019,,,,,,,,,54,,,,,,,56,30.0,,,
"Smoak, Justin",475253,2019,86.0,35.0,75.0,83.0,92.0,65.0,76.0,71.0,76,53.0,52.0,97.0,58.0,94.0,,6,35.0,,,
"Leyba, Domingo",642736,2019,,,,,,,,,30,,,,,,,45,,,,
"Carpenter, Matt",572761,2019,39.0,4.0,27.0,46.0,53.0,33.0,42.0,25.0,64,16.0,19.0,90.0,43.0,91.0,,31,90.0,,,
"Dietrich, Derek",518618,2019,,,,,,,,,82,,,,,,,45,19.0,,,
"Estrada, Thairo",642731,2019,,,,,,,,,44,,,,,,,74,,,,
"Osuna, José",591741,2019,,,,,,,,,72,,,,,,,54,,,,
"Robertson, Daniel",621002,2019,,,,,,,,,55,,,,,,,53,77.0,,,
"Ross, Joe",605452,2019,,,,,,,,,37,,,,,,,22,,,,
"Walsh, Jared",665120,2019,,,,,,,,,69,,,,,,,30,,,,
"Castillo, Welington",456078,2019,,,,,,,,,75,,,,,,,7,,,,
"Solano, Donovan",456781,2019,,,,,,,,,68,,,,,,,29,,,,
"Velazquez, Andrew",623205,2019,,,,,,,,,55,,,,,,,55,,,,
"Hicks, Aaron",543305,2019,,,,,,,,,77,,,,,,,68,,,,
"Agrazal, Dario",642607,2019,,,,,,,,,25,,,,,,,2,,,,
"Sierra, Magneuris",642423,2019,,,,,,,,,35,,,,,,,98,,,,
"Moreland, Mitch",519048,2019,,,,,,,,,93,,,,,,,17,24.0,,,
