year,entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2023,"Realmuto, J.T.",592663,143,32,86.6,0.59,50,1.83,1.83,1.84,5,1.4,1.36,1.41
2023,"Rodríguez, Endy",682848,134,23,84.6,0.64,19,1.9,1.86,1.93,0,,,
2023,"Pinto, René",650907,139,26,85.7,0.61,11,1.87,1.87,1.87,2,1.49,1.44,1.54
2023,"Murphy, Sean",669221,144,28,86.5,0.67,53,1.9,1.87,1.9,2,1.52,1.51,1.54
2023,"Sánchez, Gary",596142,135,30,85.5,0.65,24,1.9,1.88,1.91,6,1.47,1.45,1.47
2023,"Stubbs, Garrett",596117,143,30,85.8,0.61,18,1.87,1.88,1.87,1,1.52,,1.52
2023,"Bailey, Patrick",672275,137,24,84.4,0.6,51,1.87,1.88,1.86,6,1.48,1.45,1.49
2023,"Lee, Korey",686676,145,24,86.7,0.67,17,1.91,1.88,1.93,1,1.38,,1.38
2023,"Bethancourt, Christian",542194,139,31,88.0,0.67,39,1.87,1.89,1.86,3,1.47,1.51,1.46
2023,"Porter, Logan",682515,118,27,78.9,0.58,8,1.98,1.89,2.0,0,,,
2023,"Wong, Connor",657136,111,27,85.0,0.66,60,1.92,1.89,1.93,4,1.51,,1.51
2023,"Wynns, Austin",642851,115,32,78.5,0.56,23,1.91,1.89,1.92,2,1.46,1.47,1.45
2023,"Fermin, Freddy",666023,118,28,84.6,0.69,27,1.93,1.9,1.94,2,1.53,,1.53
2023,"León, Sandy",506702,140,34,78.4,0.63,11,1.96,1.9,1.96,1,1.45,,1.45
2023,"Maile, Luke",571912,113,32,83.5,0.66,36,1.93,1.91,1.94,3,1.54,1.51,1.56
2023,"Fry, David",681807,114,27,84.6,0.63,8,1.92,1.91,1.92,2,1.48,1.49,1.46
2023,"Langeliers, Shea",669127,133,25,87.1,0.66,68,1.9,1.91,1.89,5,1.48,1.55,1.44
2023,"Nola, Austin",543592,135,33,80.9,0.64,28,1.97,1.91,1.98,2,1.57,1.47,1.67
2023,"Maldonado, Martín",455117,117,36,85.1,0.66,55,1.93,1.91,1.94,3,1.51,1.44,1.55
2023,"Moreno, Gabriel",672515,109,23,82.0,0.6,33,1.9,1.92,1.88,6,1.47,1.45,1.53
2023,"Rutschman, Adley",668939,110,25,85.3,0.65,51,1.91,1.92,1.91,4,1.46,,1.46
2023,"Hedges, Austin",595978,140,30,80.4,0.67,24,1.95,1.92,1.96,0,,,
2023,"Millas, Drew",686452,120,25,86.6,0.72,5,1.94,1.93,1.94,0,,,
2023,"Herrera, Jose",645444,109,26,81.4,0.63,12,1.92,1.93,1.91,0,,,
2023,"Alvarez, Francisco",682626,121,21,84.8,0.65,57,1.94,1.93,1.95,4,1.55,,1.55
2023,"Pérez, Carlos",542208,133,32,79.8,0.62,13,1.98,1.93,2.02,1,1.39,1.39,
2023,"Díaz, Elias",553869,115,32,83.4,0.66,51,1.93,1.93,1.93,8,1.5,1.62,1.46
2023,"Heineman, Tyler",623168,141,32,79.3,0.6,10,1.97,1.93,1.97,0,,,
2023,"Diaz, Yainer",673237,117,24,88.5,0.69,35,1.9,1.93,1.88,2,1.51,,1.51
2023,"Adams, Riley",656180,120,27,84.7,0.65,20,1.93,1.94,1.93,0,,,
2023,"Haase, Eric",606992,114,30,83.1,0.71,15,1.99,1.94,2.01,3,1.55,,1.55
2023,"Vázquez, Christian",543877,142,32,80.6,0.62,35,1.95,1.94,1.95,3,1.45,1.45,
