player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,xera,fb_velocity,fb_spin,curve_spin
"Kikuchi, Yusei",579328,2024,62.0,51.0,45.0,38.0,81.0,2.0,14.0,18.0,1,6.0,84.0,81.0,76.0,44.0,,62.0,73.0,61.0,43.0
"Mattson, Isaac",676755,2024,,,,,,,,,92,,,,,,,,50.0,77.0,
"Jones, Jared",683003,2024,50.0,60.0,41.0,24.0,65.0,21.0,13.0,27.0,54,8.0,73.0,53.0,84.0,69.0,,50.0,93.0,96.0,74.0
"Stone, Gavin",694813,2024,50.0,27.0,43.0,58.0,60.0,30.0,75.0,68.0,13,72.0,26.0,75.0,44.0,77.0,,50.0,67.0,31.0,21.0
"Garcia, Robert",676395,2024,97.0,88.0,97.0,98.0,94.0,98.0,98.0,78.0,47,98.0,90.0,75.0,79.0,94.0,,97.0,56.0,43.0,
"Feyereisen, J.P.",656420,2024,,,,,,,,,23,,,,,,,,16.0,88.0,
"Andriese, Matt",542882,2024,,,,,,,,,14,,,,,,,,10.0,71.0,
"Matsui, Yuki",673513,2024,90.0,90.0,86.0,79.0,79.0,77.0,69.0,58.0,34,62.0,77.0,19.0,90.0,90.0,,90.0,21.0,90.0,
"Curry, Xzavion",675540,2024,,,,,,,,,53,,,,,,,,20.0,14.0,36.0
"Cabrera, Génesis",650893,2024,33.0,37.0,48.0,55.0,19.0,61.0,56.0,23.0,51,29.0,14.0,17.0,54.0,41.0,,33.0,80.0,51.0,10.0
"Williamson, Brandon",682227,2024,,,,,,,,,85,,,,,,,,28.0,23.0,
"Pallante, Andre",669467,2024,72.0,58.0,87.0,96.0,50.0,72.0,98.0,84.0,35,54.0,14.0,29.0,8.0,11.0,,72.0,59.0,40.0,86.0
"Mercado, Michael",675650,2024,,,,,,,,,68,,,,,,,,71.0,61.0,32.0
"Floro, Dylan",571670,2024,52.0,18.0,52.0,74.0,51.0,88.0,94.0,16.0,18,47.0,9.0,80.0,4.0,4.0,,52.0,5.0,16.0,
"Madden, Ty",680744,2024,,,,,,,,,74,,,,,,,,52.0,58.0,
"Young, Danny",664849,2024,,,,,,,,,26,,,,,,,,13.0,77.0,
"Ryan, River",689981,2024,,,,,,,,,74,,,,,,,,79.0,84.0,
"Duran, Jhoan",661395,2024,92.0,86.0,98.0,99.0,82.0,98.0,98.0,88.0,64,72.0,88.0,70.0,93.0,44.0,,92.0,99.0,1.0,56.0
"Leone, Dominic",608678,2024,,,,,,,,,25,,,,,,,,61.0,54.0,
"Pennington, Walter",679156,2024,,,,,,,,,7,,,,,,,,13.0,47.0,
"Leiter Jr., Mark",643410,2024,74.0,71.0,78.0,80.0,65.0,72.0,37.0,50.0,59,38.0,96.0,40.0,99.0,96.0,,74.0,15.0,4.0,21.0
"Peralta, Wandy",593974,2024,,,,,,,,,35,,,,,,,,67.0,27.0,
"Robertson, David",502085,2024,86.0,84.0,88.0,87.0,65.0,88.0,85.0,53.0,44,58.0,96.0,29.0,79.0,15.0,,86.0,,,78.0
"Cortes, Nestor",641482,2024,66.0,53.0,43.0,31.0,84.0,8.0,46.0,25.0,3,12.0,49.0,87.0,40.0,34.0,,66.0,19.0,65.0,
"Webb, Logan",657277,2024,30.0,10.0,32.0,61.0,39.0,5.0,65.0,23.0,1,4.0,29.0,83.0,11.0,90.0,,30.0,28.0,3.0,
"Walker, Josh",677020,2024,,,,,,,,,78,,,,,,,,41.0,39.0,6.0
"Ramirez, Nick",598286,2024,,,,,,,,,60,,,,,,,,1.0,9.0,
"Sánchez, Cristopher",650911,2024,66.0,22.0,68.0,89.0,64.0,25.0,86.0,84.0,1,82.0,28.0,84.0,40.0,98.0,,66.0,56.0,18.0,
