year,player_id,player_name,team_name,start_year,end_year,pitches,catcher_blocking_runs,blocks_above_average,n_pbwp,x_pbwp,blocks_above_average_per_game,freq_pbwp_easy,freq_pbwp_medium,freq_pbwp_tough,diff_pbwp_easy,diff_pbwp_medium,diff_pbwp_tough
2020,696100,"Goodman, Hunter",COL,2026,,487,1,3,1,4.258298516536557,0.2676220547463293,0.9486652977412732,0.0431211498973305,0.0082135523613963,1.587171633113243,0.7754575358492384,0.8956693475740777
2020,663728,"Raleigh, Cal",SEA,2026,,626,1,3,3,6.378265859941521,0.2158636332231006,0.9584664536741212,0.0271565495207667,0.0143769968051118,1.8958623886306656,1.5381291906540804,-0.0557257193432209
2020,669127,"Langeliers, Shea",ATH,2026,,760,1,3,2,4.576307779822501,0.1355951463064474,0.9763157894736844,0.0144736842105263,0.0092105263157894,2.198728410238475,1.0129209926445426,-0.6353416230605162
2020,665966,"Narváez, Carlos",BOS,2026,,550,1,2,3,5.488756898305041,0.181000501694912,0.9472727272727276,0.0399999999999999,0.0127272727272727,-0.1022269188633407,1.940976392859324,0.6500074243090592
2020,686948,"Baldwin, Drake",ATL,2026,,452,0,2,2,3.830306495843132,0.1619740261808082,0.9402654867256638,0.0575221238938053,0.0022123893805309,1.3510492638822278,0.3011200697165458,0.1781371622443589
2020,669134,"Campusano, Luis",SD,2026,,446,0,2,1,2.5315009160202218,0.1373543422439662,0.9775784753363228,0.0156950672645739,0.0067264573991031,0.2470468925492396,0.611334778583303,0.6731192448876785
2020,660688,"Ruiz, Keibert",WSH,2026,,548,0,2,3,4.5567066052392935,0.1136282193605324,0.9562043795620438,0.0383211678832116,0.0054744525547445,0.8710854947916519,0.9672975843010688,-0.2816764738534261
2020,663886,"Stephenson, Tyler",CIN,2026,,707,0,2,3,4.896622624092081,0.107305381843965,0.9646393210749644,0.0311173974540311,0.0042432814710042,1.3829244389736464,0.910076443708588,-0.3963782585901522
2020,680728,"Del Castillo, Adrian",AZ,2026,,128,0,1,0,0.8343507118839038,0.2607345974637199,0.9609375,0.03125,0.0078125,0.3661447115175297,0.2873928620489894,0.1808131383173847
2020,620443,"Torrens, Luis",NYM,2026,,213,0,1,0,1.1926459133968506,0.2239710635487043,0.971830985915493,0.0234741784037558,0.0046948356807511,0.5283297150055857,0.464360225464078,0.1999559729271861
