player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,xera,fb_velocity,fb_spin,curve_spin
"Jobe, Jackson",695549,2025,14.0,44.0,22.0,16.0,9.0,72.0,44.0,54.0,46,25.0,17.0,4.0,47.0,22.0,,14.0,79.0,78.0,90.0
"Gibson, Cade",806188,2025,58.0,42.0,82.0,94.0,16.0,89.0,88.0,82.0,50,72.0,21.0,30.0,25.0,37.0,,58.0,14.0,41.0,94.0
"Darrell-Hicks, Michael",690382,2025,,,,,,,,,58,,,,,,,,50.0,48.0,
"Matzek, Tyler",554431,2025,,,,,,,,,39,,,,,,,,52.0,87.0,
"Dubin, Shawn",681869,2025,,,,,,,,,78,,,,,,,,47.0,39.0,65.0
"Harvey, Hunter",640451,2025,,,,,,,,,90,,,,,,,,79.0,7.0,
"Megill, Tylor",656731,2025,53.0,74.0,81.0,80.0,30.0,81.0,81.0,22.0,15,22.0,88.0,13.0,86.0,51.0,,53.0,62.0,43.0,39.0
"Cabrera, Edward",665795,2025,45.0,52.0,55.0,55.0,45.0,27.0,45.0,22.0,4,8.0,74.0,43.0,78.0,74.0,,45.0,87.0,60.0,61.0
"Oviedo, Johan",670912,2025,,,,,,,,,30,,,,,,,,67.0,64.0,12.0
"Irvin, Jake",663623,2025,5.0,9.0,4.0,4.0,14.0,1.0,3.0,19.0,38,7.0,6.0,51.0,5.0,29.0,,5.0,18.0,59.0,35.0
"Kelly, Merrill",518876,2025,39.0,30.0,25.0,27.0,64.0,5.0,35.0,26.0,4,24.0,47.0,76.0,41.0,91.0,,39.0,16.0,59.0,59.0
"Harrison, Kyle",690986,2025,,,,,,,,,58,,,,,,,,53.0,51.0,
"Bazardo, Eduard",660825,2025,80.0,85.0,74.0,58.0,82.0,48.0,30.0,69.0,19,77.0,76.0,38.0,9.0,3.0,,80.0,66.0,29.0,
"De Los Santos, Enyel",660853,2025,39.0,38.0,38.0,41.0,43.0,55.0,41.0,87.0,20,53.0,46.0,38.0,82.0,49.0,,39.0,80.0,50.0,
"Loutos, Ryan",702795,2025,,,,,,,,,44,,,,,,,,64.0,1.0,
"May, Dustin",669160,2025,10.0,18.0,17.0,20.0,6.0,21.0,35.0,14.0,2,18.0,38.0,22.0,12.0,18.0,,10.0,58.0,77.0,
"Hjelle, Sean",663546,2025,,,,,,,,,65,,,,,,,,37.0,56.0,3.0
"Enns, Dietrich",608650,2025,,,,,,,,,58,,,,,,,,43.0,13.0,
"King, John",667463,2025,16.0,2.0,21.0,60.0,14.0,89.0,91.0,38.0,1,25.0,1.0,79.0,11.0,70.0,,16.0,28.0,37.0,
"Rogers, Taylor",573124,2025,41.0,63.0,43.0,31.0,36.0,67.0,21.0,29.0,66,19.0,59.0,16.0,32.0,23.0,,41.0,24.0,21.0,
"Vargas, Carlos",672841,2025,65.0,36.0,67.0,84.0,45.0,76.0,92.0,66.0,2,87.0,9.0,69.0,8.0,54.0,,65.0,93.0,20.0,
"Pivetta, Nick",601713,2025,49.0,65.0,29.0,16.0,79.0,3.0,10.0,22.0,9,15.0,78.0,69.0,44.0,45.0,,49.0,41.0,61.0,80.0
"García, Yimi",554340,2025,,,,,,,,,45,,,,,,,,75.0,96.0,86.0
"Brebbia, John",605154,2025,,,,,,,,,26,,,,,,,,23.0,36.0,
"Murdock, Noah",668716,2025,,,,,,,,,89,,,,,,,,53.0,11.0,
"Raley, Brooks",548384,2025,,,,,,,,,90,,,,,,,,8.0,68.0,
"Mize, Casey",663554,2025,66.0,56.0,38.0,29.0,82.0,14.0,36.0,33.0,20,32.0,47.0,87.0,41.0,49.0,,66.0,53.0,37.0,
"Lao, Sauryn",666659,2025,,,,,,,,,54,,,,,,,,27.0,32.0,
"Morgan, David",688158,2025,,,,,,,,,34,,,,,,,,92.0,63.0,50.0
"Elder, Bryce",693821,2025,17.0,14.0,18.0,25.0,25.0,18.0,61.0,33.0,3,22.0,26.0,61.0,26.0,49.0,,17.0,15.0,13.0,
"Evans, Logan",688138,2025,9.0,9.0,11.0,17.0,8.0,34.0,16.0,36.0,29,31.0,11.0,34.0,9.0,14.0,,9.0,27.0,6.0,96.0
"Schlittler, Cam",693645,2025,41.0,64.0,61.0,57.0,33.0,62.0,52.0,57.0,20,52.0,82.0,18.0,57.0,45.0,,41.0,95.0,83.0,57.0
"Robert, Daniel",642016,2025,,,,,,,,,87,,,,,,,,76.0,84.0,
"Valdez, Framber",664285,2025,60.0,47.0,68.0,80.0,50.0,21.0,76.0,10.0,7,9.0,55.0,40.0,59.0,68.0,,60.0,47.0,27.0,92.0
"Vesia, Alex",681911,2025,87.0,97.0,82.0,49.0,86.0,67.0,13.0,69.0,32,71.0,97.0,28.0,86.0,62.0,,87.0,24.0,90.0,
"Topa, Justin",623437,2025,30.0,5.0,49.0,88.0,9.0,81.0,88.0,47.0,17,16.0,18.0,73.0,4.0,68.0,,30.0,47.0,23.0,
"Keller, Mitch",656605,2025,28.0,20.0,26.0,36.0,36.0,13.0,60.0,29.0,10,22.0,30.0,71.0,15.0,20.0,,28.0,39.0,84.0,59.0
"Uceta, Edwin",670955,2025,53.0,76.0,53.0,30.0,58.0,55.0,32.0,66.0,25,80.0,94.0,41.0,96.0,93.0,,53.0,44.0,81.0,
"Peguero, Joel",666711,2025,,,,,,,,,84,,,,,,,,100.0,57.0,
"Tate, Dillon",622253,2025,,,,,,,,,89,,,,,,,,16.0,1.0,
"Koenig, Jared",657649,2025,93.0,92.0,91.0,82.0,89.0,89.0,91.0,65.0,34,89.0,73.0,61.0,28.0,7.0,,93.0,76.0,70.0,47.0
"Contreras, Luis",664351,2025,,,,,,,,,73,,,,,,,,10.0,96.0,
"Pérez, Eury",691587,2025,83.0,88.0,70.0,47.0,87.0,43.0,39.0,16.0,17,8.0,81.0,43.0,74.0,48.0,,83.0,94.0,100.0,84.0
"Hiraldo, Yaramil",682274,2025,,,,,,,,,72,,,,,,,,60.0,65.0,
"Farris, Mitch",815083,2025,,,,,,,,,62,,,,,,,,6.0,17.0,
"Estrada, Lazaro",681751,2025,,,,,,,,,76,,,,,,,,39.0,35.0,
"Pomeranz, Drew",519141,2025,73.0,80.0,71.0,61.0,72.0,81.0,44.0,29.0,51,27.0,84.0,63.0,44.0,40.0,,73.0,24.0,99.0,14.0
"Cabrera, Génesis",650893,2025,,,,,,,,,43,,,,,,,,69.0,55.0,20.0
