"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Webb, Logan",657277,2024,841,617,0.258,0.27,-0.012,0.355,0.421,-0.066,0.288,0.326,-0.038,3.47,4.37,-0.896
"Lugo, Seth",607625,2024,836,598,0.229,0.24,-0.0109999999999999,0.353,0.4,-0.047,0.278,0.304,-0.0259999999999999,3.0,3.75,-0.745
"Nola, Aaron",605400,2024,820,570,0.247,0.243,0.004,0.421,0.399,0.0219999999999999,0.31,0.304,0.006,3.57,3.75,-0.183
"Gilbert, Logan",669302,2024,803,542,0.196,0.22,-0.0239999999999999,0.353,0.373,-0.02,0.255,0.276,-0.021,3.23,3.06,0.175
"Wheeler, Zack",554430,2024,787,503,0.192,0.194,-0.002,0.328,0.333,-0.005,0.256,0.262,-0.006,2.56,2.75,-0.185
"Berríos, José",621244,2024,786,565,0.235,0.262,-0.027,0.406,0.447,-0.0409999999999999,0.308,0.336,-0.028,3.6,4.68,-1.077
"Burnes, Corbin",669203,2024,784,553,0.226,0.229,-0.003,0.347,0.371,-0.024,0.273,0.286,-0.0129999999999999,2.92,3.29,-0.372
"Kirby, George",669923,2024,778,568,0.245,0.232,0.0129999999999999,0.393,0.403,-0.01,0.287,0.29,-0.003,3.53,3.39,0.144
"Keller, Mitch",656605,2024,773,540,0.261,0.246,0.015,0.446,0.415,0.031,0.331,0.322,0.009,4.25,4.25,-0.003
"López, Pablo",641154,2024,772,523,0.252,0.237,0.015,0.407,0.402,0.0049999999999999,0.306,0.302,0.004,4.08,3.7,0.379
"Irvin, Jake",663623,2024,769,557,0.244,0.249,-0.005,0.428,0.44,-0.012,0.314,0.323,-0.009,4.41,4.28,0.132
"Anderson, Tyler",542881,2024,765,543,0.232,0.244,-0.0119999999999999,0.394,0.423,-0.0289999999999999,0.308,0.326,-0.018,3.81,4.37,-0.556
"Corbin, Patrick",571578,2024,764,568,0.298,0.291,0.007,0.486,0.481,0.005,0.357,0.36,-0.003,5.62,5.48,0.136
"Ragans, Cole",666142,2024,762,466,0.213,0.213,0.0,0.334,0.344,-0.0099999999999999,0.277,0.284,-0.0069999999999999,3.14,3.25,-0.11
"Cease, Dylan",656302,2024,762,469,0.2,0.209,-0.0089999999999999,0.332,0.367,-0.0349999999999999,0.266,0.286,-0.0199999999999999,3.47,3.29,0.18
"Singer, Brady",663903,2024,762,528,0.253,0.265,-0.012,0.405,0.437,-0.0319999999999999,0.316,0.336,-0.02,3.71,4.68,-0.973
"Severino, Luis",622663,2024,761,527,0.243,0.239,0.004,0.383,0.381,0.002,0.308,0.307,0.001,3.91,3.83,0.077
"Pfaadt, Brandon",694297,2024,760,528,0.259,0.243,0.016,0.421,0.403,0.0179999999999999,0.312,0.303,0.009,4.71,3.72,0.986
"Crawford, Kutter",676710,2024,759,524,0.223,0.222,0.001,0.419,0.422,-0.003,0.304,0.307,-0.003,4.36,3.83,0.531
"Bassitt, Chris",605135,2024,758,504,0.27,0.254,0.016,0.397,0.407,-0.0099999999999999,0.331,0.33,0.001,4.16,4.49,-0.332
"Sears, JP",676664,2024,758,557,0.251,0.24,0.011,0.439,0.454,-0.015,0.324,0.328,-0.004,4.38,4.43,-0.046
"Gausman, Kevin",592332,2024,756,535,0.238,0.253,-0.015,0.392,0.46,-0.068,0.3,0.337,-0.037,3.83,4.71,-0.881
"Sánchez, Cristopher",650911,2024,754,557,0.258,0.256,0.002,0.358,0.371,-0.013,0.29,0.298,-0.008,3.32,3.59,-0.271
"Skubal, Tarik",669373,2024,753,481,0.201,0.205,-0.0039999999999999,0.311,0.331,-0.02,0.246,0.258,-0.012,2.39,2.66,-0.269
"Houck, Tanner",656557,2024,743,524,0.231,0.256,-0.0249999999999999,0.32,0.394,-0.074,0.276,0.318,-0.0419999999999999,3.12,4.14,-1.017
"Canning, Griffin",656288,2024,739,537,0.265,0.257,0.008,0.459,0.449,0.01,0.341,0.338,0.003,5.19,4.74,0.45
"Manaea, Sean",640455,2024,738,481,0.202,0.225,-0.0229999999999999,0.338,0.388,-0.0499999999999999,0.275,0.304,-0.0289999999999999,3.47,3.75,-0.282
"Rodón, Carlos",607074,2024,736,474,0.235,0.224,0.0109999999999999,0.435,0.429,0.006,0.32,0.316,0.004,3.96,4.08,-0.12
"Kikuchi, Yusei",579328,2024,736,484,0.245,0.235,0.01,0.391,0.404,-0.013,0.297,0.301,-0.004,4.05,3.67,0.377
"Gore, MacKenzie",669022,2024,731,473,0.263,0.249,0.014,0.398,0.383,0.015,0.324,0.317,0.007,3.9,4.11,-0.214
"Fedde, Erick",607200,2024,726,515,0.233,0.242,-0.0089999999999999,0.381,0.404,-0.023,0.293,0.309,-0.016,3.3,3.88,-0.581
"King, Michael",650633,2024,726,455,0.221,0.223,-0.002,0.346,0.364,-0.018,0.284,0.295,-0.011,2.95,3.52,-0.566
"Peralta, Freddy",642547,2024,725,447,0.224,0.222,0.002,0.387,0.386,0.001,0.305,0.307,-0.002,3.68,3.83,-0.151
"Gibson, Kyle",502043,2024,722,499,0.251,0.259,-0.008,0.418,0.435,-0.017,0.323,0.34,-0.017,4.24,4.8,-0.556
"Mikolas, Miles",571945,2024,720,567,0.284,0.274,0.0099999999999999,0.485,0.469,0.016,0.339,0.334,0.005,5.35,4.61,0.738
"Castillo, Luis",622491,2024,719,492,0.238,0.243,-0.005,0.412,0.422,-0.01,0.305,0.313,-0.008,3.64,3.99,-0.346
"Quintana, Jose",500779,2024,717,508,0.237,0.254,-0.017,0.396,0.414,-0.0179999999999999,0.312,0.33,-0.018,3.75,4.49,-0.739
"Fried, Max",608331,2024,714,483,0.226,0.245,-0.0189999999999999,0.315,0.365,-0.0499999999999999,0.273,0.304,-0.0309999999999999,3.25,3.75,-0.498
"Rea, Colin",607067,2024,714,526,0.258,0.269,-0.011,0.447,0.463,-0.016,0.327,0.342,-0.015,4.29,4.87,-0.576
"Brown, Hunter",686613,2024,712,468,0.242,0.223,0.0189999999999999,0.357,0.339,0.0179999999999999,0.296,0.286,0.01,3.49,3.29,0.204
"Bibee, Tanner",676440,2024,710,471,0.23,0.235,-0.0049999999999999,0.406,0.401,0.005,0.299,0.304,-0.005,3.47,3.75,-0.278
"Cortes, Nestor",641482,2024,710,505,0.245,0.234,0.0109999999999999,0.421,0.407,0.014,0.307,0.298,0.009,3.77,3.59,0.179
"Ober, Bailey",641927,2024,709,469,0.208,0.209,-0.001,0.391,0.384,0.007,0.282,0.284,-0.002,3.98,3.25,0.729
"Flexen, Chris",623167,2024,707,519,0.283,0.256,0.0269999999999999,0.476,0.452,0.0239999999999999,0.355,0.339,0.0159999999999999,4.95,4.77,0.18
"Miller, Bryce",682243,2024,704,485,0.2,0.226,-0.0259999999999999,0.338,0.414,-0.0759999999999999,0.26,0.301,-0.0409999999999999,2.94,3.67,-0.725
