player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,xera,fb_velocity,fb_spin,curve_spin
"Peralta, Freddy",642547,2020,84.0,94.0,82.0,62.0,82.0,56.0,38.0,74.0,16,82.0,96.0,39.0,97.0,55.0,,84.0,45.0,83.0,22.0
"Estévez, Carlos",608032,2020,11.0,10.0,13.0,20.0,14.0,28.0,9.0,3.0,25,7.0,50.0,60.0,39.0,30.0,,11.0,94.0,31.0,
"Margevicius, Nick",676606,2020,48.0,37.0,34.0,32.0,55.0,23.0,32.0,33.0,11,37.0,37.0,55.0,12.0,14.0,,48.0,11.0,20.0,3.0
"Ramirez, Noé",598287,2020,54.0,47.0,50.0,52.0,39.0,74.0,77.0,68.0,50,36.0,12.0,29.0,40.0,69.0,,54.0,6.0,35.0,55.0
"Paddack, Chris",663978,2020,24.0,16.0,14.0,17.0,49.0,1.0,11.0,10.0,21,5.0,52.0,90.0,44.0,26.0,,24.0,64.0,32.0,6.0
"Hand, Brad",543272,2020,95.0,95.0,85.0,62.0,98.0,65.0,34.0,64.0,65,76.0,92.0,92.0,37.0,32.0,,95.0,21.0,88.0,
"Garcia, Rico",670329,2020,,,,,,,,,70,,,,,,,,87.0,68.0,
"Baragar, Caleb",670056,2020,54.0,63.0,31.0,16.0,82.0,56.0,38.0,19.0,29,61.0,39.0,84.0,8.0,7.0,,54.0,60.0,94.0,
"Petit, Yusmeiro",433589,2020,39.0,58.0,24.0,14.0,80.0,38.0,13.0,64.0,49,71.0,24.0,84.0,45.0,83.0,,39.0,3.0,23.0,
"Fiers, Mike",571666,2020,31.0,29.0,29.0,30.0,46.0,6.0,44.0,45.0,60,70.0,5.0,79.0,2.0,9.0,,31.0,3.0,28.0,67.0
"McFarland, T.J.",519008,2020,13.0,5.0,11.0,18.0,26.0,56.0,57.0,10.0,54,17.0,1.0,87.0,3.0,50.0,,13.0,5.0,4.0,
"Smith, Caleb",592761,2020,,,,,,,,,14,,,,,,,,31.0,94.0,
"Giolito, Lucas",608337,2020,85.0,86.0,81.0,74.0,81.0,28.0,66.0,73.0,21,59.0,92.0,38.0,94.0,55.0,,85.0,62.0,70.0,
"Goudeau, Ashton",623485,2020,,,,,,,,,63,,,,,,,,49.0,28.0,
"Miller, Andrew",453192,2020,,,,,,,,,63,,,,,,,,13.0,18.0,
"Romero, JoJo",668941,2020,,,,,,,,,52,,,,,,,,78.0,38.0,
"Wendelken, J.B.",605525,2020,89.0,93.0,84.0,69.0,89.0,74.0,78.0,88.0,63,82.0,77.0,31.0,50.0,19.0,,89.0,71.0,81.0,
"Yates, Kirby",489446,2020,,,,,,,,,65,,,,,,,,54.0,56.0,
"Moran, Brian",572383,2020,,,,,,,,,87,,,,,,,,1.0,58.0,
"Houser, Adrian",605288,2020,34.0,24.0,47.0,64.0,26.0,23.0,66.0,85.0,42,75.0,16.0,51.0,20.0,77.0,,34.0,51.0,17.0,4.0
"Lugo, Seth",607625,2020,35.0,26.0,27.0,32.0,49.0,28.0,26.0,20.0,9,19.0,78.0,78.0,73.0,75.0,,35.0,51.0,48.0,98.0
"Jansen, Kenley",445276,2020,88.0,87.0,93.0,90.0,74.0,88.0,91.0,99.0,63,100.0,89.0,47.0,76.0,93.0,,88.0,35.0,43.0,
"Gomber, Austin",596295,2020,55.0,54.0,80.0,92.0,25.0,88.0,96.0,20.0,11,71.0,47.0,15.0,49.0,11.0,,55.0,38.0,27.0,43.0
"Smyly, Drew",592767,2020,67.0,71.0,58.0,48.0,77.0,33.0,4.0,13.0,5,11.0,97.0,57.0,88.0,30.0,,67.0,59.0,48.0,12.0
"Suero, Wander",593833,2020,61.0,70.0,62.0,56.0,47.0,56.0,34.0,45.0,57,92.0,70.0,37.0,81.0,89.0,,61.0,,,
"Andriese, Matt",542882,2020,65.0,70.0,58.0,48.0,71.0,38.0,30.0,29.0,29,57.0,64.0,49.0,21.0,44.0,,65.0,27.0,59.0,70.0
"Avilán, Luis",501593,2020,,,,,,,,,35,,,,,,,,16.0,24.0,
