player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Madris, Bligh",676632,2022,,,,,,,,,50,,,,,,80.0,65,,,,
"Sánchez, Yolmer",570560,2022,,,,,,,,,4,,,,,,27.0,30,,,,
"India, Jonathan",663697,2022,35.0,41.0,22.0,20.0,53.0,16.0,20.0,3.0,75,5.0,44.0,39.0,56.0,75.0,22.0,59,2.0,,,
"Acuña Jr., Ronald",660670,2022,95.0,85.0,91.0,84.0,91.0,83.0,88.0,86.0,98,92.0,34.0,72.0,47.0,77.0,100.0,82,5.0,,,
"Rosario, Eddie",592696,2022,,,,,,,,,31,,,,,,54.0,56,,,,
"Clemens, Kody",665019,2022,,,,,,,,,47,,,,,,18.0,49,,,,
"McGuire, Reese",624512,2022,,,,,,,,,57,,,,,,,21,,,,
"Allen, Greg",656185,2022,,,,,,,,,21,,,,,,39.0,77,,,,
"Adames, Willy",642715,2022,63.0,33.0,80.0,86.0,27.0,93.0,90.0,48.0,69,70.0,16.0,47.0,25.0,45.0,83.0,61,96.0,,,
"Soto, Juan",665742,2022,99.0,78.0,94.0,95.0,99.0,94.0,86.0,85.0,91,86.0,90.0,100.0,82.0,100.0,56.0,32,1.0,,,
"Thompson, Bubba",669352,2022,,,,,,,,,37,,,,,,42.0,99,,,,
"Ortega, Rafael",542364,2022,49.0,49.0,19.0,15.0,78.0,10.0,20.0,16.0,44,16.0,57.0,90.0,80.0,69.0,57.0,44,,,,
"Sanó, Miguel",593934,2022,,,,,,,,,40,,,,,,,33,,,,
"Serven, Brian",661531,2022,,,,,,,,,22,,,,,,,30,,,,
"Abrams, CJ",682928,2022,,,,,,,,,57,,,,,,51.0,90,3.0,,,
"LeMahieu, DJ",518934,2022,82.0,86.0,53.0,33.0,96.0,34.0,27.0,53.0,71,57.0,93.0,92.0,92.0,75.0,22.0,29,96.0,,,
"Romine, Austin",519222,2022,,,,,,,,,59,,,,,,,6,,,,
"Sierra, Magneuris",642423,2022,,,,,,,,,36,,,,,,75.0,97,,,,
"Villar, Jonathan",542340,2022,,,,,,,,,56,,,,,,46.0,36,1.0,,,
