player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Ward, Taylor",621493,2020,,,,,,,,,55,,,,,,86.0,89,,,,
"Stewart, DJ",621466,2020,,,,,,,,,47,,,,,,75.0,34,57.0,,,
"Bryant, Kris",592178,2020,11.0,6.0,13.0,32.0,13.0,16.0,31.0,10.0,57,18.0,24.0,38.0,31.0,71.0,,68,12.0,,,
"Calhoun, Kole",594777,2020,87.0,65.0,87.0,89.0,85.0,84.0,79.0,61.0,60,42.0,53.0,78.0,15.0,82.0,83.0,29,22.0,,,
"Wade Jr., LaMonte",664774,2020,,,,,,,,,30,,,,,,,45,,,,
"Stevenson, Andrew",664057,2020,,,,,,,,,47,,,,,,,80,,,,
"Delmonico, Nicky",547170,2020,,,,,,,,,45,,,,,,,42,,,,
"Voit, Luke",572228,2020,92.0,81.0,95.0,96.0,62.0,94.0,85.0,51.0,84,52.0,45.0,30.0,42.0,49.0,,12,8.0,,,
"Ramírez, José",608070,2020,84.0,67.0,84.0,86.0,80.0,87.0,66.0,47.0,95,32.0,78.0,78.0,91.0,76.0,5.0,59,15.0,,,
"Machado, Manny",592518,2020,91.0,94.0,91.0,85.0,86.0,94.0,73.0,73.0,98,73.0,89.0,65.0,73.0,69.0,78.0,39,93.0,,,
"Díaz, Aledmys",649557,2020,,,,,,,,,23,,,,,,,65,,,,
"Betts, Mookie",605141,2020,78.0,84.0,79.0,65.0,78.0,71.0,48.0,79.0,54,73.0,86.0,59.0,98.0,74.0,89.0,87,93.0,,,
"Fuentes, Joshua",658069,2020,,,,,,,,,19,,,,,,,71,95.0,,,
"Arenado, Nolan",571448,2020,13.0,30.0,35.0,40.0,13.0,41.0,30.0,32.0,59,26.0,99.0,32.0,88.0,23.0,78.0,10,97.0,,,
"Thames, Eric",519346,2020,27.0,16.0,27.0,42.0,35.0,16.0,36.0,47.0,32,84.0,13.0,62.0,33.0,27.0,,27,,,,
"Avila, Alex",488671,2020,,,,,,,,,34,,,,,,,4,,,,
"Toro, Abraham",647351,2020,,,,,,,,,48,,,,,,,61,,,,
"Rooker, Brent",667670,2020,,,,,,,,,87,,,,,,,32,,,,
"Velazquez, Andrew",623205,2020,,,,,,,,,54,,,,,,20.0,86,68.0,,,
"Ravelo, Rangel",592660,2020,,,,,,,,,18,,,,,,,9,,,,
"France, Ty",664034,2020,77.0,85.0,78.0,63.0,71.0,41.0,56.0,8.0,52,11.0,42.0,27.0,55.0,52.0,,15,29.0,,,
"Hoerner, Nico",663538,2020,20.0,38.0,5.0,3.0,54.0,1.0,4.0,28.0,37,39.0,68.0,56.0,85.0,23.0,38.0,93,98.0,,,
