player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Frelick, Sal",686217,2025,19.0,59.0,8.0,4.0,52.0,13.0,8.0,5.0,43,4.0,92.0,46.0,96.0,60.0,66.0,87,93.0,7.0,84.0,69.0
"Vázquez, Christian",543877,2025,,,,,,,,,11,,,,,,,3,,,,
"Walls, Taylor",670764,2025,,,,,,,,,11,,,,,,35.0,71,69.0,,,
"Greene, Riley",682985,2025,68.0,27.0,88.0,93.0,20.0,97.0,95.0,48.0,94,61.0,4.0,34.0,12.0,29.0,47.0,31,73.0,92.0,1.0,48.0
"Roden, Alan",702176,2025,,,,,,,,,27,,,,,,80.0,62,,,,
"Pages, Andy",681624,2025,38.0,64.0,56.0,49.0,26.0,62.0,45.0,28.0,61,24.0,48.0,6.0,68.0,18.0,98.0,69,97.0,59.0,33.0,5.0
"Tawa, Tim",694374,2025,,,,,,,,,66,,,,,,25.0,72,,,,
"Norby, Connor",681393,2025,,,,,,,,,42,,,,,,53.0,86,16.0,,,
"Hernández, Teoscar",606192,2025,49.0,50.0,69.0,73.0,14.0,75.0,72.0,55.0,80,65.0,29.0,7.0,8.0,37.0,63.0,69,3.0,64.0,37.0,7.0
"Judge, Aaron",592450,2025,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,99,99.0,36.0,100.0,2.0,84.0,85.0,42,86.0,97.0,28.0,2.0
"Brennan, Will",686823,2025,,,,,,,,,7,,,,,,,39,,,,
"Santander, Anthony",623993,2025,,,,,,,,,59,,,,,,48.0,16,,,,
"Wells, Austin",669224,2025,14.0,4.0,35.0,60.0,4.0,46.0,60.0,63.0,75,60.0,17.0,30.0,29.0,41.0,,25,,68.0,18.0,18.0
"Winkler, Jack",676466,2025,,,,,,,,,7,,,,,,,59,,,,
"Davidson, Logan",669722,2025,,,,,,,,,41,,,,,,,45,,,,
"Arcia, Orlando",606115,2025,,,,,,,,,31,,,,,,56.0,10,78.0,,,
"Tauchman, Mike",643565,2025,44.0,38.0,27.0,25.0,75.0,18.0,30.0,35.0,67,30.0,45.0,84.0,50.0,78.0,49.0,4,46.0,12.0,44.0,58.0
"Paris, Kyren",677347,2025,,,,,,,,,39,,,,,,80.0,90,,,,
"Naylor, Josh",647304,2025,68.0,84.0,60.0,44.0,70.0,48.0,30.0,38.0,99,43.0,91.0,46.0,66.0,7.0,61.0,3,80.0,31.0,89.0,18.0
"Gilbert, Drew",687551,2025,,,,,,,,,51,,,,,,84.0,56,,,,
"Siani, Michael",672279,2025,,,,,,,,,16,,,,,,,65,,,,
"Del Castillo, Adrian",680728,2025,,,,,,,,,39,,,,,,,15,,,,
"Outman, James",681546,2025,,,,,,,,,60,,,,,,88.0,81,,,,
"Joe, Connor",656582,2025,,,,,,,,,85,,,,,,,38,,,,
"Perkins, Blake",663368,2025,,,,,,,,,17,,,,,,85.0,91,,,,
"Mastrobuoni, Miles",670156,2025,,,,,,,,,24,,,,,,59.0,80,,,,
