player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Wood, James",695578,2024,,,,,,,,,79,,,,,,37.0,85,,,,
"Arias, Gabriel",672356,2024,,,,,,,,,89,,,,,,97.0,50,,,,
"Schanuel, Nolan",694384,2024,52.0,64.0,18.0,10.0,88.0,16.0,9.0,7.0,20,4.0,78.0,87.0,96.0,91.0,10.0,24,13.0,2.0,92.0,97.0
"Cameron, Daz",663662,2024,,,,,,,,,85,,,,,,76.0,78,,,,
"Hinds, Rece",677956,2024,,,,,,,,,85,,,,,,,92,,,,
"Martinez, J.D.",502110,2024,85.0,62.0,87.0,86.0,79.0,81.0,94.0,78.0,70,77.0,13.0,72.0,12.0,41.0,,15,,68.0,7.0,1.0
"Ramírez, José",608070,2024,66.0,71.0,80.0,76.0,54.0,86.0,57.0,52.0,98,45.0,98.0,49.0,93.0,27.0,28.0,74,81.0,43.0,81.0,48.0
"Thaiss, Matt",642136,2024,,,,,,,,,57,,,,,,,5,,,,
"France, Ty",664034,2024,31.0,18.0,39.0,51.0,25.0,48.0,44.0,43.0,73,48.0,50.0,36.0,53.0,60.0,4.0,6,1.0,34.0,42.0,18.0
"Hedges, Austin",595978,2024,,,,,,,,,9,,,,,,,8,,,,
"Herrera, Jose",645444,2024,,,,,,,,,13,,,,,,,6,,,,
"Walton, Donovan",622268,2024,,,,,,,,,7,,,,,,,14,,,,
"Fry, David",681807,2024,62.0,50.0,48.0,46.0,85.0,27.0,46.0,32.0,41,37.0,49.0,79.0,47.0,51.0,,22,,25.0,30.0,8.0
"Call, Alex",669743,2024,,,,,,,,,34,,,,,,70.0,69,,,,
"Hiura, Keston",669374,2024,,,,,,,,,30,,,,,,,33,,,,
"Harris, Brett",695391,2024,,,,,,,,,27,,,,,,29.0,46,,,,
"Cruz, Oneil",665833,2024,79.0,74.0,86.0,80.0,67.0,94.0,97.0,99.0,100,97.0,8.0,56.0,5.0,27.0,100.0,88,40.0,100.0,29.0,13.0
"Jordan, Levi",682119,2024,,,,,,,,,2,,,,,,,26,,,,
"Bae, Ji Hwan",678225,2024,,,,,,,,,36,,,,,,68.0,91,,,,
"Heyward, Jason",518792,2024,,,,,,,,,39,,,,,,84.0,36,,,,
"Bliss, Ryan",669208,2024,,,,,,,,,26,,,,,,11.0,82,,,,
"Caballero, José",676609,2024,3.0,8.0,3.0,10.0,6.0,18.0,21.0,1.0,59,4.0,17.0,16.0,26.0,12.0,35.0,75,91.0,19.0,10.0,82.0
"Iglesias, Jose",578428,2024,,,,,,,,,58,,,,,,21.0,83,77.0,,,
"McCoy, Mason",669200,2024,,,,,,,,,5,,,,,,19.0,84,,,,
"Meyers, Jake",676694,2024,31.0,27.0,36.0,43.0,27.0,42.0,39.0,29.0,60,32.0,40.0,31.0,36.0,29.0,48.0,89,97.0,12.0,39.0,82.0
"Sheets, Gavin",657757,2024,42.0,56.0,34.0,26.0,56.0,30.0,27.0,23.0,60,22.0,52.0,58.0,59.0,23.0,79.0,30,5.0,64.0,24.0,18.0
"Delay, Jason",641511,2024,,,,,,,,,13,,,,,,,14,,,,
"Adams, Riley",656180,2024,,,,,,,,,62,,,,,,,27,,,,
"Moncada, Yoán",660162,2024,,,,,,,,,42,,,,,,,35,,,,
"Crawford, J.P.",641487,2024,41.0,20.0,24.0,31.0,67.0,27.0,35.0,20.0,67,39.0,41.0,90.0,75.0,99.0,37.0,33,69.0,52.0,33.0,48.0
"Blankenhorn, Travis",663905,2024,,,,,,,,,27,,,,,,,22,,,,
"Loperfido, Joey",694388,2024,,,,,,,,,62,,,,,,47.0,88,56.0,,,
"Millas, Drew",686452,2024,,,,,,,,,19,,,,,,,76,,,,
"Altuve, Jose",514888,2024,47.0,76.0,48.0,31.0,57.0,64.0,35.0,11.0,39,11.0,74.0,32.0,66.0,7.0,7.0,44,3.0,15.0,62.0,8.0
"Yepez, Juan",660766,2024,,,,,,,,,83,,,,,,25.0,31,,,,
"Hilliard, Sam",656541,2024,,,,,,,,,76,,,,,,90.0,88,,,,
"Cook, Billy",695257,2024,,,,,,,,,47,,,,,,,93,,,,
"Devers, Rafael",646240,2024,92.0,84.0,93.0,91.0,90.0,88.0,88.0,96.0,94,95.0,33.0,85.0,14.0,35.0,48.0,26,6.0,61.0,33.0,39.0
"Rizzo, Anthony",519203,2024,27.0,36.0,14.0,13.0,50.0,8.0,14.0,12.0,67,16.0,74.0,38.0,80.0,17.0,9.0,3,26.0,,,
"Loftin, Nick",679845,2024,,,,,,,,,15,,,,,,39.0,60,,,,
"Jansen, Danny",643376,2024,,,,,,,,,29,,,,,,,27,,,,
"Morel, Christopher",666624,2024,45.0,15.0,43.0,59.0,47.0,74.0,69.0,52.0,76,50.0,24.0,73.0,5.0,65.0,87.0,49,1.0,95.0,7.0,4.0
