year,entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2016,"Sánchez, Gary",596142,147,23,88.4,0.72,20,1.9,1.9,1.9,0,,,
2016,"Realmuto, J.T.",592663,146,25,87.0,0.7,33,1.91,1.92,1.9,1,1.46,,1.46
2016,"Perez, Salvador",521692,118,26,83.9,0.67,47,1.94,1.93,1.94,2,1.51,1.52,1.51
2016,"Holaday, Bryan",592407,111,28,82.2,0.69,9,1.94,1.93,1.95,1,1.65,1.65,
2016,"Maldonado, Martín",455117,158,29,87.3,0.7,20,1.91,1.93,1.88,3,1.54,1.6,1.51
2016,"Castillo, Welington",456078,109,29,83.0,0.67,25,1.92,1.93,1.9,8,1.57,1.54,1.62
2016,"Bethancourt, Christian",542194,135,24,88.8,0.78,11,1.91,1.94,1.89,1,1.61,1.61,
2016,"Molina, Yadier",425877,138,33,83.6,0.7,38,1.96,1.94,1.97,7,1.64,1.58,1.66
2016,"Garneau, Dustin",572863,115,28,80.1,0.69,8,1.96,1.94,1.97,0,,,
2016,"Gomes, Yan",543228,114,28,80.8,0.66,17,1.95,1.95,1.95,1,1.65,1.65,
2016,"Pérez, Roberto",547379,114,27,82.9,0.71,14,1.96,1.96,1.96,0,,,
2016,"Contreras, Willson",575929,112,24,85.7,0.73,19,1.96,1.96,1.96,2,1.64,,1.64
2016,"Pérez, Carlos",542208,108,25,81.9,0.68,37,1.94,1.96,1.92,0,,,
2016,"Ross, David",424325,112,39,80.0,0.66,27,1.95,1.96,1.94,3,1.52,1.46,1.54
2016,"Butera, Drew",460077,118,32,87.9,0.76,13,1.96,1.97,1.96,1,1.53,,1.53
2016,"Brown, Trevor",623143,137,24,83.0,0.75,13,2.0,1.98,2.02,3,1.62,,1.62
2016,"Peña, Francisco",506747,110,26,84.4,0.74,5,1.97,1.98,1.95,0,,,
2016,"Rupp, Cameron",519237,143,27,87.0,0.78,38,1.98,1.98,1.99,1,1.61,,1.61
2016,"León, Sandy",506702,111,27,81.7,0.71,15,1.95,1.98,1.91,3,1.52,1.56,1.45
2016,"Joseph, Caleb",543376,110,30,79.8,0.69,18,1.99,1.98,1.99,1,1.73,1.73,
2016,"Maile, Luke",571912,139,25,84.0,0.7,12,1.96,1.98,1.95,1,1.62,,1.62
2016,"Fryer, Eric",518700,134,30,81.3,0.76,13,2.04,1.99,2.07,2,1.56,,1.56
